Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-10	1.289	561.289	0.0	3.0
2020-04-11	1.305	562.594	0.0	3.0
2020-04-12	1.31	563.904	0.0	3.0
2020-04-13	1.308	565.212	0.0	3.0
2020-04-14	1.296	566.508	0.0	3.0
2020-04-15	1.279	567.787	0.0	3.0
2020-04-16	1.259	569.046	0.0	3.0
2020-04-17	1.235	570.281	0.0	3.0
2020-04-18	1.206	571.487	0.0	3.0
2020-04-19	1.175	572.662	0.0	3.0
2020-04-20	1.143	573.805	0.0	3.0
2020-04-21	1.112	574.917	0.0	3.0
2020-04-22	1.083	576.0	0.0	3.0
2020-04-23	1.057	577.057	0.0	3.0
2020-04-24	1.03	578.087	0.0	3.0
2020-04-25	1.001	579.088	0.0	3.0
2020-04-26	0.969	580.057	0.0	3.0
2020-04-27	0.935	580.992	0.0	3.0
2020-04-28	0.899	581.891	0.0	3.0
2020-04-29	0.862	582.753	0.0	3.0
2020-04-30	0.825	583.578	0.0	3.0
2020-05-01	0.789	584.367	0.0	3.0
2020-05-02	0.754	585.121	0.0	3.0
2020-05-03	0.719	585.84	0.0	3.0
2020-05-04	0.686	586.526	0.0	3.0
2020-05-05	0.652	587.178	0.0	3.0
2020-05-06	0.62	587.798	0.0	3.0
2020-05-07	0.589	588.387	0.0	3.0
2020-05-08	0.559	588.946	0.0	3.0
2020-05-09	0.53	589.476	0.0	3.0
2020-05-10	0.503	589.979	0.0	3.0
2020-05-11	0.477	590.456	0.0	3.0
2020-05-12	0.451	590.907	0.0	3.0
2020-05-13	0.427	591.334	0.0	3.0
2020-05-14	0.403	591.737	0.0	3.0
2020-05-15	0.38	592.117	0.0	3.0
2020-05-16	0.357	592.474	0.0	3.0
2020-05-17	0.334	592.808	0.0	3.0
2020-05-18	0.311	593.119	0.0	3.0
2020-05-19	0.289	593.408	0.0	3.0
2020-05-20	0.268	593.676	0.0	3.0
2020-05-21	0.25	593.926	0.0	3.0
2020-05-22	0.233	594.159	0.0	3.0
2020-05-23	0.22	594.379	0.0	3.0
2020-05-24	0.208	594.587	0.0	3.0
2020-05-25	0.197	594.784	0.0	3.0
2020-05-26	0.186	594.97	0.0	3.0
2020-05-27	0.175	595.145	0.0	3.0
2020-05-28	0.164	595.309	0.0	3.0
2020-05-29	0.153	595.462	0.0	3.0
2020-05-30	0.142	595.604	0.0	3.0
2020-05-31	0.132	595.736	0.0	3.0
2020-06-01	0.123	595.859	0.0	3.0
2020-06-02	0.115	595.974	0.0	3.0
2020-06-03	0.108	596.082	0.0	3.0
2020-06-04	0.102	596.184	0.0	3.0
2020-06-05	0.095	596.279	0.0	3.0
2020-06-06	0.089	596.368	0.0	3.0
2020-06-07	0.082	596.45	0.0	3.0
2020-06-08	0.076	596.526	0.0	3.0
2020-06-09	0.07	596.596	0.0	3.0
2020-06-10	0.063	596.659	0.0	3.0
2020-06-11	0.057	596.716	0.0	3.0
2020-06-12	0.051	596.767	0.0	3.0
2020-06-13	0.046	596.813	0.0	3.0
2020-06-14	0.041	596.854	0.0	3.0
2020-06-15	0.036	596.89	0.0	3.0
2020-06-16	0.032	596.922	0.0	3.0
2020-06-17	0.028	596.95	0.0	3.0
2020-06-18	0.024	596.974	0.0	3.0
