Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-10	1.0	25.0	0.0	1.0
2020-04-11	0.991	25.991	0.0	1.0
2020-04-12	0.978	26.969	0.0	1.0
2020-04-13	0.963	27.932	0.0	1.0
2020-04-14	0.945	28.877	0.0	1.0
2020-04-15	0.922	29.799	0.0	1.0
2020-04-16	0.898	30.697	0.0	1.0
2020-04-17	0.874	31.571	0.0	1.0
2020-04-18	0.85	32.421	0.0	1.0
2020-04-19	0.829	33.25	0.0	1.0
2020-04-20	0.808	34.058	0.0	1.0
2020-04-21	0.788	34.846	0.0	1.0
2020-04-22	0.766	35.612	0.0	1.0
2020-04-23	0.741	36.353	0.0	1.0
2020-04-24	0.715	37.068	0.0	1.0
2020-04-25	0.687	37.755	0.0	1.0
2020-04-26	0.659	38.414	0.0	1.0
2020-04-27	0.631	39.045	0.0	1.0
2020-04-28	0.604	39.649	0.0	1.0
2020-04-29	0.577	40.226	0.0	1.0
2020-04-30	0.55	40.776	0.0	1.0
2020-05-01	0.524	41.3	0.0	1.0
2020-05-02	0.499	41.799	0.0	1.0
2020-05-03	0.474	42.273	0.0	1.0
2020-05-04	0.451	42.724	0.0	1.0
2020-05-05	0.427	43.151	0.0	1.0
2020-05-06	0.405	43.556	0.0	1.0
2020-05-07	0.384	43.94	0.0	1.0
2020-05-08	0.364	44.304	0.0	1.0
2020-05-09	0.345	44.649	0.0	1.0
2020-05-10	0.327	44.976	0.0	1.0
2020-05-11	0.309	45.285	0.0	1.0
2020-05-12	0.291	45.576	0.0	1.0
2020-05-13	0.273	45.849	0.0	1.0
2020-05-14	0.256	46.105	0.0	1.0
2020-05-15	0.238	46.343	0.0	1.0
2020-05-16	0.221	46.564	0.0	1.0
2020-05-17	0.205	46.769	0.0	1.0
2020-05-18	0.191	46.96	0.0	1.0
2020-05-19	0.179	47.139	0.0	1.0
2020-05-20	0.168	47.307	0.0	1.0
2020-05-21	0.159	47.466	0.0	1.0
2020-05-22	0.15	47.616	0.0	1.0
2020-05-23	0.142	47.758	0.0	1.0
2020-05-24	0.134	47.892	0.0	1.0
2020-05-25	0.125	48.017	0.0	1.0
2020-05-26	0.117	48.134	0.0	1.0
2020-05-27	0.108	48.242	0.0	1.0
2020-05-28	0.101	48.343	0.0	1.0
2020-05-29	0.094	48.437	0.0	1.0
2020-05-30	0.088	48.525	0.0	1.0
2020-05-31	0.083	48.608	0.0	1.0
2020-06-01	0.078	48.686	0.0	1.0
2020-06-02	0.073	48.759	0.0	1.0
2020-06-03	0.068	48.827	0.0	1.0
2020-06-04	0.063	48.89	0.0	1.0
2020-06-05	0.058	48.948	0.0	1.0
2020-06-06	0.053	49.001	0.0	1.0
2020-06-07	0.048	49.049	0.0	1.0
2020-06-08	0.043	49.092	0.0	1.0
2020-06-09	0.039	49.131	0.0	1.0
2020-06-10	0.035	49.166	0.0	1.0
2020-06-11	0.031	49.197	0.0	1.0
2020-06-12	0.028	49.225	0.0	1.0
2020-06-13	0.025	49.25	0.0	1.0
2020-06-14	0.021	49.271	0.0	1.0
2020-06-15	0.018	49.289	0.0	1.0
2020-06-16	0.015	49.304	0.0	1.0
2020-06-17	0.012	49.316	0.0	1.0
2020-06-18	0.008	49.324	0.0	1.0
2020-06-19	0.005	49.329	0.0	1.0
2020-06-20	0.003	49.332	0.0	1.0
2020-06-21	0.002	49.334	0.0	1.0
2020-06-22	0.001	49.335	0.0	1.0
2020-06-23	0.001	49.336	0.0	1.0
2020-06-24	0.001	49.337	0.0	1.0
2020-06-25	0.001	49.338	0.0	1.0
2020-06-26	0.0	49.338	0.0	1.0
2020-06-27	0.0	49.338	0.0	1.0
2020-06-28	0.0	49.338	0.0	1.0
2020-06-29	0.0	49.338	0.0	1.0
2020-06-30	0.0	49.338	0.0	1.0
2020-07-01	0.0	49.338	0.0	1.0
2020-07-02	0.0	49.338	0.0	1.0
2020-07-03	0.0	49.338	0.0	1.0
2020-07-04	0.0	49.338	0.0	1.0
2020-07-05	0.0	49.338	0.0	1.0
2020-07-06	0.0	49.338	0.0	1.0
2020-07-07	0.0	49.338	0.0	1.0
2020-07-08	0.0	49.338	0.0	1.0
2020-07-09	0.0	49.338	0.0	1.0
2020-07-10	0.0	49.338	0.0	1.0
2020-07-11	0.0	49.338	0.0	1.0
2020-07-12	0.0	49.338	0.0	1.0
2020-07-13	0.0	49.338	0.0	1.0
2020-07-14	0.0	49.338	0.0	1.0
2020-07-15	0.0	49.338	0.0	1.0
2020-07-16	0.0	49.338	0.0	1.0
2020-07-17	0.0	49.338	0.0	1.0
2020-07-18	0.0	49.338	0.0	1.0
2020-07-19	0.0	49.338	0.0	1.0
2020-07-20	0.0	49.338	0.0	1.0
2020-07-21	0.0	49.338	0.0	1.0
2020-07-22	0.0	49.338	0.0	1.0
2020-07-23	0.0	49.338	0.0	1.0
2020-07-24	0.0	49.338	0.0	1.0
2020-07-25	0.0	49.338	0.0	1.0
2020-07-26	0.0	49.338	0.0	1.0
2020-07-27	0.0	49.338	0.0	1.0
2020-07-28	0.0	49.338	0.0	1.0
2020-07-29	0.0	49.338	0.0	1.0
2020-07-30	0.0	49.338	0.0	1.0
2020-07-31	0.0	49.338	0.0	1.0
2020-08-01	0.0	49.338	0.0	1.0
2020-08-02	0.0	49.338	0.0	1.0
2020-08-03	0.0	49.338	0.0	1.0
2020-08-04	0.0	49.338	0.0	1.0
2020-08-05	0.0	49.338	0.0	1.0
2020-08-06	0.0	49.338	0.0	1.0
2020-08-07	0.0	49.338	0.0	1.0
2020-08-08	0.0	49.338	0.0	1.0
2020-08-09	0.0	49.338	0.0	1.0
2020-08-10	0.0	49.338	0.0	1.0
2020-08-11	0.0	49.338	0.0	1.0
2020-08-12	0.0	49.338	0.0	1.0
2020-08-13	0.0	49.338	0.0	1.0
2020-08-14	0.0	49.338	0.0	1.0
2020-08-15	0.0	49.338	0.0	1.0
2020-08-16	0.0	49.338	0.0	1.0
2020-08-17	0.0	49.338	0.0	1.0
2020-08-18	0.0	49.338	0.0	1.0
2020-08-19	0.0	49.338	0.0	1.0
2020-08-20	0.0	49.338	0.0	1.0
2020-08-21	0.0	49.338	0.0	1.0
2020-08-22	0.0	49.338	0.0	1.0
2020-08-23	0.0	49.338	0.0	1.0
2020-08-24	0.0	49.338	0.0	1.0
2020-08-25	0.0	49.338	0.0	1.0
2020-08-26	0.0	49.338	0.0	1.0
2020-08-27	0.0	49.338	0.0	1.0
2020-08-28	0.0	49.338	0.0	1.0
2020-08-29	0.0	49.338	0.0	1.0
2020-08-30	0.0	49.338	0.0	1.0
