Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-11	720.404	16192.404	26.12	461.12
2020-04-12	706.525	16898.929	26.214	487.334
2020-04-13	689.839	17588.768	26.164	513.498
2020-04-14	671.859	18260.627	25.924	539.422
2020-04-15	653.921	18914.548	25.587	565.009
2020-04-16	636.095	19550.643	25.201	590.21
2020-04-17	619.68	20170.323	24.715	614.925
2020-04-18	604.64	20774.963	24.132	639.057
2020-04-19	589.334	21364.297	23.503	662.56
2020-04-20	572.615	21936.912	22.875	685.435
2020-04-21	554.452	22491.364	22.252	707.687
2020-04-22	534.891	23026.255	21.677	729.364
2020-04-23	513.988	23540.243	21.151	750.515
2020-04-24	493.081	24033.324	20.616	771.131
2020-04-25	472.172	24505.496	20.031	791.162
2020-04-26	451.47	24956.966	19.396	810.558
2020-04-27	431.203	25388.169	18.711	829.269
2020-04-28	411.543	25799.712	17.98	847.249
2020-04-29	392.142	26191.854	17.249	864.498
2020-04-30	373.209	26565.063	16.517	881.015
2020-05-01	354.774	26919.837	15.793	896.808
2020-05-02	337.008	27256.845	15.084	911.892
2020-05-03	319.731	27576.576	14.396	926.288
2020-05-04	303.257	27879.833	13.718	940.006
2020-05-05	287.554	28167.387	13.055	953.061
2020-05-06	272.582	28439.969	12.41	965.471
2020-05-07	258.156	28698.125	11.789	977.26
2020-05-08	244.247	28942.372	11.185	988.445
2020-05-09	230.758	29173.13	10.608	999.053
2020-05-10	217.527	29390.657	10.059	1009.112
2020-05-11	204.407	29595.064	9.535	1018.647
2020-05-12	191.28	29786.344	9.031	1027.678
2020-05-13	178.146	29964.49	8.544	1036.222
2020-05-14	165.241	30129.731	8.072	1044.294
2020-05-15	153.273	30283.004	7.609	1051.903
2020-05-16	142.724	30425.728	7.15	1059.053
2020-05-17	133.558	30559.286	6.691	1065.744
2020-05-18	125.678	30684.964	6.232	1071.976
2020-05-19	118.846	30803.81	5.78	1077.756
2020-05-20	112.499	30916.309	5.362	1083.118
2020-05-21	106.21	31022.519	4.993	1088.111
2020-05-22	99.919	31122.438	4.672	1092.783
2020-05-23	93.624	31216.062	4.396	1097.179
2020-05-24	87.326	31303.388	4.157	1101.336
2020-05-25	81.136	31384.524	3.935	1105.271
2020-05-26	75.497	31460.021	3.715	1108.986
2020-05-27	70.418	31530.439	3.495	1112.481
2020-05-28	65.858	31596.297	3.275	1115.756
2020-05-29	61.783	31658.08	3.055	1118.811
2020-05-30	58.087	31716.167	2.838	1121.649
2020-05-31	54.428	31770.595	2.641	1124.29
2020-06-01	50.767	31821.362	2.463	1126.753
2020-06-02	47.103	31868.465	2.304	1129.057
2020-06-03	43.436	31911.901	2.161	1131.218
2020-06-04	39.765	31951.666	2.032	1133.25
2020-06-05	36.088	31987.754	1.904	1135.154
2020-06-06	32.505	32020.259	1.776	1136.93
2020-06-07	29.169	32049.428	1.648	1138.578
2020-06-08	26.123	32075.551	1.519	1140.097
2020-06-09	23.336	32098.887	1.391	1141.488
2020-06-10	20.782	32119.669	1.262	1142.75
2020-06-11	18.376	32138.045	1.137	1143.887
2020-06-12	16.003	32154.048	1.02	1144.907
2020-06-13	13.616	32167.664	0.914	1145.821
2020-06-14	11.208	32178.872	0.816	1146.637
2020-06-15	8.758	32187.63	0.727	1147.364
2020-06-16	6.218	32193.848	0.643	1148.007
2020-06-17	4.0	32197.848	0.56	1148.567
2020-06-18	2.467	32200.315	0.476	1149.043
2020-06-19	1.555	32201.87	0.392	1149.435
2020-06-20	1.027	32202.897	0.306	1149.741
2020-06-21	0.736	32203.633	0.218	1149.959
2020-06-22	0.568	32204.201	0.14	1150.099
2020-06-23	0.453	32204.654	0.086	1150.185
2020-06-24	0.36	32205.014	0.054	1150.239
2020-06-25	0.281	32205.295	0.036	1150.275
2020-06-26	0.214	32205.509	0.026	1150.301
2020-06-27	0.157	32205.666	0.02	1150.321
2020-06-28	0.0	32205.666	0.016	1150.337
2020-06-29	0.0	32205.666	0.013	1150.35
2020-06-30	0.0	32205.666	0.01	1150.36
2020-07-01	0.0	32205.666	0.007	1150.367
2020-07-02	0.0	32205.666	0.0	1150.367
2020-07-03	0.0	32205.666	0.0	1150.367
2020-07-04	0.0	32205.666	0.0	1150.367
2020-07-05	0.0	32205.666	0.0	1150.367
2020-07-06	0.0	32205.666	0.0	1150.367
2020-07-07	0.0	32205.666	0.0	1150.367
2020-07-08	0.0	32205.666	0.0	1150.367
2020-07-09	0.0	32205.666	0.0	1150.367
2020-07-10	0.0	32205.666	0.0	1150.367
2020-07-11	0.0	32205.666	0.0	1150.367
2020-07-12	0.0	32205.666	0.0	1150.367
2020-07-13	0.0	32205.666	0.0	1150.367
2020-07-14	0.0	32205.666	0.0	1150.367
2020-07-15	0.0	32205.666	0.0	1150.367
2020-07-16	0.0	32205.666	0.0	1150.367
2020-07-17	0.0	32205.666	0.0	1150.367
2020-07-18	0.0	32205.666	0.0	1150.367
2020-07-19	0.0	32205.666	0.0	1150.367
2020-07-20	0.0	32205.666	0.0	1150.367
2020-07-21	0.0	32205.666	0.0	1150.367
2020-07-22	0.0	32205.666	0.0	1150.367
2020-07-23	0.0	32205.666	0.0	1150.367
2020-07-24	0.0	32205.666	0.0	1150.367
2020-07-25	0.0	32205.666	0.0	1150.367
2020-07-26	0.0	32205.666	0.0	1150.367
2020-07-27	0.0	32205.666	0.0	1150.367
2020-07-28	0.0	32205.666	0.0	1150.367
2020-07-29	0.0	32205.666	0.0	1150.367
2020-07-30	0.0	32205.666	0.0	1150.367
2020-07-31	0.0	32205.666	0.0	1150.367
2020-08-01	0.0	32205.666	0.0	1150.367
2020-08-02	0.0	32205.666	0.0	1150.367
2020-08-03	0.0	32205.666	0.0	1150.367
2020-08-04	0.0	32205.666	0.0	1150.367
2020-08-05	0.0	32205.666	0.0	1150.367
2020-08-06	0.0	32205.666	0.0	1150.367
2020-08-07	0.0	32205.666	0.0	1150.367
2020-08-08	0.0	32205.666	0.0	1150.367
2020-08-09	0.0	32205.666	0.0	1150.367
2020-08-10	0.0	32205.666	0.0	1150.367
2020-08-11	0.0	32205.666	0.0	1150.367
2020-08-12	0.0	32205.666	0.0	1150.367
2020-08-13	0.0	32205.666	0.0	1150.367
2020-08-14	0.0	32205.666	0.0	1150.367
2020-08-15	0.0	32205.666	0.0	1150.367
2020-08-16	0.0	32205.666	0.0	1150.367
2020-08-17	0.0	32205.666	0.0	1150.367
2020-08-18	0.0	32205.666	0.0	1150.367
2020-08-19	0.0	32205.666	0.0	1150.367
2020-08-20	0.0	32205.666	0.0	1150.367
2020-08-21	0.0	32205.666	0.0	1150.367
2020-08-22	0.0	32205.666	0.0	1150.367
2020-08-23	0.0	32205.666	0.0	1150.367
2020-08-24	0.0	32205.666	0.0	1150.367
2020-08-25	0.0	32205.666	0.0	1150.367
2020-08-26	0.0	32205.666	0.0	1150.367
2020-08-27	0.0	32205.666	0.0	1150.367
2020-08-28	0.0	32205.666	0.0	1150.367
2020-08-29	0.0	32205.666	0.0	1150.367
2020-08-30	0.0	32205.666	0.0	1150.367
