Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-11	2.667	63.667	0.0	2.0
2020-04-12	2.642	66.309	0.0	2.0
2020-04-13	2.608	68.917	0.0	2.0
2020-04-14	2.568	71.485	0.0	2.0
2020-04-15	2.519	74.004	0.0	2.0
2020-04-16	2.459	76.463	0.0	2.0
2020-04-17	2.395	78.858	0.0	2.0
2020-04-18	2.331	81.189	0.0	2.0
2020-04-19	2.268	83.457	0.0	2.0
2020-04-20	2.209	85.666	0.0	2.0
2020-04-21	2.156	87.822	0.0	2.0
2020-04-22	2.101	89.923	0.0	2.0
2020-04-23	2.042	91.965	0.0	2.0
2020-04-24	1.977	93.942	0.0	2.0
2020-04-25	1.907	95.849	0.0	2.0
2020-04-26	1.833	97.682	0.0	2.0
2020-04-27	1.758	99.44	0.0	2.0
2020-04-28	1.683	101.123	0.0	2.0
2020-04-29	1.61	102.733	0.0	2.0
2020-04-30	1.537	104.27	0.0	2.0
2020-05-01	1.467	105.737	0.0	2.0
2020-05-02	1.398	107.135	0.0	2.0
2020-05-03	1.331	108.466	0.0	2.0
2020-05-04	1.265	109.731	0.0	2.0
2020-05-05	1.202	110.933	0.0	2.0
2020-05-06	1.14	112.073	0.0	2.0
2020-05-07	1.081	113.154	0.0	2.0
2020-05-08	1.025	114.179	0.0	2.0
2020-05-09	0.972	115.151	0.0	2.0
2020-05-10	0.92	116.071	0.0	2.0
2020-05-11	0.871	116.942	0.0	2.0
2020-05-12	0.823	117.765	0.0	2.0
2020-05-13	0.776	118.541	0.0	2.0
2020-05-14	0.729	119.27	0.0	2.0
2020-05-15	0.682	119.952	0.0	2.0
2020-05-16	0.635	120.587	0.0	2.0
2020-05-17	0.589	121.176	0.0	2.0
2020-05-18	0.546	121.722	0.0	2.0
2020-05-19	0.509	122.231	0.0	2.0
2020-05-20	0.476	122.707	0.0	2.0
2020-05-21	0.448	123.155	0.0	2.0
2020-05-22	0.424	123.579	0.0	2.0
2020-05-23	0.401	123.98	0.0	2.0
2020-05-24	0.379	124.359	0.0	2.0
2020-05-25	0.356	124.715	0.0	2.0
2020-05-26	0.334	125.049	0.0	2.0
2020-05-27	0.311	125.36	0.0	2.0
2020-05-28	0.289	125.649	0.0	2.0
2020-05-29	0.269	125.918	0.0	2.0
2020-05-30	0.251	126.169	0.0	2.0
2020-05-31	0.235	126.404	0.0	2.0
2020-06-01	0.22	126.624	0.0	2.0
2020-06-02	0.207	126.831	0.0	2.0
2020-06-03	0.194	127.025	0.0	2.0
2020-06-04	0.181	127.206	0.0	2.0
2020-06-05	0.168	127.374	0.0	2.0
2020-06-06	0.155	127.529	0.0	2.0
2020-06-07	0.142	127.671	0.0	2.0
2020-06-08	0.129	127.8	0.0	2.0
2020-06-09	0.116	127.916	0.0	2.0
2020-06-10	0.104	128.02	0.0	2.0
2020-06-11	0.093	128.113	0.0	2.0
2020-06-12	0.083	128.196	0.0	2.0
2020-06-13	0.074	128.27	0.0	2.0
2020-06-14	0.066	128.336	0.0	2.0
2020-06-15	0.057	128.393	0.0	2.0
2020-06-16	0.049	128.442	0.0	2.0
2020-06-17	0.04	128.482	0.0	2.0
2020-06-18	0.031	128.513	0.0	2.0
2020-06-19	0.022	128.535	0.0	2.0
2020-06-20	0.014	128.549	0.0	2.0
2020-06-21	0.009	128.558	0.0	2.0
2020-06-22	0.006	128.564	0.0	2.0
2020-06-23	0.004	128.568	0.0	2.0
2020-06-24	0.003	128.571	0.0	2.0
2020-06-25	0.002	128.573	0.0	2.0
2020-06-26	0.002	128.575	0.0	2.0
2020-06-27	0.001	128.576	0.0	2.0
2020-06-28	0.001	128.577	0.0	2.0
2020-06-29	0.001	128.578	0.0	2.0
2020-06-30	0.001	128.579	0.0	2.0
2020-07-01	0.0	128.579	0.0	2.0
2020-07-02	0.0	128.579	0.0	2.0
2020-07-03	0.0	128.579	0.0	2.0
2020-07-04	0.0	128.579	0.0	2.0
2020-07-05	0.0	128.579	0.0	2.0
2020-07-06	0.0	128.579	0.0	2.0
2020-07-07	0.0	128.579	0.0	2.0
2020-07-08	0.0	128.579	0.0	2.0
2020-07-09	0.0	128.579	0.0	2.0
2020-07-10	0.0	128.579	0.0	2.0
2020-07-11	0.0	128.579	0.0	2.0
2020-07-12	0.0	128.579	0.0	2.0
2020-07-13	0.0	128.579	0.0	2.0
2020-07-14	0.0	128.579	0.0	2.0
2020-07-15	0.0	128.579	0.0	2.0
2020-07-16	0.0	128.579	0.0	2.0
2020-07-17	0.0	128.579	0.0	2.0
2020-07-18	0.0	128.579	0.0	2.0
2020-07-19	0.0	128.579	0.0	2.0
2020-07-20	0.0	128.579	0.0	2.0
2020-07-21	0.0	128.579	0.0	2.0
2020-07-22	0.0	128.579	0.0	2.0
2020-07-23	0.0	128.579	0.0	2.0
2020-07-24	0.0	128.579	0.0	2.0
2020-07-25	0.0	128.579	0.0	2.0
2020-07-26	0.0	128.579	0.0	2.0
2020-07-27	0.0	128.579	0.0	2.0
2020-07-28	0.0	128.579	0.0	2.0
2020-07-29	0.0	128.579	0.0	2.0
2020-07-30	0.0	128.579	0.0	2.0
2020-07-31	0.0	128.579	0.0	2.0
2020-08-01	0.0	128.579	0.0	2.0
2020-08-02	0.0	128.579	0.0	2.0
2020-08-03	0.0	128.579	0.0	2.0
2020-08-04	0.0	128.579	0.0	2.0
2020-08-05	0.0	128.579	0.0	2.0
2020-08-06	0.0	128.579	0.0	2.0
2020-08-07	0.0	128.579	0.0	2.0
2020-08-08	0.0	128.579	0.0	2.0
2020-08-09	0.0	128.579	0.0	2.0
2020-08-10	0.0	128.579	0.0	2.0
2020-08-11	0.0	128.579	0.0	2.0
2020-08-12	0.0	128.579	0.0	2.0
2020-08-13	0.0	128.579	0.0	2.0
2020-08-14	0.0	128.579	0.0	2.0
2020-08-15	0.0	128.579	0.0	2.0
2020-08-16	0.0	128.579	0.0	2.0
2020-08-17	0.0	128.579	0.0	2.0
2020-08-18	0.0	128.579	0.0	2.0
2020-08-19	0.0	128.579	0.0	2.0
2020-08-20	0.0	128.579	0.0	2.0
2020-08-21	0.0	128.579	0.0	2.0
2020-08-22	0.0	128.579	0.0	2.0
2020-08-23	0.0	128.579	0.0	2.0
2020-08-24	0.0	128.579	0.0	2.0
2020-08-25	0.0	128.579	0.0	2.0
2020-08-26	0.0	128.579	0.0	2.0
2020-08-27	0.0	128.579	0.0	2.0
2020-08-28	0.0	128.579	0.0	2.0
2020-08-29	0.0	128.579	0.0	2.0
2020-08-30	0.0	128.579	0.0	2.0
