Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-11	2.0	34.0	0.0	1.0
2020-04-12	1.982	35.982	0.0	1.0
2020-04-13	1.956	37.938	0.0	1.0
2020-04-14	1.926	39.864	0.0	1.0
2020-04-15	1.889	41.753	0.0	1.0
2020-04-16	1.845	43.598	0.0	1.0
2020-04-17	1.797	45.395	0.0	1.0
2020-04-18	1.749	47.144	0.0	1.0
2020-04-19	1.701	48.845	0.0	1.0
2020-04-20	1.657	50.502	0.0	1.0
2020-04-21	1.617	52.119	0.0	1.0
2020-04-22	1.576	53.695	0.0	1.0
2020-04-23	1.531	55.226	0.0	1.0
2020-04-24	1.483	56.709	0.0	1.0
2020-04-25	1.43	58.139	0.0	1.0
2020-04-26	1.374	59.513	0.0	1.0
2020-04-27	1.318	60.831	0.0	1.0
2020-04-28	1.263	62.094	0.0	1.0
2020-04-29	1.207	63.301	0.0	1.0
2020-04-30	1.153	64.454	0.0	1.0
2020-05-01	1.1	65.554	0.0	1.0
2020-05-02	1.049	66.603	0.0	1.0
2020-05-03	0.998	67.601	0.0	1.0
2020-05-04	0.949	68.55	0.0	1.0
2020-05-05	0.901	69.451	0.0	1.0
2020-05-06	0.855	70.306	0.0	1.0
2020-05-07	0.811	71.117	0.0	1.0
2020-05-08	0.769	71.886	0.0	1.0
2020-05-09	0.729	72.615	0.0	1.0
2020-05-10	0.69	73.305	0.0	1.0
2020-05-11	0.653	73.958	0.0	1.0
2020-05-12	0.617	74.575	0.0	1.0
2020-05-13	0.582	75.157	0.0	1.0
2020-05-14	0.547	75.704	0.0	1.0
2020-05-15	0.511	76.215	0.0	1.0
2020-05-16	0.476	76.691	0.0	1.0
2020-05-17	0.442	77.133	0.0	1.0
2020-05-18	0.41	77.543	0.0	1.0
2020-05-19	0.382	77.925	0.0	1.0
2020-05-20	0.357	78.282	0.0	1.0
2020-05-21	0.336	78.618	0.0	1.0
2020-05-22	0.318	78.936	0.0	1.0
2020-05-23	0.301	79.237	0.0	1.0
2020-05-24	0.284	79.521	0.0	1.0
2020-05-25	0.267	79.788	0.0	1.0
2020-05-26	0.25	80.038	0.0	1.0
2020-05-27	0.234	80.272	0.0	1.0
2020-05-28	0.217	80.489	0.0	1.0
2020-05-29	0.202	80.691	0.0	1.0
2020-05-30	0.188	80.879	0.0	1.0
2020-05-31	0.176	81.055	0.0	1.0
2020-06-01	0.165	81.22	0.0	1.0
2020-06-02	0.155	81.375	0.0	1.0
2020-06-03	0.146	81.521	0.0	1.0
2020-06-04	0.136	81.657	0.0	1.0
2020-06-05	0.126	81.783	0.0	1.0
2020-06-06	0.116	81.899	0.0	1.0
2020-06-07	0.106	82.005	0.0	1.0
2020-06-08	0.096	82.101	0.0	1.0
2020-06-09	0.087	82.188	0.0	1.0
2020-06-10	0.078	82.266	0.0	1.0
2020-06-11	0.07	82.336	0.0	1.0
2020-06-12	0.062	82.398	0.0	1.0
2020-06-13	0.056	82.454	0.0	1.0
2020-06-14	0.049	82.503	0.0	1.0
2020-06-15	0.043	82.546	0.0	1.0
2020-06-16	0.036	82.582	0.0	1.0
2020-06-17	0.03	82.612	0.0	1.0
2020-06-18	0.023	82.635	0.0	1.0
2020-06-19	0.017	82.652	0.0	1.0
2020-06-20	0.011	82.663	0.0	1.0
2020-06-21	0.007	82.67	0.0	1.0
2020-06-22	0.004	82.674	0.0	1.0
2020-06-23	0.003	82.677	0.0	1.0
2020-06-24	0.002	82.679	0.0	1.0
2020-06-25	0.002	82.681	0.0	1.0
2020-06-26	0.001	82.682	0.0	1.0
2020-06-27	0.001	82.683	0.0	1.0
2020-06-28	0.001	82.684	0.0	1.0
2020-06-29	0.001	82.685	0.0	1.0
2020-06-30	0.0	82.685	0.0	1.0
2020-07-01	0.0	82.685	0.0	1.0
2020-07-02	0.0	82.685	0.0	1.0
2020-07-03	0.0	82.685	0.0	1.0
2020-07-04	0.0	82.685	0.0	1.0
2020-07-05	0.0	82.685	0.0	1.0
2020-07-06	0.0	82.685	0.0	1.0
2020-07-07	0.0	82.685	0.0	1.0
2020-07-08	0.0	82.685	0.0	1.0
2020-07-09	0.0	82.685	0.0	1.0
2020-07-10	0.0	82.685	0.0	1.0
2020-07-11	0.0	82.685	0.0	1.0
2020-07-12	0.0	82.685	0.0	1.0
2020-07-13	0.0	82.685	0.0	1.0
2020-07-14	0.0	82.685	0.0	1.0
2020-07-15	0.0	82.685	0.0	1.0
2020-07-16	0.0	82.685	0.0	1.0
2020-07-17	0.0	82.685	0.0	1.0
2020-07-18	0.0	82.685	0.0	1.0
2020-07-19	0.0	82.685	0.0	1.0
2020-07-20	0.0	82.685	0.0	1.0
2020-07-21	0.0	82.685	0.0	1.0
2020-07-22	0.0	82.685	0.0	1.0
2020-07-23	0.0	82.685	0.0	1.0
2020-07-24	0.0	82.685	0.0	1.0
2020-07-25	0.0	82.685	0.0	1.0
2020-07-26	0.0	82.685	0.0	1.0
2020-07-27	0.0	82.685	0.0	1.0
2020-07-28	0.0	82.685	0.0	1.0
2020-07-29	0.0	82.685	0.0	1.0
2020-07-30	0.0	82.685	0.0	1.0
2020-07-31	0.0	82.685	0.0	1.0
2020-08-01	0.0	82.685	0.0	1.0
2020-08-02	0.0	82.685	0.0	1.0
2020-08-03	0.0	82.685	0.0	1.0
2020-08-04	0.0	82.685	0.0	1.0
2020-08-05	0.0	82.685	0.0	1.0
2020-08-06	0.0	82.685	0.0	1.0
2020-08-07	0.0	82.685	0.0	1.0
2020-08-08	0.0	82.685	0.0	1.0
2020-08-09	0.0	82.685	0.0	1.0
2020-08-10	0.0	82.685	0.0	1.0
2020-08-11	0.0	82.685	0.0	1.0
2020-08-12	0.0	82.685	0.0	1.0
2020-08-13	0.0	82.685	0.0	1.0
2020-08-14	0.0	82.685	0.0	1.0
2020-08-15	0.0	82.685	0.0	1.0
2020-08-16	0.0	82.685	0.0	1.0
2020-08-17	0.0	82.685	0.0	1.0
2020-08-18	0.0	82.685	0.0	1.0
2020-08-19	0.0	82.685	0.0	1.0
2020-08-20	0.0	82.685	0.0	1.0
2020-08-21	0.0	82.685	0.0	1.0
2020-08-22	0.0	82.685	0.0	1.0
2020-08-23	0.0	82.685	0.0	1.0
2020-08-24	0.0	82.685	0.0	1.0
2020-08-25	0.0	82.685	0.0	1.0
2020-08-26	0.0	82.685	0.0	1.0
2020-08-27	0.0	82.685	0.0	1.0
2020-08-28	0.0	82.685	0.0	1.0
2020-08-29	0.0	82.685	0.0	1.0
2020-08-30	0.0	82.685	0.0	1.0
