Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-11	0.8	9.8	0.0	0.0
2020-04-12	0.869	10.669	0.0	0.0
2020-04-13	0.945	11.614	0.0	0.0
2020-04-14	1.021	12.635	0.0	0.0
2020-04-15	1.094	13.729	0.0	0.0
2020-04-16	1.157	14.886	0.0	0.0
2020-04-17	1.205	16.091	0.0	0.0
2020-04-18	1.233	17.324	0.0	0.0
2020-04-19	1.249	18.573	0.0	0.0
2020-04-20	1.253	19.826	0.0	0.0
2020-04-21	1.251	21.077	0.0	0.0
2020-04-22	1.24	22.317	0.0	0.0
2020-04-23	1.223	23.54	0.0	0.0
2020-04-24	1.205	24.745	0.0	0.0
2020-04-25	1.182	25.927	0.0	0.0
2020-04-26	1.154	27.081	0.0	0.0
2020-04-27	1.124	28.205	0.0	0.0
2020-04-28	1.094	29.299	0.0	0.0
2020-04-29	1.064	30.363	0.0	0.0
2020-04-30	1.037	31.4	0.0	0.0
2020-05-01	1.011	32.411	0.0	0.0
2020-05-02	0.986	33.397	0.0	0.0
2020-05-03	0.958	34.355	0.0	0.0
2020-05-04	0.927	35.282	0.0	0.0
2020-05-05	0.895	36.177	0.0	0.0
2020-05-06	0.86	37.037	0.0	0.0
2020-05-07	0.825	37.862	0.0	0.0
2020-05-08	0.79	38.652	0.0	0.0
2020-05-09	0.755	39.407	0.0	0.0
2020-05-10	0.721	40.128	0.0	0.0
2020-05-11	0.688	40.816	0.0	0.0
2020-05-12	0.656	41.472	0.0	0.0
2020-05-13	0.624	42.096	0.0	0.0
2020-05-14	0.593	42.689	0.0	0.0
2020-05-15	0.564	43.253	0.0	0.0
2020-05-16	0.535	43.788	0.0	0.0
2020-05-17	0.507	44.295	0.0	0.0
2020-05-18	0.481	44.776	0.0	0.0
2020-05-19	0.456	45.232	0.0	0.0
2020-05-20	0.432	45.664	0.0	0.0
2020-05-21	0.409	46.073	0.0	0.0
2020-05-22	0.386	46.459	0.0	0.0
2020-05-23	0.364	46.823	0.0	0.0
2020-05-24	0.342	47.165	0.0	0.0
2020-05-25	0.32	47.485	0.0	0.0
2020-05-26	0.298	47.783	0.0	0.0
2020-05-27	0.276	48.059	0.0	0.0
2020-05-28	0.256	48.315	0.0	0.0
2020-05-29	0.239	48.554	0.0	0.0
2020-05-30	0.223	48.777	0.0	0.0
2020-05-31	0.21	48.987	0.0	0.0
2020-06-01	0.199	49.186	0.0	0.0
2020-06-02	0.188	49.374	0.0	0.0
2020-06-03	0.178	49.552	0.0	0.0
2020-06-04	0.167	49.719	0.0	0.0
2020-06-05	0.157	49.876	0.0	0.0
2020-06-06	0.146	50.022	0.0	0.0
2020-06-07	0.136	50.158	0.0	0.0
2020-06-08	0.126	50.284	0.0	0.0
2020-06-09	0.118	50.402	0.0	0.0
2020-06-10	0.11	50.512	0.0	0.0
2020-06-11	0.103	50.615	0.0	0.0
2020-06-12	0.097	50.712	0.0	0.0
2020-06-13	0.091	50.803	0.0	0.0
2020-06-14	0.085	50.888	0.0	0.0
2020-06-15	0.079	50.967	0.0	0.0
2020-06-16	0.073	51.04	0.0	0.0
2020-06-17	0.067	51.107	0.0	0.0
