Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-12	6.867	72.867	0.8	0.8
2020-04-13	6.804	79.671	0.759	1.559
2020-04-14	6.715	86.386	0.72	2.279
2020-04-15	6.614	93.0	0.683	2.962
2020-04-16	6.486	99.486	0.647	3.609
2020-04-17	6.333	105.819	0.613	4.222
2020-04-18	6.168	111.987	0.58	4.802
2020-04-19	6.003	117.99	0.548	5.35
2020-04-20	5.84	123.83	0.516	5.866
2020-04-21	5.689	129.519	0.485	6.351
2020-04-22	5.551	135.07	0.454	6.805
2020-04-23	5.41	140.48	0.423	7.228
2020-04-24	5.257	145.737	0.392	7.62
2020-04-25	5.09	150.827	0.364	7.984
2020-04-26	4.911	155.738	0.339	8.323
2020-04-27	4.719	160.457	0.317	8.64
2020-04-28	4.527	164.984	0.298	8.938
2020-04-29	4.335	169.319	0.282	9.22
2020-04-30	4.145	173.464	0.267	9.487
2020-05-01	3.959	177.423	0.252	9.739
2020-05-02	3.778	181.201	0.237	9.976
2020-05-03	3.6	184.801	0.222	10.198
2020-05-04	3.426	188.227	0.207	10.405
2020-05-05	3.257	191.484	0.193	10.598
2020-05-06	3.094	194.578	0.179	10.777
2020-05-07	2.935	197.513	0.167	10.944
2020-05-08	2.784	200.297	0.156	11.1
2020-05-09	2.64	202.937	0.147	11.247
2020-05-10	2.502	205.439	0.138	11.385
2020-05-11	2.37	207.809	0.129	11.514
2020-05-12	2.242	210.051	0.121	11.635
2020-05-13	2.119	212.17	0.112	11.747
2020-05-14	1.997	214.167	0.103	11.85
2020-05-15	1.877	216.044	0.094	11.944
2020-05-16	1.756	217.8	0.086	12.03
2020-05-17	1.635	219.435	0.077	12.107
2020-05-18	1.517	220.952	0.069	12.176
2020-05-19	1.407	222.359	0.062	12.238
2020-05-20	1.31	223.669	0.055	12.293
2020-05-21	1.226	224.895	0.049	12.342
2020-05-22	1.154	226.049	0.044	12.386
2020-05-23	1.091	227.14	0.038	12.424
2020-05-24	1.033	228.173	0.032	12.456
2020-05-25	0.975	229.148	0.027	12.483
2020-05-26	0.917	230.065	0.021	12.504
2020-05-27	0.86	230.925	0.015	12.519
2020-05-28	0.802	231.727	0.009	12.528
2020-05-29	0.745	232.472	0.006	12.534
2020-05-30	0.693	233.165	0.004	12.538
2020-05-31	0.646	233.811	0.002	12.54
2020-06-01	0.605	234.416	0.002	12.542
2020-06-02	0.567	234.983	0.001	12.543
2020-06-03	0.533	235.516	0.001	12.544
2020-06-04	0.5	236.016	0.001	12.545
2020-06-05	0.466	236.482	0.001	12.546
2020-06-06	0.432	236.914	0.001	12.547
2020-06-07	0.399	237.313	0.0	12.547
2020-06-08	0.365	237.678	0.0	12.547
2020-06-09	0.331	238.009	0.0	12.547
2020-06-10	0.298	238.307	0.0	12.547
2020-06-11	0.268	238.575	0.0	12.547
2020-06-12	0.24	238.815	0.0	12.547
2020-06-13	0.214	239.029	0.0	12.547
2020-06-14	0.191	239.22	0.0	12.547
2020-06-15	0.169	239.389	0.0	12.547
2020-06-16	0.147	239.536	0.0	12.547
2020-06-17	0.125	239.661	0.0	12.547
2020-06-18	0.103	239.764	0.0	12.547
2020-06-19	0.08	239.844	0.0	12.547
2020-06-20	0.057	239.901	0.0	12.547
2020-06-21	0.037	239.938	0.0	12.547
2020-06-22	0.023	239.961	0.0	12.547
2020-06-23	0.014	239.975	0.0	12.547
2020-06-24	0.009	239.984	0.0	12.547
2020-06-25	0.007	239.991	0.0	12.547
2020-06-26	0.005	239.996	0.0	12.547
2020-06-27	0.004	240.0	0.0	12.547
2020-06-28	0.003	240.003	0.0	12.547
2020-06-29	0.003	240.006	0.0	12.547
2020-06-30	0.002	240.008	0.0	12.547
2020-07-01	0.001	240.009	0.0	12.547
2020-07-02	0.0	240.009	0.0	12.547
2020-07-03	0.0	240.009	0.0	12.547
2020-07-04	0.0	240.009	0.0	12.547
2020-07-05	0.0	240.009	0.0	12.547
2020-07-06	0.0	240.009	0.0	12.547
2020-07-07	0.0	240.009	0.0	12.547
2020-07-08	0.0	240.009	0.0	12.547
2020-07-09	0.0	240.009	0.0	12.547
2020-07-10	0.0	240.009	0.0	12.547
2020-07-11	0.0	240.009	0.0	12.547
2020-07-12	0.0	240.009	0.0	12.547
2020-07-13	0.0	240.009	0.0	12.547
2020-07-14	0.0	240.009	0.0	12.547
2020-07-15	0.0	240.009	0.0	12.547
2020-07-16	0.0	240.009	0.0	12.547
2020-07-17	0.0	240.009	0.0	12.547
2020-07-18	0.0	240.009	0.0	12.547
2020-07-19	0.0	240.009	0.0	12.547
2020-07-20	0.0	240.009	0.0	12.547
2020-07-21	0.0	240.009	0.0	12.547
2020-07-22	0.0	240.009	0.0	12.547
2020-07-23	0.0	240.009	0.0	12.547
2020-07-24	0.0	240.009	0.0	12.547
2020-07-25	0.0	240.009	0.0	12.547
2020-07-26	0.0	240.009	0.0	12.547
2020-07-27	0.0	240.009	0.0	12.547
2020-07-28	0.0	240.009	0.0	12.547
2020-07-29	0.0	240.009	0.0	12.547
2020-07-30	0.0	240.009	0.0	12.547
2020-07-31	0.0	240.009	0.0	12.547
2020-08-01	0.0	240.009	0.0	12.547
2020-08-02	0.0	240.009	0.0	12.547
2020-08-03	0.0	240.009	0.0	12.547
2020-08-04	0.0	240.009	0.0	12.547
2020-08-05	0.0	240.009	0.0	12.547
2020-08-06	0.0	240.009	0.0	12.547
2020-08-07	0.0	240.009	0.0	12.547
2020-08-08	0.0	240.009	0.0	12.547
2020-08-09	0.0	240.009	0.0	12.547
2020-08-10	0.0	240.009	0.0	12.547
2020-08-11	0.0	240.009	0.0	12.547
2020-08-12	0.0	240.009	0.0	12.547
2020-08-13	0.0	240.009	0.0	12.547
2020-08-14	0.0	240.009	0.0	12.547
2020-08-15	0.0	240.009	0.0	12.547
2020-08-16	0.0	240.009	0.0	12.547
2020-08-17	0.0	240.009	0.0	12.547
2020-08-18	0.0	240.009	0.0	12.547
2020-08-19	0.0	240.009	0.0	12.547
2020-08-20	0.0	240.009	0.0	12.547
2020-08-21	0.0	240.009	0.0	12.547
2020-08-22	0.0	240.009	0.0	12.547
2020-08-23	0.0	240.009	0.0	12.547
2020-08-24	0.0	240.009	0.0	12.547
2020-08-25	0.0	240.009	0.0	12.547
2020-08-26	0.0	240.009	0.0	12.547
2020-08-27	0.0	240.009	0.0	12.547
2020-08-28	0.0	240.009	0.0	12.547
2020-08-29	0.0	240.009	0.0	12.547
2020-08-30	0.0	240.009	0.0	12.547
