Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-12	8.867	202.867	0.133	7.133
2020-04-13	8.785	211.652	0.145	7.278
2020-04-14	8.671	220.323	0.158	7.436
2020-04-15	8.54	228.863	0.17	7.606
2020-04-16	8.376	237.239	0.182	7.788
2020-04-17	8.178	245.417	0.193	7.981
2020-04-18	7.965	253.382	0.201	8.182
2020-04-19	7.752	261.134	0.206	8.388
2020-04-20	7.541	268.675	0.208	8.596
2020-04-21	7.346	276.021	0.209	8.805
2020-04-22	7.168	283.189	0.209	9.014
2020-04-23	6.986	290.175	0.207	9.221
2020-04-24	6.788	296.963	0.204	9.425
2020-04-25	6.573	303.536	0.201	9.626
2020-04-26	6.341	309.877	0.197	9.823
2020-04-27	6.093	315.97	0.192	10.015
2020-04-28	5.845	321.815	0.187	10.202
2020-04-29	5.597	327.412	0.182	10.384
2020-04-30	5.352	332.764	0.177	10.561
2020-05-01	5.112	337.876	0.173	10.734
2020-05-02	4.879	342.755	0.169	10.903
2020-05-03	4.649	347.404	0.164	11.067
2020-05-04	4.424	351.828	0.16	11.227
2020-05-05	4.206	356.034	0.155	11.382
2020-05-06	3.995	360.029	0.149	11.531
2020-05-07	3.79	363.819	0.143	11.674
2020-05-08	3.595	367.414	0.137	11.811
2020-05-09	3.409	370.823	0.132	11.943
2020-05-10	3.231	374.054	0.126	12.069
2020-05-11	3.06	377.114	0.12	12.189
2020-05-12	2.895	380.009	0.115	12.304
2020-05-13	2.736	382.745	0.109	12.413
2020-05-14	2.579	385.324	0.104	12.517
2020-05-15	2.423	387.747	0.099	12.616
2020-05-16	2.268	390.015	0.094	12.71
2020-05-17	2.112	392.127	0.089	12.799
2020-05-18	1.959	394.086	0.085	12.884
2020-05-19	1.817	395.903	0.08	12.964
2020-05-20	1.692	397.595	0.076	13.04
2020-05-21	1.583	399.178	0.072	13.112
2020-05-22	1.49	400.668	0.068	13.18
2020-05-23	1.409	402.077	0.064	13.244
2020-05-24	1.334	403.411	0.061	13.305
2020-05-25	1.259	404.67	0.057	13.362
2020-05-26	1.184	405.854	0.053	13.415
2020-05-27	1.11	406.964	0.05	13.465
2020-05-28	1.035	407.999	0.046	13.511
2020-05-29	0.962	408.961	0.043	13.554
2020-05-30	0.895	409.856	0.04	13.594
2020-05-31	0.835	410.691	0.037	13.631
2020-06-01	0.781	411.472	0.035	13.666
2020-06-02	0.732	412.204	0.033	13.699
2020-06-03	0.689	412.893	0.031	13.73
2020-06-04	0.645	413.538	0.03	13.76
2020-06-05	0.602	414.14	0.028	13.788
2020-06-06	0.558	414.698	0.026	13.814
2020-06-07	0.515	415.213	0.024	13.838
2020-06-08	0.471	415.684	0.023	13.861
2020-06-09	0.428	416.112	0.021	13.882
2020-06-10	0.385	416.497	0.02	13.902
2020-06-11	0.346	416.843	0.018	13.92
2020-06-12	0.31	417.153	0.017	13.937
2020-06-13	0.277	417.43	0.016	13.953
2020-06-14	0.246	417.676	0.015	13.968
2020-06-15	0.218	417.894	0.014	13.982
2020-06-16	0.19	418.084	0.013	13.995
2020-06-17	0.161	418.245	0.012	14.007
2020-06-18	0.133	418.378	0.011	14.018
2020-06-19	0.104	418.482	0.01	14.028
2020-06-20	0.074	418.556	0.009	14.037
2020-06-21	0.047	418.603	0.008	14.045
2020-06-22	0.029	418.632	0.007	14.052
2020-06-23	0.018	418.65	0.007	14.059
2020-06-24	0.012	418.662	0.006	14.065
2020-06-25	0.009	418.671	0.005	14.07
2020-06-26	0.007	418.678	0.004	14.074
2020-06-27	0.005	418.683	0.004	14.078
2020-06-28	0.004	418.687	0.003	14.081
2020-06-29	0.003	418.69	0.002	14.083
2020-06-30	0.003	418.693	0.002	14.085
2020-07-01	0.002	418.695	0.001	14.086
2020-07-02	0.0	418.695	0.001	14.087
2020-07-03	0.0	418.695	0.0	14.087
2020-07-04	0.0	418.695	0.0	14.087
2020-07-05	0.0	418.695	0.0	14.087
2020-07-06	0.0	418.695	0.0	14.087
2020-07-07	0.0	418.695	0.0	14.087
2020-07-08	0.0	418.695	0.0	14.087
2020-07-09	0.0	418.695	0.0	14.087
2020-07-10	0.0	418.695	0.0	14.087
2020-07-11	0.0	418.695	0.0	14.087
2020-07-12	0.0	418.695	0.0	14.087
2020-07-13	0.0	418.695	0.0	14.087
2020-07-14	0.0	418.695	0.0	14.087
2020-07-15	0.0	418.695	0.0	14.087
2020-07-16	0.0	418.695	0.0	14.087
2020-07-17	0.0	418.695	0.0	14.087
2020-07-18	0.0	418.695	0.0	14.087
2020-07-19	0.0	418.695	0.0	14.087
2020-07-20	0.0	418.695	0.0	14.087
2020-07-21	0.0	418.695	0.0	14.087
2020-07-22	0.0	418.695	0.0	14.087
2020-07-23	0.0	418.695	0.0	14.087
2020-07-24	0.0	418.695	0.0	14.087
2020-07-25	0.0	418.695	0.0	14.087
2020-07-26	0.0	418.695	0.0	14.087
2020-07-27	0.0	418.695	0.0	14.087
2020-07-28	0.0	418.695	0.0	14.087
2020-07-29	0.0	418.695	0.0	14.087
2020-07-30	0.0	418.695	0.0	14.087
2020-07-31	0.0	418.695	0.0	14.087
2020-08-01	0.0	418.695	0.0	14.087
2020-08-02	0.0	418.695	0.0	14.087
2020-08-03	0.0	418.695	0.0	14.087
2020-08-04	0.0	418.695	0.0	14.087
2020-08-05	0.0	418.695	0.0	14.087
2020-08-06	0.0	418.695	0.0	14.087
2020-08-07	0.0	418.695	0.0	14.087
2020-08-08	0.0	418.695	0.0	14.087
2020-08-09	0.0	418.695	0.0	14.087
2020-08-10	0.0	418.695	0.0	14.087
2020-08-11	0.0	418.695	0.0	14.087
2020-08-12	0.0	418.695	0.0	14.087
2020-08-13	0.0	418.695	0.0	14.087
2020-08-14	0.0	418.695	0.0	14.087
2020-08-15	0.0	418.695	0.0	14.087
2020-08-16	0.0	418.695	0.0	14.087
2020-08-17	0.0	418.695	0.0	14.087
2020-08-18	0.0	418.695	0.0	14.087
2020-08-19	0.0	418.695	0.0	14.087
2020-08-20	0.0	418.695	0.0	14.087
2020-08-21	0.0	418.695	0.0	14.087
2020-08-22	0.0	418.695	0.0	14.087
2020-08-23	0.0	418.695	0.0	14.087
2020-08-24	0.0	418.695	0.0	14.087
2020-08-25	0.0	418.695	0.0	14.087
2020-08-26	0.0	418.695	0.0	14.087
2020-08-27	0.0	418.695	0.0	14.087
2020-08-28	0.0	418.695	0.0	14.087
2020-08-29	0.0	418.695	0.0	14.087
2020-08-30	0.0	418.695	0.0	14.087
