Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-12	3.267	54.267	1.733	1.733
2020-04-13	3.237	57.504	1.883	3.616
2020-04-14	3.195	60.699	2.048	5.664
2020-04-15	3.146	63.845	2.212	7.876
2020-04-16	3.086	66.931	2.371	10.247
2020-04-17	3.013	69.944	2.506	12.753
2020-04-18	2.934	72.878	2.611	15.364
2020-04-19	2.856	75.734	2.672	18.036
2020-04-20	2.778	78.512	2.706	20.742
2020-04-21	2.706	81.218	2.716	23.458
2020-04-22	2.641	83.859	2.711	26.169
2020-04-23	2.574	86.433	2.686	28.855
2020-04-24	2.501	88.934	2.651	31.506
2020-04-25	2.422	91.356	2.611	34.117
2020-04-26	2.336	93.692	2.56	36.677
2020-04-27	2.245	95.937	2.5	39.177
2020-04-28	2.154	98.091	2.435	41.612
2020-04-29	2.062	100.153	2.37	43.982
2020-04-30	1.972	102.125	2.305	46.287
2020-05-01	1.883	104.008	2.246	48.533
2020-05-02	1.797	105.805	2.191	50.724
2020-05-03	1.713	107.518	2.136	52.86
2020-05-04	1.63	109.148	2.075	54.935
2020-05-05	1.549	110.697	2.009	56.944
2020-05-06	1.472	112.169	1.938	58.882
2020-05-07	1.396	113.565	1.863	60.745
2020-05-08	1.324	114.889	1.787	62.532
2020-05-09	1.256	116.145	1.711	64.243
2020-05-10	1.191	117.336	1.636	65.879
2020-05-11	1.127	118.463	1.563	67.442
2020-05-12	1.067	119.53	1.491	68.933
2020-05-13	1.008	120.538	1.421	70.354
2020-05-14	0.95	121.488	1.353	71.707
2020-05-15	0.893	122.381	1.286	72.993
2020-05-16	0.835	123.216	1.221	74.214
2020-05-17	0.778	123.994	1.159	75.373
2020-05-18	0.722	124.716	1.099	76.472
2020-05-19	0.669	125.385	1.042	77.514
2020-05-20	0.623	126.008	0.988	78.502
2020-05-21	0.583	126.591	0.936	79.438
2020-05-22	0.549	127.14	0.885	80.323
2020-05-23	0.519	127.659	0.836	81.159
2020-05-24	0.491	128.15	0.788	81.947
2020-05-25	0.464	128.614	0.741	82.688
2020-05-26	0.436	129.05	0.693	83.381
2020-05-27	0.409	129.459	0.646	84.027
2020-05-28	0.381	129.84	0.599	84.626
2020-05-29	0.354	130.194	0.555	85.181
2020-05-30	0.33	130.524	0.517	85.698
2020-05-31	0.308	130.832	0.484	86.182
2020-06-01	0.288	131.12	0.455	86.637
2020-06-02	0.27	131.39	0.431	87.068
2020-06-03	0.254	131.644	0.408	87.476
2020-06-04	0.238	131.882	0.385	87.861
2020-06-05	0.222	132.104	0.362	88.223
2020-06-06	0.206	132.31	0.339	88.562
2020-06-07	0.19	132.5	0.316	88.878
2020-06-08	0.174	132.674	0.294	89.172
2020-06-09	0.158	132.832	0.274	89.446
2020-06-10	0.142	132.974	0.255	89.701
2020-06-11	0.127	133.101	0.239	89.94
2020-06-12	0.114	133.215	0.224	90.164
2020-06-13	0.102	133.317	0.211	90.375
2020-06-14	0.091	133.408	0.197	90.572
2020-06-15	0.08	133.488	0.184	90.756
2020-06-16	0.07	133.558	0.171	90.927
2020-06-17	0.059	133.617	0.157	91.084
2020-06-18	0.049	133.666	0.144	91.228
2020-06-19	0.038	133.704	0.131	91.359
2020-06-20	0.027	133.731	0.118	91.477
2020-06-21	0.017	133.748	0.106	91.583
2020-06-22	0.011	133.759	0.095	91.678
2020-06-23	0.007	133.766	0.085	91.763
2020-06-24	0.004	133.77	0.075	91.838
2020-06-25	0.003	133.773	0.067	91.905
2020-06-26	0.002	133.775	0.058	91.963
2020-06-27	0.002	133.777	0.049	92.012
2020-06-28	0.002	133.779	0.041	92.053
2020-06-29	0.001	133.78	0.032	92.085
2020-06-30	0.001	133.781	0.023	92.108
2020-07-01	0.001	133.782	0.014	92.122
2020-07-02	0.0	133.782	0.009	92.131
2020-07-03	0.0	133.782	0.006	92.137
2020-07-04	0.0	133.782	0.004	92.141
2020-07-05	0.0	133.782	0.003	92.144
2020-07-06	0.0	133.782	0.002	92.146
2020-07-07	0.0	133.782	0.002	92.148
2020-07-08	0.0	133.782	0.001	92.149
2020-07-09	0.0	133.782	0.001	92.15
2020-07-10	0.0	133.782	0.001	92.151
2020-07-11	0.0	133.782	0.0	92.151
2020-07-12	0.0	133.782	0.0	92.151
2020-07-13	0.0	133.782	0.0	92.151
2020-07-14	0.0	133.782	0.0	92.151
2020-07-15	0.0	133.782	0.0	92.151
2020-07-16	0.0	133.782	0.0	92.151
2020-07-17	0.0	133.782	0.0	92.151
2020-07-18	0.0	133.782	0.0	92.151
2020-07-19	0.0	133.782	0.0	92.151
2020-07-20	0.0	133.782	0.0	92.151
2020-07-21	0.0	133.782	0.0	92.151
2020-07-22	0.0	133.782	0.0	92.151
2020-07-23	0.0	133.782	0.0	92.151
2020-07-24	0.0	133.782	0.0	92.151
2020-07-25	0.0	133.782	0.0	92.151
2020-07-26	0.0	133.782	0.0	92.151
2020-07-27	0.0	133.782	0.0	92.151
2020-07-28	0.0	133.782	0.0	92.151
2020-07-29	0.0	133.782	0.0	92.151
2020-07-30	0.0	133.782	0.0	92.151
2020-07-31	0.0	133.782	0.0	92.151
2020-08-01	0.0	133.782	0.0	92.151
2020-08-02	0.0	133.782	0.0	92.151
2020-08-03	0.0	133.782	0.0	92.151
2020-08-04	0.0	133.782	0.0	92.151
2020-08-05	0.0	133.782	0.0	92.151
2020-08-06	0.0	133.782	0.0	92.151
2020-08-07	0.0	133.782	0.0	92.151
2020-08-08	0.0	133.782	0.0	92.151
2020-08-09	0.0	133.782	0.0	92.151
2020-08-10	0.0	133.782	0.0	92.151
2020-08-11	0.0	133.782	0.0	92.151
2020-08-12	0.0	133.782	0.0	92.151
2020-08-13	0.0	133.782	0.0	92.151
2020-08-14	0.0	133.782	0.0	92.151
2020-08-15	0.0	133.782	0.0	92.151
2020-08-16	0.0	133.782	0.0	92.151
2020-08-17	0.0	133.782	0.0	92.151
2020-08-18	0.0	133.782	0.0	92.151
2020-08-19	0.0	133.782	0.0	92.151
2020-08-20	0.0	133.782	0.0	92.151
2020-08-21	0.0	133.782	0.0	92.151
2020-08-22	0.0	133.782	0.0	92.151
2020-08-23	0.0	133.782	0.0	92.151
2020-08-24	0.0	133.782	0.0	92.151
2020-08-25	0.0	133.782	0.0	92.151
2020-08-26	0.0	133.782	0.0	92.151
2020-08-27	0.0	133.782	0.0	92.151
2020-08-28	0.0	133.782	0.0	92.151
2020-08-29	0.0	133.782	0.0	92.151
2020-08-30	0.0	133.782	0.0	92.151
