Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-13	1.671	23.671	0.0	2.0
2020-04-14	1.71	25.381	0.0	2.0
2020-04-15	1.732	27.113	0.0	2.0
2020-04-16	1.738	28.851	0.0	2.0
2020-04-17	1.735	30.586	0.0	2.0
2020-04-18	1.719	32.305	0.0	2.0
2020-04-19	1.696	34.001	0.0	2.0
2020-04-20	1.671	35.672	0.0	2.0
2020-04-21	1.639	37.311	0.0	2.0
2020-04-22	1.6	38.911	0.0	2.0
2020-04-23	1.558	40.469	0.0	2.0
2020-04-24	1.517	41.986	0.0	2.0
2020-04-25	1.475	43.461	0.0	2.0
2020-04-26	1.437	44.898	0.0	2.0
2020-04-27	1.402	46.3	0.0	2.0
2020-04-28	1.367	47.667	0.0	2.0
2020-04-29	1.328	48.995	0.0	2.0
2020-04-30	1.286	50.281	0.0	2.0
2020-05-01	1.241	51.522	0.0	2.0
2020-05-02	1.192	52.714	0.0	2.0
2020-05-03	1.144	53.858	0.0	2.0
2020-05-04	1.095	54.953	0.0	2.0
2020-05-05	1.047	56.0	0.0	2.0
2020-05-06	1.0	57.0	0.0	2.0
2020-05-07	0.954	57.954	0.0	2.0
2020-05-08	0.909	58.863	0.0	2.0
2020-05-09	0.866	59.729	0.0	2.0
2020-05-10	0.823	60.552	0.0	2.0
2020-05-11	0.782	61.334	0.0	2.0
2020-05-12	0.742	62.076	0.0	2.0
2020-05-13	0.703	62.779	0.0	2.0
2020-05-14	0.667	63.446	0.0	2.0
2020-05-15	0.632	64.078	0.0	2.0
2020-05-16	0.599	64.677	0.0	2.0
2020-05-17	0.566	65.243	0.0	2.0
2020-05-18	0.535	65.778	0.0	2.0
2020-05-19	0.504	66.282	0.0	2.0
2020-05-20	0.474	66.756	0.0	2.0
2020-05-21	0.444	67.2	0.0	2.0
2020-05-22	0.413	67.613	0.0	2.0
2020-05-23	0.383	67.996	0.0	2.0
2020-05-24	0.355	68.351	0.0	2.0
2020-05-25	0.331	68.682	0.0	2.0
2020-05-26	0.31	68.992	0.0	2.0
2020-05-27	0.291	69.283	0.0	2.0
2020-05-28	0.276	69.559	0.0	2.0
2020-05-29	0.261	69.82	0.0	2.0
2020-05-30	0.246	70.066	0.0	2.0
2020-05-31	0.232	70.298	0.0	2.0
2020-06-01	0.217	70.515	0.0	2.0
2020-06-02	0.203	70.718	0.0	2.0
2020-06-03	0.188	70.906	0.0	2.0
2020-06-04	0.175	71.081	0.0	2.0
2020-06-05	0.163	71.244	0.0	2.0
2020-06-06	0.153	71.397	0.0	2.0
2020-06-07	0.143	71.54	0.0	2.0
2020-06-08	0.135	71.675	0.0	2.0
2020-06-09	0.126	71.801	0.0	2.0
2020-06-10	0.118	71.919	0.0	2.0
2020-06-11	0.109	72.028	0.0	2.0
2020-06-12	0.101	72.129	0.0	2.0
2020-06-13	0.092	72.221	0.0	2.0
2020-06-14	0.084	72.305	0.0	2.0
2020-06-15	0.075	72.38	0.0	2.0
2020-06-16	0.068	72.448	0.0	2.0
2020-06-17	0.061	72.509	0.0	2.0
2020-06-18	0.054	72.563	0.0	2.0
2020-06-19	0.048	72.611	0.0	2.0
2020-06-20	0.043	72.654	0.0	2.0
2020-06-21	0.037	72.691	0.0	2.0
2020-06-22	0.032	72.723	0.0	2.0
2020-06-23	0.026	72.749	0.0	2.0
2020-06-24	0.02	72.769	0.0	2.0
2020-06-25	0.014	72.783	0.0	2.0
2020-06-26	0.009	72.792	0.0	2.0
2020-06-27	0.006	72.798	0.0	2.0
2020-06-28	0.004	72.802	0.0	2.0
2020-06-29	0.002	72.804	0.0	2.0
2020-06-30	0.002	72.806	0.0	2.0
2020-07-01	0.001	72.807	0.0	2.0
2020-07-02	0.001	72.808	0.0	2.0
2020-07-03	0.001	72.809	0.0	2.0
2020-07-04	0.001	72.81	0.0	2.0
2020-07-05	0.0	72.81	0.0	2.0
2020-07-06	0.0	72.81	0.0	2.0
2020-07-07	0.0	72.81	0.0	2.0
2020-07-08	0.0	72.81	0.0	2.0
2020-07-09	0.0	72.81	0.0	2.0
2020-07-10	0.0	72.81	0.0	2.0
2020-07-11	0.0	72.81	0.0	2.0
2020-07-12	0.0	72.81	0.0	2.0
2020-07-13	0.0	72.81	0.0	2.0
2020-07-14	0.0	72.81	0.0	2.0
2020-07-15	0.0	72.81	0.0	2.0
2020-07-16	0.0	72.81	0.0	2.0
2020-07-17	0.0	72.81	0.0	2.0
2020-07-18	0.0	72.81	0.0	2.0
2020-07-19	0.0	72.81	0.0	2.0
2020-07-20	0.0	72.81	0.0	2.0
2020-07-21	0.0	72.81	0.0	2.0
2020-07-22	0.0	72.81	0.0	2.0
2020-07-23	0.0	72.81	0.0	2.0
2020-07-24	0.0	72.81	0.0	2.0
2020-07-25	0.0	72.81	0.0	2.0
2020-07-26	0.0	72.81	0.0	2.0
2020-07-27	0.0	72.81	0.0	2.0
2020-07-28	0.0	72.81	0.0	2.0
2020-07-29	0.0	72.81	0.0	2.0
2020-07-30	0.0	72.81	0.0	2.0
2020-07-31	0.0	72.81	0.0	2.0
2020-08-01	0.0	72.81	0.0	2.0
2020-08-02	0.0	72.81	0.0	2.0
2020-08-03	0.0	72.81	0.0	2.0
2020-08-04	0.0	72.81	0.0	2.0
2020-08-05	0.0	72.81	0.0	2.0
2020-08-06	0.0	72.81	0.0	2.0
2020-08-07	0.0	72.81	0.0	2.0
2020-08-08	0.0	72.81	0.0	2.0
2020-08-09	0.0	72.81	0.0	2.0
2020-08-10	0.0	72.81	0.0	2.0
2020-08-11	0.0	72.81	0.0	2.0
2020-08-12	0.0	72.81	0.0	2.0
2020-08-13	0.0	72.81	0.0	2.0
2020-08-14	0.0	72.81	0.0	2.0
2020-08-15	0.0	72.81	0.0	2.0
2020-08-16	0.0	72.81	0.0	2.0
2020-08-17	0.0	72.81	0.0	2.0
2020-08-18	0.0	72.81	0.0	2.0
2020-08-19	0.0	72.81	0.0	2.0
