Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-13	1.0	20.0	0.6	5.6
2020-04-14	0.991	20.991	0.652	6.252
2020-04-15	0.978	21.969	0.709	6.961
2020-04-16	0.963	22.932	0.766	7.727
2020-04-17	0.945	23.877	0.821	8.548
2020-04-18	0.922	24.799	0.868	9.416
2020-04-19	0.898	25.697	0.904	10.32
2020-04-20	0.874	26.571	0.925	11.245
2020-04-21	0.85	27.421	0.937	12.182
2020-04-22	0.829	28.25	0.94	13.122
2020-04-23	0.808	29.058	0.938	14.06
2020-04-24	0.788	29.846	0.93	14.99
2020-04-25	0.766	30.612	0.918	15.908
2020-04-26	0.741	31.353	0.904	16.812
2020-04-27	0.715	32.068	0.886	17.698
2020-04-28	0.687	32.755	0.865	18.563
2020-04-29	0.659	33.414	0.843	19.406
2020-04-30	0.631	34.045	0.82	20.226
2020-05-01	0.604	34.649	0.798	21.024
2020-05-02	0.577	35.226	0.777	21.801
2020-05-03	0.55	35.776	0.759	22.56
2020-05-04	0.524	36.3	0.739	23.299
2020-05-05	0.499	36.799	0.718	24.017
2020-05-06	0.474	37.273	0.696	24.713
2020-05-07	0.451	37.724	0.671	25.384
2020-05-08	0.427	38.151	0.645	26.029
2020-05-09	0.405	38.556	0.619	26.648
2020-05-10	0.384	38.94	0.592	27.24
2020-05-11	0.364	39.304	0.566	27.806
2020-05-12	0.345	39.649	0.541	28.347
2020-05-13	0.327	39.976	0.516	28.863
2020-05-14	0.309	40.285	0.492	29.355
2020-05-15	0.291	40.576	0.468	29.823
2020-05-16	0.273	40.849	0.445	30.268
2020-05-17	0.256	41.105	0.423	30.691
2020-05-18	0.238	41.343	0.401	31.092
2020-05-19	0.221	41.564	0.38	31.472
2020-05-20	0.205	41.769	0.361	31.833
2020-05-21	0.191	41.96	0.342	32.175
2020-05-22	0.179	42.139	0.324	32.499
2020-05-23	0.168	42.307	0.306	32.805
2020-05-24	0.159	42.466	0.289	33.094
2020-05-25	0.15	42.616	0.273	33.367
2020-05-26	0.142	42.758	0.256	33.623
2020-05-27	0.134	42.892	0.24	33.863
2020-05-28	0.125	43.017	0.223	34.086
2020-05-29	0.117	43.134	0.207	34.293
2020-05-30	0.108	43.242	0.192	34.485
2020-05-31	0.101	43.343	0.179	34.664
2020-06-01	0.094	43.437	0.168	34.832
2020-06-02	0.088	43.525	0.158	34.99
2020-06-03	0.083	43.608	0.149	35.139
2020-06-04	0.078	43.686	0.141	35.28
2020-06-05	0.073	43.759	0.133	35.413
2020-06-06	0.068	43.827	0.125	35.538
2020-06-07	0.063	43.89	0.117	35.655
2020-06-08	0.058	43.948	0.11	35.765
2020-06-09	0.053	44.001	0.102	35.867
2020-06-10	0.048	44.049	0.095	35.962
2020-06-11	0.043	44.092	0.088	36.05
2020-06-12	0.039	44.131	0.083	36.133
2020-06-13	0.035	44.166	0.078	36.211
2020-06-14	0.031	44.197	0.073	36.284
2020-06-15	0.028	44.225	0.068	36.352
2020-06-16	0.025	44.25	0.064	36.416
2020-06-17	0.021	44.271	0.059	36.475
2020-06-18	0.018	44.289	0.054	36.529
2020-06-19	0.015	44.304	0.05	36.579
2020-06-20	0.012	44.316	0.045	36.624
