Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-13	1.24	20.24	0.0	0.0
2020-04-14	1.311	21.551	0.0	0.0
2020-04-15	1.366	22.917	0.0	0.0
2020-04-16	1.397	24.314	0.0	0.0
2020-04-17	1.415	25.729	0.0	0.0
2020-04-18	1.42	27.149	0.0	0.0
2020-04-19	1.417	28.566	0.0	0.0
2020-04-20	1.404	29.97	0.0	0.0
2020-04-21	1.386	31.356	0.0	0.0
2020-04-22	1.365	32.721	0.0	0.0
2020-04-23	1.339	34.06	0.0	0.0
2020-04-24	1.307	35.367	0.0	0.0
2020-04-25	1.273	36.64	0.0	0.0
2020-04-26	1.239	37.879	0.0	0.0
2020-04-27	1.205	39.084	0.0	0.0
2020-04-28	1.174	40.258	0.0	0.0
2020-04-29	1.146	41.404	0.0	0.0
2020-04-30	1.117	42.521	0.0	0.0
2020-05-01	1.085	43.606	0.0	0.0
2020-05-02	1.051	44.657	0.0	0.0
2020-05-03	1.014	45.671	0.0	0.0
2020-05-04	0.974	46.645	0.0	0.0
2020-05-05	0.934	47.579	0.0	0.0
2020-05-06	0.895	48.474	0.0	0.0
2020-05-07	0.856	49.33	0.0	0.0
2020-05-08	0.817	50.147	0.0	0.0
2020-05-09	0.78	50.927	0.0	0.0
2020-05-10	0.743	51.67	0.0	0.0
2020-05-11	0.707	52.377	0.0	0.0
2020-05-12	0.672	53.049	0.0	0.0
2020-05-13	0.639	53.688	0.0	0.0
2020-05-14	0.606	54.294	0.0	0.0
2020-05-15	0.575	54.869	0.0	0.0
2020-05-16	0.545	55.414	0.0	0.0
2020-05-17	0.517	55.931	0.0	0.0
2020-05-18	0.489	56.42	0.0	0.0
2020-05-19	0.463	56.883	0.0	0.0
2020-05-20	0.437	57.32	0.0	0.0
2020-05-21	0.412	57.732	0.0	0.0
2020-05-22	0.387	58.119	0.0	0.0
2020-05-23	0.362	58.481	0.0	0.0
2020-05-24	0.338	58.819	0.0	0.0
2020-05-25	0.313	59.132	0.0	0.0
2020-05-26	0.29	59.422	0.0	0.0
2020-05-27	0.27	59.692	0.0	0.0
2020-05-28	0.253	59.945	0.0	0.0
2020-05-29	0.238	60.183	0.0	0.0
2020-05-30	0.225	60.408	0.0	0.0
2020-05-31	0.213	60.621	0.0	0.0
2020-06-01	0.201	60.822	0.0	0.0
2020-06-02	0.189	61.011	0.0	0.0
2020-06-03	0.177	61.188	0.0	0.0
2020-06-04	0.165	61.353	0.0	0.0
2020-06-05	0.154	61.507	0.0	0.0
2020-06-06	0.143	61.65	0.0	0.0
2020-06-07	0.133	61.783	0.0	0.0
2020-06-08	0.125	61.908	0.0	0.0
2020-06-09	0.117	62.025	0.0	0.0
2020-06-10	0.11	62.135	0.0	0.0
2020-06-11	0.103	62.238	0.0	0.0
2020-06-12	0.096	62.334	0.0	0.0
2020-06-13	0.089	62.423	0.0	0.0
2020-06-14	0.082	62.505	0.0	0.0
2020-06-15	0.075	62.58	0.0	0.0
2020-06-16	0.068	62.648	0.0	0.0
2020-06-17	0.062	62.71	0.0	0.0
2020-06-18	0.055	62.765	0.0	0.0
2020-06-19	0.05	62.815	0.0	0.0
2020-06-20	0.044	62.859	0.0	0.0
2020-06-21	0.039	62.898	0.0	0.0
2020-06-22	0.035	62.933	0.0	0.0
2020-06-23	0.03	62.963	0.0	0.0
2020-06-24	0.026	62.989	0.0	0.0
2020-06-25	0.021	63.01	0.0	0.0
