Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-13	2.022	45.022	0.0	0.0
2020-04-14	2.029	47.051	0.0	0.0
2020-04-15	2.026	49.077	0.0	0.0
2020-04-16	2.007	51.084	0.0	0.0
2020-04-17	1.981	53.065	0.0	0.0
2020-04-18	1.951	55.016	0.0	0.0
2020-04-19	1.913	56.929	0.0	0.0
2020-04-20	1.868	58.797	0.0	0.0
2020-04-21	1.82	60.617	0.0	0.0
2020-04-22	1.771	62.388	0.0	0.0
2020-04-23	1.723	64.111	0.0	0.0
2020-04-24	1.678	65.789	0.0	0.0
2020-04-25	1.638	67.427	0.0	0.0
2020-04-26	1.596	69.023	0.0	0.0
2020-04-27	1.551	70.574	0.0	0.0
2020-04-28	1.502	72.076	0.0	0.0
2020-04-29	1.449	73.525	0.0	0.0
2020-04-30	1.392	74.917	0.0	0.0
2020-05-01	1.335	76.252	0.0	0.0
2020-05-02	1.279	77.531	0.0	0.0
2020-05-03	1.223	78.754	0.0	0.0
2020-05-04	1.168	79.922	0.0	0.0
2020-05-05	1.115	81.037	0.0	0.0
2020-05-06	1.062	82.099	0.0	0.0
2020-05-07	1.011	83.11	0.0	0.0
2020-05-08	0.961	84.071	0.0	0.0
2020-05-09	0.913	84.984	0.0	0.0
2020-05-10	0.866	85.85	0.0	0.0
2020-05-11	0.821	86.671	0.0	0.0
2020-05-12	0.779	87.45	0.0	0.0
2020-05-13	0.738	88.188	0.0	0.0
2020-05-14	0.699	88.887	0.0	0.0
2020-05-15	0.661	89.548	0.0	0.0
2020-05-16	0.625	90.173	0.0	0.0
2020-05-17	0.589	90.762	0.0	0.0
2020-05-18	0.554	91.316	0.0	0.0
2020-05-19	0.518	91.834	0.0	0.0
2020-05-20	0.482	92.316	0.0	0.0
2020-05-21	0.448	92.764	0.0	0.0
2020-05-22	0.415	93.179	0.0	0.0
2020-05-23	0.387	93.566	0.0	0.0
2020-05-24	0.362	93.928	0.0	0.0
2020-05-25	0.34	94.268	0.0	0.0
2020-05-26	0.322	94.59	0.0	0.0
2020-05-27	0.305	94.895	0.0	0.0
2020-05-28	0.288	95.183	0.0	0.0
2020-05-29	0.271	95.454	0.0	0.0
2020-05-30	0.254	95.708	0.0	0.0
2020-05-31	0.237	95.945	0.0	0.0
2020-06-01	0.22	96.165	0.0	0.0
2020-06-02	0.204	96.369	0.0	0.0
2020-06-03	0.191	96.56	0.0	0.0
2020-06-04	0.178	96.738	0.0	0.0
2020-06-05	0.167	96.905	0.0	0.0
2020-06-06	0.157	97.062	0.0	0.0
2020-06-07	0.147	97.209	0.0	0.0
2020-06-08	0.137	97.346	0.0	0.0
2020-06-09	0.128	97.474	0.0	0.0
2020-06-10	0.118	97.592	0.0	0.0
2020-06-11	0.108	97.7	0.0	0.0
2020-06-12	0.098	97.798	0.0	0.0
2020-06-13	0.088	97.886	0.0	0.0
2020-06-14	0.079	97.965	0.0	0.0
2020-06-15	0.071	98.036	0.0	0.0
2020-06-16	0.063	98.099	0.0	0.0
2020-06-17	0.056	98.155	0.0	0.0
2020-06-18	0.05	98.205	0.0	0.0
2020-06-19	0.043	98.248	0.0	0.0
2020-06-20	0.037	98.285	0.0	0.0
2020-06-21	0.03	98.315	0.0	0.0
2020-06-22	0.024	98.339	0.0	0.0
2020-06-23	0.017	98.356	0.0	0.0
2020-06-24	0.011	98.367	0.0	0.0
2020-06-25	0.007	98.374	0.0	0.0
2020-06-26	0.004	98.378	0.0	0.0
2020-06-27	0.003	98.381	0.0	0.0
2020-06-28	0.002	98.383	0.0	0.0
2020-06-29	0.002	98.385	0.0	0.0
2020-06-30	0.001	98.386	0.0	0.0
2020-07-01	0.001	98.387	0.0	0.0
2020-07-02	0.001	98.388	0.0	0.0
2020-07-03	0.001	98.389	0.0	0.0
2020-07-04	0.0	98.389	0.0	0.0
2020-07-05	0.0	98.389	0.0	0.0
2020-07-06	0.0	98.389	0.0	0.0
2020-07-07	0.0	98.389	0.0	0.0
2020-07-08	0.0	98.389	0.0	0.0
2020-07-09	0.0	98.389	0.0	0.0
2020-07-10	0.0	98.389	0.0	0.0
2020-07-11	0.0	98.389	0.0	0.0
2020-07-12	0.0	98.389	0.0	0.0
2020-07-13	0.0	98.389	0.0	0.0
2020-07-14	0.0	98.389	0.0	0.0
2020-07-15	0.0	98.389	0.0	0.0
2020-07-16	0.0	98.389	0.0	0.0
2020-07-17	0.0	98.389	0.0	0.0
2020-07-18	0.0	98.389	0.0	0.0
2020-07-19	0.0	98.389	0.0	0.0
2020-07-20	0.0	98.389	0.0	0.0
2020-07-21	0.0	98.389	0.0	0.0
2020-07-22	0.0	98.389	0.0	0.0
2020-07-23	0.0	98.389	0.0	0.0
2020-07-24	0.0	98.389	0.0	0.0
2020-07-25	0.0	98.389	0.0	0.0
2020-07-26	0.0	98.389	0.0	0.0
2020-07-27	0.0	98.389	0.0	0.0
2020-07-28	0.0	98.389	0.0	0.0
2020-07-29	0.0	98.389	0.0	0.0
2020-07-30	0.0	98.389	0.0	0.0
2020-07-31	0.0	98.389	0.0	0.0
2020-08-01	0.0	98.389	0.0	0.0
2020-08-02	0.0	98.389	0.0	0.0
2020-08-03	0.0	98.389	0.0	0.0
2020-08-04	0.0	98.389	0.0	0.0
2020-08-05	0.0	98.389	0.0	0.0
2020-08-06	0.0	98.389	0.0	0.0
2020-08-07	0.0	98.389	0.0	0.0
2020-08-08	0.0	98.389	0.0	0.0
2020-08-09	0.0	98.389	0.0	0.0
2020-08-10	0.0	98.389	0.0	0.0
2020-08-11	0.0	98.389	0.0	0.0
2020-08-12	0.0	98.389	0.0	0.0
2020-08-13	0.0	98.389	0.0	0.0
2020-08-14	0.0	98.389	0.0	0.0
2020-08-15	0.0	98.389	0.0	0.0
2020-08-16	0.0	98.389	0.0	0.0
2020-08-17	0.0	98.389	0.0	0.0
2020-08-18	0.0	98.389	0.0	0.0
2020-08-19	0.0	98.389	0.0	0.0
2020-08-20	0.0	98.389	0.0	0.0
2020-08-21	0.0	98.389	0.0	0.0
2020-08-22	0.0	98.389	0.0	0.0
2020-08-23	0.0	98.389	0.0	0.0
2020-08-24	0.0	98.389	0.0	0.0
2020-08-25	0.0	98.389	0.0	0.0
2020-08-26	0.0	98.389	0.0	0.0
2020-08-27	0.0	98.389	0.0	0.0
2020-08-28	0.0	98.389	0.0	0.0
2020-08-29	0.0	98.389	0.0	0.0
2020-08-30	0.0	98.389	0.0	0.0
