Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Valley	0.0	0.0	2.0	0.446	120.289	120.289	0.0	0.0	0.00018114	4.039e-05	0.01089476	0.01089476
Kootenai	0.224	49.76	100.76	0.446	120.289	120.289	1.39e-06	0.0003081	0.00062388	2.76e-06	0.0007448	0.0007448
Ada	0.0	126.203	724.203	0.0	7.565	17.565	0.0	0.00026854	0.00154097	0.0	1.61e-05	3.738e-05
Power	0.0	0.0	2.0	0.0	7.565	7.565	0.0	0.0	0.00025747	0.0	0.00097387	0.00097387
Lewis	0.0	0.0	1.0	0.0	7.565	7.565	0.0	0.0	0.000259	0.0	0.00195934	0.00195934
Butte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bonner	0.0	0.26	4.26	0.0	7.565	7.565	0.0	5.81e-06	9.524e-05	0.0	0.00016914	0.00016914
Lincoln	0.0	1.146	18.146	0.0	7.565	7.565	0.0	0.00021381	0.00338545	0.0	0.00141138	0.00141138
Washington	0.0	0.0	1.0	0.0	7.565	7.565	0.0	0.0	9.842e-05	0.0	0.00074451	0.00074451
Teton	0.012	4.523	12.523	0.0	7.566	7.566	1.03e-06	0.00038857	0.00107586	0.0	0.00065	0.00065
Shoshone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Canyon	0.111	122.704	309.704	0.006	2.78	7.78	5e-07	0.00054901	0.00138571	3e-08	1.244e-05	3.481e-05
Jefferson	1.15	92.46	97.46	0.006	2.78	2.78	3.906e-05	0.00314073	0.00331057	2e-07	9.443e-05	9.443e-05
Gooding	0.027	9.928	17.928	0.006	2.78	2.78	1.78e-06	0.00065333	0.00117978	3.9e-07	0.00018294	0.00018294
Boundary	0.0	0.0	1.0	0.006	2.78	2.78	0.0	0.0	8.37e-05	5e-07	0.00023267	0.00023267
Custer	0.0	0.0	2.0	0.006	2.78	2.78	0.0	0.0	0.00046729	1.4e-06	0.00064953	0.00064953
Blaine	0.0	29.026	505.026	0.0	0.297	5.297	0.0	0.00128428	0.02234529	0.0	1.314e-05	0.00023437
Boise	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bonneville	0.621	131.784	155.784	0.0	0.297	0.297	5.31e-06	0.00112777	0.00133315	0.0	2.54e-06	2.54e-06
Bingham	0.767	61.642	64.642	0.0	0.297	0.297	1.659e-05	0.0013332	0.00139809	0.0	6.42e-06	6.42e-06
Lemhi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fremont	0.0	0.0	2.0	0.0	0.297	0.297	0.0	0.0	0.00015188	0.0	2.255e-05	2.255e-05
Elmore	0.041	14.896	36.896	0.0	0.297	0.297	1.5e-06	0.00054646	0.00135353	0.0	1.09e-05	1.09e-05
Madison	3.877	311.624	319.624	0.0	0.297	0.297	9.864e-05	0.00792856	0.0081321	0.0	7.56e-06	7.56e-06
Minidoka	0.059	21.516	31.516	0.0	0.297	0.297	2.83e-06	0.00103318	0.00151337	0.0	1.426e-05	1.426e-05
Benewah	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clearwater	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bear Lake	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Unassigned	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Cassia	0.041	15.007	25.007	0.0	0.0	1.0	1.72e-06	0.00062886	0.0010479	0.0	0.0	4.19e-05
Adams	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00023529	0.0	0.0	0.0
Franklin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camas	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00088731	0.0	0.0	0.0
Latah	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	7.475e-05	0.0	0.0	0.0
Nez Perce	0.231	59.031	89.031	1.035	149.897	160.897	5.72e-06	0.00146087	0.0022033	2.561e-05	0.00370959	0.00398181
Owyhee	0.0	0.25	4.25	1.035	149.897	149.897	0.0	2.138e-05	0.00036347	8.851e-05	0.01281938	0.01281938
Clark	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bannock	3.451	277.379	285.379	1.035	149.897	149.897	3.96e-05	0.00318322	0.00327502	1.188e-05	0.00172023	0.00172023
Idaho	0.0	0.0	3.0	1.035	149.897	149.897	0.0	0.0	0.00018168	6.268e-05	0.00907751	0.00907751
Jerome	0.167	61.241	105.241	0.0	0.0	2.0	6.95e-06	0.00255011	0.0043823	0.0	0.0	8.328e-05
Twin Falls	0.326	119.174	236.174	0.195	47.504	57.504	3.79e-06	0.00138444	0.00274363	2.27e-06	0.00055185	0.00066802
Payette	0.019	8.345	18.345	0.0	0.0	1.0	8.1e-07	0.00035434	0.00077895	0.0	0.0	4.246e-05
Oneida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caribou	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00014164	0.0	0.0	0.0
Gem	0.009	4.385	14.385	0.0	0.0	0.0	5.1e-07	0.00024867	0.00081575	0.0	0.0	0.0
