Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-16	13.018	165.018	6.0	6.0
2020-04-17	12.898	177.916	5.945	11.945
2020-04-18	12.73	190.646	5.868	17.813
2020-04-19	12.538	203.184	5.779	23.592
2020-04-20	12.297	215.481	5.668	29.26
2020-04-21	12.006	227.487	5.534	34.794
2020-04-22	11.693	239.18	5.39	40.184
2020-04-23	11.381	250.561	5.246	45.43
2020-04-24	11.071	261.632	5.103	50.533
2020-04-25	10.785	272.417	4.971	55.504
2020-04-26	10.524	282.941	4.85	60.354
2020-04-27	10.257	293.198	4.728	65.082
2020-04-28	9.966	303.164	4.593	69.675
2020-04-29	9.65	312.814	4.448	74.123
2020-04-30	9.31	322.124	4.291	78.414
2020-05-01	8.946	331.07	4.123	82.537
2020-05-02	8.582	339.652	3.955	86.492
2020-05-03	8.218	347.87	3.788	90.28
2020-05-04	7.858	355.728	3.622	93.902
2020-05-05	7.505	363.233	3.459	97.361
2020-05-06	7.163	370.396	3.301	100.662
2020-05-07	6.825	377.221	3.146	103.808
2020-05-08	6.496	383.717	2.994	106.802
2020-05-09	6.175	389.892	2.846	109.648
2020-05-10	5.865	395.757	2.703	112.351
2020-05-11	5.565	401.322	2.565	114.916
2020-05-12	5.278	406.6	2.433	117.349
2020-05-13	5.005	411.605	2.307	119.656
2020-05-14	4.744	416.349	2.187	121.843
2020-05-15	4.493	420.842	2.071	123.914
2020-05-16	4.251	425.093	1.959	125.873
2020-05-17	4.016	429.109	1.851	127.724
2020-05-18	3.786	432.895	1.745	129.469
2020-05-19	3.558	436.453	1.64	131.109
2020-05-20	3.329	439.782	1.534	132.643
2020-05-21	3.101	442.883	1.429	134.072
2020-05-22	2.876	445.759	1.326	135.398
2020-05-23	2.668	448.427	1.23	136.628
2020-05-24	2.484	450.911	1.145	137.773
2020-05-25	2.325	453.236	1.071	138.844
2020-05-26	2.187	455.423	1.008	139.852
2020-05-27	2.068	457.491	0.953	140.805
2020-05-28	1.958	459.449	0.902	141.707
2020-05-29	1.849	461.298	0.852	142.559
2020-05-30	1.739	463.037	0.802	143.361
2020-05-31	1.629	464.666	0.751	144.112
2020-06-01	1.52	466.186	0.701	144.813
2020-06-02	1.412	467.598	0.651	145.464
2020-06-03	1.314	468.912	0.606	146.07
2020-06-04	1.226	470.138	0.565	146.635
2020-06-05	1.146	471.284	0.528	147.163
2020-06-06	1.075	472.359	0.496	147.659
2020-06-07	1.011	473.37	0.466	148.125
2020-06-08	0.947	474.317	0.437	148.562
2020-06-09	0.884	475.201	0.407	148.969
2020-06-10	0.82	476.021	0.378	149.347
2020-06-11	0.756	476.777	0.348	149.695
2020-06-12	0.692	477.469	0.319	150.014
2020-06-13	0.628	478.097	0.289	150.303
2020-06-14	0.566	478.663	0.261	150.564
2020-06-15	0.508	479.171	0.234	150.798
2020-06-16	0.455	479.626	0.21	151.008
2020-06-17	0.406	480.032	0.187	151.195
2020-06-18	0.362	480.394	0.167	151.362
2020-06-19	0.32	480.714	0.147	151.509
2020-06-20	0.279	480.993	0.128	151.637
2020-06-21	0.237	481.23	0.109	151.746
2020-06-22	0.195	481.425	0.09	151.836
2020-06-23	0.152	481.577	0.07	151.906
2020-06-24	0.108	481.685	0.05	151.956
2020-06-25	0.07	481.755	0.032	151.988
2020-06-26	0.043	481.798	0.02	152.008
2020-06-27	0.027	481.825	0.012	152.02
2020-06-28	0.018	481.843	0.008	152.028
2020-06-29	0.013	481.856	0.006	152.034
2020-06-30	0.01	481.866	0.005	152.039
2020-07-01	0.008	481.874	0.004	152.043
2020-07-02	0.006	481.88	0.003	152.046
2020-07-03	0.005	481.885	0.002	152.048
2020-07-04	0.004	481.889	0.002	152.05
2020-07-05	0.003	481.892	0.001	152.051
2020-07-06	0.0	481.892	0.0	152.051
2020-07-07	0.0	481.892	0.0	152.051
2020-07-08	0.0	481.892	0.0	152.051
2020-07-09	0.0	481.892	0.0	152.051
2020-07-10	0.0	481.892	0.0	152.051
2020-07-11	0.0	481.892	0.0	152.051
2020-07-12	0.0	481.892	0.0	152.051
2020-07-13	0.0	481.892	0.0	152.051
2020-07-14	0.0	481.892	0.0	152.051
2020-07-15	0.0	481.892	0.0	152.051
2020-07-16	0.0	481.892	0.0	152.051
2020-07-17	0.0	481.892	0.0	152.051
2020-07-18	0.0	481.892	0.0	152.051
2020-07-19	0.0	481.892	0.0	152.051
2020-07-20	0.0	481.892	0.0	152.051
2020-07-21	0.0	481.892	0.0	152.051
2020-07-22	0.0	481.892	0.0	152.051
2020-07-23	0.0	481.892	0.0	152.051
2020-07-24	0.0	481.892	0.0	152.051
2020-07-25	0.0	481.892	0.0	152.051
2020-07-26	0.0	481.892	0.0	152.051
2020-07-27	0.0	481.892	0.0	152.051
2020-07-28	0.0	481.892	0.0	152.051
2020-07-29	0.0	481.892	0.0	152.051
2020-07-30	0.0	481.892	0.0	152.051
2020-07-31	0.0	481.892	0.0	152.051
2020-08-01	0.0	481.892	0.0	152.051
2020-08-02	0.0	481.892	0.0	152.051
2020-08-03	0.0	481.892	0.0	152.051
2020-08-04	0.0	481.892	0.0	152.051
2020-08-05	0.0	481.892	0.0	152.051
2020-08-06	0.0	481.892	0.0	152.051
2020-08-07	0.0	481.892	0.0	152.051
2020-08-08	0.0	481.892	0.0	152.051
2020-08-09	0.0	481.892	0.0	152.051
2020-08-10	0.0	481.892	0.0	152.051
2020-08-11	0.0	481.892	0.0	152.051
2020-08-12	0.0	481.892	0.0	152.051
2020-08-13	0.0	481.892	0.0	152.051
2020-08-14	0.0	481.892	0.0	152.051
2020-08-15	0.0	481.892	0.0	152.051
2020-08-16	0.0	481.892	0.0	152.051
2020-08-17	0.0	481.892	0.0	152.051
2020-08-18	0.0	481.892	0.0	152.051
2020-08-19	0.0	481.892	0.0	152.051
2020-08-20	0.0	481.892	0.0	152.051
2020-08-21	0.0	481.892	0.0	152.051
2020-08-22	0.0	481.892	0.0	152.051
2020-08-23	0.0	481.892	0.0	152.051
2020-08-24	0.0	481.892	0.0	152.051
2020-08-25	0.0	481.892	0.0	152.051
2020-08-26	0.0	481.892	0.0	152.051
2020-08-27	0.0	481.892	0.0	152.051
2020-08-28	0.0	481.892	0.0	152.051
2020-08-29	0.0	481.892	0.0	152.051
2020-08-30	0.0	481.892	0.0	152.051
