Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-17	20.369	820.369	1.484	39.484
2020-04-18	19.825	840.194	1.519	41.003
2020-04-19	19.285	859.479	1.538	42.541
2020-04-20	18.787	878.266	1.544	44.085
2020-04-21	18.331	896.597	1.541	45.626
2020-04-22	17.867	914.464	1.527	47.153
2020-04-23	17.36	931.824	1.507	48.66
2020-04-24	16.809	948.633	1.484	50.144
2020-04-25	16.216	964.849	1.456	51.6
2020-04-26	15.583	980.432	1.421	53.021
2020-04-27	14.949	995.381	1.384	54.405
2020-04-28	14.315	1009.696	1.347	55.752
2020-04-29	13.687	1023.383	1.31	57.062
2020-04-30	13.073	1036.456	1.277	58.339
2020-05-01	12.477	1048.933	1.246	59.585
2020-05-02	11.889	1060.822	1.214	60.799
2020-05-03	11.315	1072.137	1.18	61.979
2020-05-04	10.756	1082.893	1.142	63.121
2020-05-05	10.217	1093.11	1.102	64.223
2020-05-06	9.693	1102.803	1.059	65.282
2020-05-07	9.194	1111.997	1.016	66.298
2020-05-08	8.718	1120.715	0.973	67.271
2020-05-09	8.264	1128.979	0.93	68.201
2020-05-10	7.827	1136.806	0.888	69.089
2020-05-11	7.405	1144.211	0.848	69.937
2020-05-12	6.996	1151.207	0.808	70.745
2020-05-13	6.595	1157.802	0.769	71.514
2020-05-14	6.197	1163.999	0.731	72.245
2020-05-15	5.799	1169.798	0.694	72.939
2020-05-16	5.401	1175.199	0.659	73.598
2020-05-17	5.01	1180.209	0.625	74.223
2020-05-18	4.647	1184.856	0.592	74.815
2020-05-19	4.327	1189.183	0.562	75.377
2020-05-20	4.049	1193.232	0.532	75.909
2020-05-21	3.81	1197.042	0.503	76.412
2020-05-22	3.603	1200.645	0.475	76.887
2020-05-23	3.411	1204.056	0.448	77.335
2020-05-24	3.22	1207.276	0.421	77.756
2020-05-25	3.029	1210.305	0.394	78.15
2020-05-26	2.838	1213.143	0.367	78.517
2020-05-27	2.647	1215.79	0.34	78.857
2020-05-28	2.46	1218.25	0.316	79.173
2020-05-29	2.289	1220.539	0.294	79.467
2020-05-30	2.135	1222.674	0.275	79.742
2020-05-31	1.997	1224.671	0.259	80.001
2020-06-01	1.873	1226.544	0.245	80.246
2020-06-02	1.761	1228.305	0.232	80.478
2020-06-03	1.65	1229.955	0.219	80.697
2020-06-04	1.539	1231.494	0.206	80.903
2020-06-05	1.428	1232.922	0.193	81.096
2020-06-06	1.317	1234.239	0.18	81.276
2020-06-07	1.206	1235.445	0.167	81.443
2020-06-08	1.094	1236.539	0.156	81.599
2020-06-09	0.985	1237.524	0.145	81.744
2020-06-10	0.884	1238.408	0.136	81.88
2020-06-11	0.792	1239.2	0.127	82.007
2020-06-12	0.707	1239.907	0.12	82.127
2020-06-13	0.63	1240.537	0.112	82.239
2020-06-14	0.557	1241.094	0.105	82.344
2020-06-15	0.485	1241.579	0.097	82.441
2020-06-16	0.413	1241.992	0.089	82.53
2020-06-17	0.34	1242.332	0.082	82.612
2020-06-18	0.266	1242.598	0.074	82.686
2020-06-19	0.189	1242.787	0.067	82.753
2020-06-20	0.121	1242.908	0.06	82.813
2020-06-21	0.075	1242.983	0.054	82.867
2020-06-22	0.047	1243.03	0.048	82.915
2020-06-23	0.031	1243.061	0.043	82.958
2020-06-24	0.022	1243.083	0.038	82.996
2020-06-25	0.017	1243.1	0.033	83.029
2020-06-26	0.014	1243.114	0.028	83.057
2020-06-27	0.011	1243.125	0.023	83.08
2020-06-28	0.009	1243.134	0.018	83.098
