Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Roanoke	20.0	0.0	0.0	20.0	0.0002126	0.0	100.0	40.0	25.0	0.001063	0.0004252	0.00026575
Powhatan	9.0	0.0	0.0	9.0	0.00030834	0.0	45.0	18.0	11.25	0.0015417	0.00061668	0.000385425
Russell	2.0	0.0	0.0	2.0	7.477e-05	0.0	10.0	4.0	2.5	0.00037385	0.00014954	9.34625e-05
Arlington	520.0	16.0	0.0	504.0	0.00218928	6.736e-05	5333.33333333	2461.53846154	1600.0	0.0224533333333	0.0103630769231	0.006736
Manassas Park	21.0	0.0	0.0	21.0	0.00121338	0.0	105.0	42.0	26.25	0.0060669	0.00242676	0.001516725
Montgomery	42.0	0.0	0.0	42.0	0.00042431	0.0	210.0	84.0	52.5	0.00212155	0.00084862	0.0005303875
Covington	1.0	0.0	0.0	1.0	0.00018315	0.0	5.0	2.0	1.25	0.00091575	0.0003663	0.0002289375
Charlottesville	41.0	1.0	0.0	40.0	0.00085209	2.078e-05	333.333333333	153.846153846	100.0	0.00692666666667	0.00319692307692	0.002078
Culpeper	39.0	0.0	0.0	39.0	0.00075204	0.0	195.0	78.0	48.75	0.0037602	0.00150408	0.00094005
Brunswick	12.0	0.0	0.0	12.0	0.00073242	0.0	60.0	24.0	15.0	0.0036621	0.00146484	0.000915525
Prince William	700.0	1.0	0.0	699.0	0.00149569	2.14e-06	333.333333333	153.846153846	100.0	0.000713333333333	0.000329230769231	0.000214
Harrisonburg	233.0	0.0	0.0	233.0	0.00431218	0.0	1165.0	466.0	291.25	0.0215609	0.00862436	0.005390225
Tazewell	4.0	0.0	0.0	4.0	9.791e-05	0.0	20.0	8.0	5.0	0.00048955	0.00019582	0.0001223875
King George	18.0	0.0	0.0	18.0	0.00067733	0.0	90.0	36.0	22.5	0.00338665	0.00135466	0.0008466625
York	38.0	1.0	0.0	37.0	0.00056009	1.474e-05	333.333333333	153.846153846	100.0	0.00491333333333	0.00226769230769	0.001474
Hopewell	16.0	0.0	0.0	16.0	0.00070809	0.0	80.0	32.0	20.0	0.00354045	0.00141618	0.0008851125
Waynesboro	7.0	0.0	0.0	7.0	0.00030935	0.0	35.0	14.0	8.75	0.00154675	0.0006187	0.0003866875
Bedford	17.0	0.0	0.0	17.0	0.00021588	0.0	85.0	34.0	21.25	0.0010794	0.00043176	0.00026985
Norfolk	109.0	2.0	0.0	107.0	0.00044658	8.19e-06	666.666666667	307.692307692	200.0	0.00273	0.00126	0.000819
Martinsville	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Williamsburg	19.0	1.0	0.0	18.0	0.00127551	6.713e-05	333.333333333	153.846153846	100.0	0.0223766666667	0.0103276923077	0.006713
Lexington	3.0	0.0	0.0	3.0	0.0004204	0.0	15.0	6.0	3.75	0.002102	0.0008408	0.0005255
Augusta	22.0	0.0	0.0	22.0	0.00029156	0.0	110.0	44.0	27.5	0.0014578	0.00058312	0.00036445
Nelson	5.0	0.0	0.0	5.0	0.00033702	0.0	25.0	10.0	6.25	0.0016851	0.00067404	0.000421275
Henry	10.0	0.0	0.0	10.0	0.00019626	0.0	50.0	20.0	12.5	0.0009813	0.00039252	0.000245325
Chesterfield	310.0	0.0	0.0	310.0	0.00088938	0.0	1550.0	620.0	387.5	0.0044469	0.00177876	0.001111725
Nottoway	6.0	0.0	0.0	6.0	0.00038911	0.0	30.0	12.0	7.5	0.00194555	0.00077822	0.0004863875
Virginia Beach	271.0	6.0	0.0	265.0	0.00060197	1.333e-05	2000.0	923.076923077	600.0	0.00444333333333	0.00205076923077	0.001333
Gloucester	21.0	0.0	0.0	21.0	0.00056226	0.0	105.0	42.0	26.25	0.0028113	0.00112452	0.000702825
Charlotte	8.0	0.0	0.0	8.0	0.00067013	0.0	40.0	16.0	10.0	0.00335065	0.00134026	0.0008376625
Alexandria	354.0	7.0	0.0	347.0	0.0022052	4.361e-05	2333.33333333	1076.92307692	700.0	0.0145366666667	0.00670923076923	0.004361
Buchanan	12.0	0.0	0.0	12.0	0.00056548	0.0	60.0	24.0	15.0	0.0028274	0.00113096	0.00070685
Fredericksburg	15.0	0.0	0.0	15.0	0.00051469	0.0	75.0	30.0	18.75	0.00257345	0.00102938	0.0006433625
Stafford	143.0	0.0	0.0	143.0	0.00095359	0.0	715.0	286.0	178.75	0.00476795	0.00190718	0.0011919875
Roanoke City	24.0	0.0	0.0	24.0	N/A	N/A	120.0	48.0	30.0	N/A	N/A	N/A
Warren	24.0	0.0	0.0	24.0	0.00059996	0.0	120.0	48.0	30.0	0.0029998	0.00119992	0.00074995
Winchester	25.0	0.0	0.0	25.0	0.00088943	0.0	125.0	50.0	31.25	0.00444715	0.00177886	0.0011117875
Poquoson	6.0	0.0	0.0	6.0	0.00049221	0.0	30.0	12.0	7.5	0.00246105	0.00098442	0.0006152625
Washington	27.0	0.0	0.0	27.0	0.00049631	0.0	135.0	54.0	33.75	0.00248155	0.00099262	0.0006203875
Albemarle	56.0	0.0	0.0	56.0	0.00051509	0.0	280.0	112.0	70.0	0.00257545	0.00103018	0.0006438625
Petersburg	21.0	0.0	0.0	21.0	0.00066525	0.0	105.0	42.0	26.25	0.00332625	0.0013305	0.0008315625
Orange	20.0	0.0	0.0	20.0	0.00054579	0.0	100.0	40.0	25.0	0.00272895	0.00109158	0.0006822375
Norton	1.0	0.0	0.0	1.0	0.00025202	0.0	5.0	2.0	1.25	0.0012601	0.00050404	0.000315025
Caroline	13.0	0.0	0.0	13.0	0.00042246	0.0	65.0	26.0	16.25	0.0021123	0.00084492	0.000528075
Smyth	12.0	0.0	0.0	12.0	0.0003938	0.0	60.0	24.0	15.0	0.001969	0.0007876	0.00049225
Fauquier	36.0	0.0	0.0	36.0	0.00050937	0.0	180.0	72.0	45.0	0.00254685	0.00101874	0.0006367125
Lee	7.0	0.0	0.0	7.0	0.00029735	0.0	35.0	14.0	8.75	0.00148675	0.0005947	0.0003716875
Sussex	11.0	0.0	0.0	11.0	0.00097891	0.0	55.0	22.0	13.75	0.00489455	0.00195782	0.0012236375
Spotsylvania	72.0	0.0	0.0	72.0	0.00053636	0.0	360.0	144.0	90.0	0.0026818	0.00107272	0.00067045
Buckingham	25.0	0.0	0.0	25.0	0.00147067	0.0	125.0	50.0	31.25	0.00735335	0.00294134	0.0018383375
Unassigned	0.0	94.0	0.0	-94.0	N/A	N/A	31333.3333333	14461.5384615	9400.0	N/A	N/A	N/A
Fairfax City	3.0	0.0	0.0	3.0	N/A	N/A	15.0	6.0	3.75	N/A	N/A	N/A
Lynchburg	38.0	0.0	0.0	38.0	0.0004627	0.0	190.0	76.0	47.5	0.0023135	0.0009254	0.000578375
