Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-19	0.24	4.24	0.0	0.0
2020-04-20	0.23	4.47	0.0	0.0
2020-04-21	0.22	4.69	0.0	0.0
2020-04-22	0.21	4.9	0.0	0.0
2020-04-23	0.2	5.1	0.0	0.0
2020-04-24	0.191	5.291	0.0	0.0
2020-04-25	0.182	5.473	0.0	0.0
2020-04-26	0.173	5.646	0.0	0.0
2020-04-27	0.164	5.81	0.0	0.0
2020-04-28	0.156	5.966	0.0	0.0
2020-04-29	0.148	6.114	0.0	0.0
2020-04-30	0.14	6.254	0.0	0.0
2020-05-01	0.133	6.387	0.0	0.0
2020-05-02	0.126	6.513	0.0	0.0
2020-05-03	0.119	6.632	0.0	0.0
2020-05-04	0.112	6.744	0.0	0.0
2020-05-05	0.106	6.85	0.0	0.0
2020-05-06	0.099	6.949	0.0	0.0
2020-05-07	0.093	7.042	0.0	0.0
2020-05-08	0.087	7.129	0.0	0.0
2020-05-09	0.08	7.209	0.0	0.0
2020-05-10	0.075	7.284	0.0	0.0
2020-05-11	0.069	7.353	0.0	0.0
2020-05-12	0.065	7.418	0.0	0.0
2020-05-13	0.061	7.479	0.0	0.0
2020-05-14	0.058	7.537	0.0	0.0
2020-05-15	0.055	7.592	0.0	0.0
2020-05-16	0.052	7.644	0.0	0.0
2020-05-17	0.049	7.693	0.0	0.0
2020-05-18	0.046	7.739	0.0	0.0
2020-05-19	0.043	7.782	0.0	0.0
2020-05-20	0.039	7.821	0.0	0.0
2020-05-21	0.037	7.858	0.0	0.0
2020-05-22	0.034	7.892	0.0	0.0
2020-05-23	0.032	7.924	0.0	0.0
2020-05-24	0.03	7.954	0.0	0.0
2020-05-25	0.028	7.982	0.0	0.0
2020-05-26	0.026	8.008	0.0	0.0
2020-05-27	0.025	8.033	0.0	0.0
2020-05-28	0.023	8.056	0.0	0.0
2020-05-29	0.021	8.077	0.0	0.0
2020-05-30	0.019	8.096	0.0	0.0
2020-05-31	0.018	8.114	0.0	0.0
