Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-20	0.0	3.0	5.44	5.44
2020-04-21	0.0	3.0	5.39	10.83
2020-04-22	0.0	3.0	5.32	16.15
2020-04-23	0.0	3.0	5.24	21.39
2020-04-24	0.0	3.0	5.139	26.529
2020-04-25	0.0	3.0	5.017	31.546
2020-04-26	0.0	3.0	4.887	36.433
2020-04-27	0.0	3.0	4.756	41.189
2020-04-28	0.0	3.0	4.626	45.815
2020-04-29	0.0	3.0	4.507	50.322
2020-04-30	0.0	3.0	4.398	54.72
2020-05-01	0.0	3.0	4.286	59.006
2020-05-02	0.0	3.0	4.165	63.171
2020-05-03	0.0	3.0	4.033	67.204
2020-05-04	0.0	3.0	3.89	71.094
2020-05-05	0.0	3.0	3.738	74.832
2020-05-06	0.0	3.0	3.586	78.418
2020-05-07	0.0	3.0	3.434	81.852
2020-05-08	0.0	3.0	3.284	85.136
2020-05-09	0.0	3.0	3.136	88.272
2020-05-10	0.0	3.0	2.993	91.265
2020-05-11	0.0	3.0	2.852	94.117
2020-05-12	0.0	3.0	2.714	96.831
2020-05-13	0.0	3.0	2.58	99.411
2020-05-14	0.0	3.0	2.451	101.862
2020-05-15	0.0	3.0	2.325	104.187
2020-05-16	0.0	3.0	2.206	106.393
2020-05-17	0.0	3.0	2.091	108.484
2020-05-18	0.0	3.0	1.983	110.467
2020-05-19	0.0	3.0	1.878	112.345
2020-05-20	0.0	3.0	1.776	114.121
2020-05-21	0.0	3.0	1.678	115.799
2020-05-22	0.0	3.0	1.582	117.381
2020-05-23	0.0	3.0	1.487	118.868
2020-05-24	0.0	3.0	1.391	120.259
2020-05-25	0.0	3.0	1.296	121.555
2020-05-26	0.0	3.0	1.202	122.757
2020-05-27	0.0	3.0	1.115	123.872
2020-05-28	0.0	3.0	1.038	124.91
2020-05-29	0.0	3.0	0.971	125.881
2020-05-30	0.0	3.0	0.914	126.795
2020-05-31	0.0	3.0	0.864	127.659
2020-06-01	0.0	3.0	0.818	128.477
2020-06-02	0.0	3.0	0.772	129.249
2020-06-03	0.0	3.0	0.727	129.976
2020-06-04	0.0	3.0	0.681	130.657
2020-06-05	0.0	3.0	0.635	131.292
2020-06-06	0.0	3.0	0.59	131.882
2020-06-07	0.0	3.0	0.549	132.431
2020-06-08	0.0	3.0	0.512	132.943
2020-06-09	0.0	3.0	0.479	133.422
2020-06-10	0.0	3.0	0.449	133.871
2020-06-11	0.0	3.0	0.422	134.293
2020-06-12	0.0	3.0	0.396	134.689
2020-06-13	0.0	3.0	0.369	135.058
2020-06-14	0.0	3.0	0.343	135.401
2020-06-15	0.0	3.0	0.316	135.717
2020-06-16	0.0	3.0	0.289	136.006
2020-06-17	0.0	3.0	0.262	136.268
2020-06-18	0.0	3.0	0.236	136.504
2020-06-19	0.0	3.0	0.212	136.716
2020-06-20	0.0	3.0	0.19	136.906
2020-06-21	0.0	3.0	0.17	137.076
2020-06-22	0.0	3.0	0.151	137.227
2020-06-23	0.0	3.0	0.134	137.361
2020-06-24	0.0	3.0	0.116	137.477
2020-06-25	0.0	3.0	0.099	137.576
2020-06-26	0.0	3.0	0.082	137.658
2020-06-27	0.0	3.0	0.064	137.722
2020-06-28	0.0	3.0	0.045	137.767
2020-06-29	0.0	3.0	0.029	137.796
2020-06-30	0.0	3.0	0.018	137.814
2020-07-01	0.0	3.0	0.011	137.825
2020-07-02	0.0	3.0	0.007	137.832
2020-07-03	0.0	3.0	0.005	137.837
2020-07-04	0.0	3.0	0.004	137.841
2020-07-05	0.0	3.0	0.003	137.844
2020-07-06	0.0	3.0	0.003	137.847
2020-07-07	0.0	3.0	0.002	137.849
2020-07-08	0.0	3.0	0.002	137.851
2020-07-09	0.0	3.0	0.001	137.852
2020-07-10	0.0	3.0	0.0	137.852
2020-07-11	0.0	3.0	0.0	137.852
2020-07-12	0.0	3.0	0.0	137.852
2020-07-13	0.0	3.0	0.0	137.852
2020-07-14	0.0	3.0	0.0	137.852
2020-07-15	0.0	3.0	0.0	137.852
2020-07-16	0.0	3.0	0.0	137.852
2020-07-17	0.0	3.0	0.0	137.852
2020-07-18	0.0	3.0	0.0	137.852
2020-07-19	0.0	3.0	0.0	137.852
2020-07-20	0.0	3.0	0.0	137.852
2020-07-21	0.0	3.0	0.0	137.852
2020-07-22	0.0	3.0	0.0	137.852
2020-07-23	0.0	3.0	0.0	137.852
2020-07-24	0.0	3.0	0.0	137.852
2020-07-25	0.0	3.0	0.0	137.852
2020-07-26	0.0	3.0	0.0	137.852
2020-07-27	0.0	3.0	0.0	137.852
2020-07-28	0.0	3.0	0.0	137.852
2020-07-29	0.0	3.0	0.0	137.852
2020-07-30	0.0	3.0	0.0	137.852
2020-07-31	0.0	3.0	0.0	137.852
2020-08-01	0.0	3.0	0.0	137.852
2020-08-02	0.0	3.0	0.0	137.852
2020-08-03	0.0	3.0	0.0	137.852
2020-08-04	0.0	3.0	0.0	137.852
2020-08-05	0.0	3.0	0.0	137.852
2020-08-06	0.0	3.0	0.0	137.852
2020-08-07	0.0	3.0	0.0	137.852
2020-08-08	0.0	3.0	0.0	137.852
2020-08-09	0.0	3.0	0.0	137.852
2020-08-10	0.0	3.0	0.0	137.852
2020-08-11	0.0	3.0	0.0	137.852
2020-08-12	0.0	3.0	0.0	137.852
2020-08-13	0.0	3.0	0.0	137.852
2020-08-14	0.0	3.0	0.0	137.852
2020-08-15	0.0	3.0	0.0	137.852
2020-08-16	0.0	3.0	0.0	137.852
2020-08-17	0.0	3.0	0.0	137.852
2020-08-18	0.0	3.0	0.0	137.852
2020-08-19	0.0	3.0	0.0	137.852
2020-08-20	0.0	3.0	0.0	137.852
2020-08-21	0.0	3.0	0.0	137.852
2020-08-22	0.0	3.0	0.0	137.852
2020-08-23	0.0	3.0	0.0	137.852
2020-08-24	0.0	3.0	0.0	137.852
2020-08-25	0.0	3.0	0.0	137.852
2020-08-26	0.0	3.0	0.0	137.852
2020-08-27	0.0	3.0	0.0	137.852
2020-08-28	0.0	3.0	0.0	137.852
