Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Lancaster	291.0	5.0	0.0	0.0	0.00053536	9.2e-06	1666.66666667	769.230769231	500.0	0.00306666666667	0.00141538461538	0.00092
Luzerne	648.0	5.0	0.0	0.0	0.00204001	1.574e-05	1666.66666667	769.230769231	500.0	0.00524666666667	0.00242153846154	0.001574
Northampton	588.0	11.0	0.0	0.0	0.00192909	3.609e-05	3666.66666667	1692.30769231	1100.0	0.01203	0.00555230769231	0.003609
Cumberland	54.0	2.0	0.0	0.0	0.00021478	7.95e-06	666.666666667	307.692307692	200.0	0.00265	0.00122307692308	0.000795
Pike	97.0	1.0	0.0	0.0	0.00173422	1.788e-05	333.333333333	153.846153846	100.0	0.00596	0.00275076923077	0.001788
Union	5.0	0.0	0.0	0.0	0.00011164	0.0	25.0	10.0	6.25	0.0005582	0.00022328	0.00013955
Mifflin	4.0	0.0	0.0	0.0	8.654e-05	0.0	20.0	8.0	5.0	0.0004327	0.00017308	0.000108175
Delaware	616.0	13.0	0.0	0.0	0.00109075	2.302e-05	4333.33333333	2000.0	1300.0	0.00767333333333	0.00354153846154	0.002302
Philadelphia	3008.0	24.0	0.0	0.0	0.00189882	1.515e-05	8000.0	3692.30769231	2400.0	0.00505	0.00233076923077	0.001515
Montgomery	982.0	17.0	0.0	0.0	0.00118513	2.052e-05	5666.66666667	2615.38461538	1700.0	0.00684	0.00315692307692	0.002052
Perry	5.0	1.0	0.0	0.0	0.00010837	2.167e-05	333.333333333	153.846153846	100.0	0.00722333333333	0.00333384615385	0.002167
Forest	2.0	0.0	0.0	0.0	0.00027476	0.0	10.0	4.0	2.5	0.0013738	0.00054952	0.00034345
Butler	84.0	2.0	0.0	0.0	0.00044707	1.064e-05	666.666666667	307.692307692	200.0	0.00354666666667	0.00163692307692	0.001064
Indiana	9.0	0.0	0.0	0.0	0.00010651	0.0	45.0	18.0	11.25	0.00053255	0.00021302	0.0001331375
Somerset	3.0	0.0	0.0	0.0	4.057e-05	0.0	15.0	6.0	3.75	0.00020285	8.114e-05	5.07125e-05
Warren	1.0	0.0	0.0	0.0	2.532e-05	0.0	5.0	2.0	1.25	0.0001266	5.064e-05	3.165e-05
Dauphin	99.0	1.0	0.0	0.0	0.00035728	3.61e-06	333.333333333	153.846153846	100.0	0.00120333333333	0.000555384615385	0.000361
Juniata	7.0	0.0	0.0	0.0	0.00028335	0.0	35.0	14.0	8.75	0.00141675	0.0005667	0.0003541875
Wyoming	5.0	0.0	0.0	0.0	0.00018487	0.0	25.0	10.0	6.25	0.00092435	0.00036974	0.0002310875
Tioga	3.0	0.0	0.0	0.0	7.36e-05	0.0	15.0	6.0	3.75	0.000368	0.0001472	9.2e-05
Westmoreland	135.0	0.0	0.0	0.0	0.00038504	0.0	675.0	270.0	168.75	0.0019252	0.00077008	0.0004813
Montour	19.0	0.0	0.0	0.0	0.00104167	0.0	95.0	38.0	23.75	0.00520835	0.00208334	0.0013020875
