Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Kenya	1.857	631.867	1594.867	0.359	94.459	144.459	4e-08	1.229e-05	3.103e-05	1e-08	1.84e-06	2.81e-06
Botswana	0.012	4.072	29.072	0.0	0.0	1.0	1e-08	1.81e-06	1.29e-05	0.0	0.0	4.4e-07
Benin	0.0	31.408	161.408	0.0	0.0	2.0	0.0	2.73e-06	1.405e-05	0.0	0.0	1.7e-07
Tunisia	0.058	19.587	1063.587	0.009	2.027	49.027	1e-08	1.69e-06	9.196e-05	0.0	1.8e-07	4.24e-06
Mauritius	0.0	0.0	332.0	0.0	0.0	10.0	0.0	0.0	0.00026239	0.0	0.0	7.9e-06
Namibia	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	6.54e-06	0.0	0.0	0.0
Sao Tome and Principe	0.354	120.497	371.497	0.044	10.133	18.133	1.68e-06	0.000571	0.00176042	2.1e-07	4.802e-05	8.593e-05
Zambia	6.766	2040.179	2812.179	0.056	10.517	17.517	3.9e-07	0.00011758	0.00016207	0.0	6.1e-07	1.01e-06
Republic of the Congo	1.193	405.951	825.951	0.161	36.72	51.72	2.3e-07	7.741e-05	0.00015749	3e-08	7e-06	9.86e-06
Ghana	0.0	3204.436	9300.436	0.002	17.189	48.189	0.0	0.00010765	0.00031244	0.0	5.8e-07	1.62e-06
Gabon	9.017	2718.842	4220.842	0.15	28.394	40.394	4.25e-06	0.00128291	0.00199164	7e-08	1.34e-05	1.906e-05
Malawi	0.0	28.463	98.463	0.0	0.0	3.0	0.0	1.57e-06	5.43e-06	0.0	0.0	1.7e-07
Libya	0.006	1.98	69.98	0.0	0.0	3.0	0.0	3e-07	1.048e-05	0.0	0.0	4.5e-07
