Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-08	40.24	1092.24	0.458	9.458
2020-06-09	40.164	1132.404	0.499	9.957
2020-06-10	39.795	1172.199	0.542	10.499
2020-06-11	39.278	1211.477	0.59	11.089
2020-06-12	38.685	1250.162	0.637	11.726
2020-06-13	37.94	1288.102	0.683	12.409
2020-06-14	37.044	1325.146	0.722	13.131
2020-06-15	36.078	1361.224	0.752	13.883
2020-06-16	35.115	1396.339	0.769	14.652
2020-06-17	34.158	1430.497	0.779	15.431
2020-06-18	33.276	1463.773	0.782	16.213
2020-06-19	32.469	1496.242	0.781	16.994
2020-06-20	31.647	1527.889	0.773	17.767
2020-06-21	30.749	1558.638	0.763	18.53
2020-06-22	29.774	1588.412	0.752	19.282
2020-06-23	28.723	1617.135	0.737	20.019
2020-06-24	27.601	1644.736	0.72	20.739
2020-06-25	26.478	1671.214	0.701	21.44
2020-06-26	25.355	1696.569	0.682	22.122
2020-06-27	24.244	1720.813	0.664	22.786
2020-06-28	23.155	1743.968	0.647	23.433
2020-06-29	22.099	1766.067	0.631	24.064
2020-06-30	21.058	1787.125	0.615	24.679
2020-07-01	20.041	1807.166	0.598	25.277
2020-07-02	19.051	1826.217	0.579	25.856
2020-07-03	18.097	1844.314	0.558	26.414
2020-07-04	17.169	1861.483	0.536	26.95
2020-07-05	16.285	1877.768	0.515	27.465
2020-07-06	15.441	1893.209	0.493	27.958
2020-07-07	14.637	1907.846	0.471	28.429
2020-07-08	13.863	1921.709	0.45	28.879
2020-07-09	13.116	1934.825	0.43	29.309
2020-07-10	12.392	1947.217	0.409	29.718
2020-07-11	11.681	1958.898	0.39	30.108
2020-07-12	10.976	1969.874	0.37	30.478
2020-07-13	10.272	1980.146	0.352	30.83
2020-07-14	9.566	1989.712	0.334	31.164
2020-07-15	8.873	1998.585	0.316	31.48
2020-07-16	8.231	2006.816	0.3	31.78
2020-07-17	7.664	2014.48	0.284	32.064
2020-07-18	7.172	2021.652	0.269	32.333
2020-07-19	6.749	2028.401	0.255	32.588
2020-07-20	6.382	2034.783	0.241	32.829
2020-07-21	6.041	2040.824	0.227	33.056
2020-07-22	5.703	2046.527	0.213	33.269
2020-07-23	5.366	2051.893	0.2	33.469
2020-07-24	5.028	2056.921	0.186	33.655
2020-07-25	4.689	2061.61	0.172	33.827
2020-07-26	4.357	2065.967	0.16	33.987
2020-07-27	4.054	2070.021	0.149	34.136
2020-07-28	3.781	2073.802	0.139	34.275
2020-07-29	3.537	2077.339	0.131	34.406
2020-07-30	3.318	2080.657	0.124	34.53
2020-07-31	3.119	2083.776	0.117	34.647
2020-08-01	2.923	2086.699	0.111	34.758
2020-08-02	2.726	2089.425	0.104	34.862
2020-08-03	2.529	2091.954	0.098	34.96
2020-08-04	2.332	2094.286	0.091	35.051
2020-08-05	2.135	2096.421	0.085	35.136
2020-08-06	1.938	2098.359	0.079	35.215
2020-08-07	1.745	2100.104	0.073	35.288
2020-08-08	1.566	2101.67	0.069	35.357
2020-08-09	1.403	2103.073	0.064	35.421
2020-08-10	1.253	2104.326	0.061	35.482
2020-08-11	1.116	2105.442	0.057	35.539
2020-08-12	0.987	2106.429	0.053	35.592
2020-08-13	0.859	2107.288	0.049	35.641
2020-08-14	0.731	2108.019	0.045	35.686
2020-08-15	0.602	2108.621	0.042	35.728
2020-08-16	0.47	2109.091	0.038	35.766
2020-08-17	0.334	2109.425	0.034	35.8
2020-08-18	0.215	2109.64	0.03	35.83
2020-08-19	0.132	2109.772	0.027	35.857
2020-08-20	0.083	2109.855	0.024	35.881
2020-08-21	0.055	2109.91	0.022	35.903
2020-08-22	0.04	2109.95	0.019	35.922
2020-08-23	0.03	2109.98	0.017	35.939
2020-08-24	0.024	2110.004	0.014	35.953
2020-08-25	0.019	2110.023	0.012	35.965
2020-08-26	0.015	2110.038	0.009	35.974
2020-08-27	0.011	2110.049	0.006	35.98
2020-08-28	0.008	2110.057	0.004	35.984
2020-08-29	0.0	2110.057	0.003	35.987
2020-08-30	0.0	2110.057	0.002	35.989
2020-08-31	0.0	2110.057	0.001	35.99
2020-09-01	0.0	2110.057	0.001	35.991
2020-09-02	0.0	2110.057	0.001	35.992
2020-09-03	0.0	2110.057	0.0	35.992
2020-09-04	0.0	2110.057	0.0	35.992
2020-09-05	0.0	2110.057	0.0	35.992
2020-09-06	0.0	2110.057	0.0	35.992
