Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-25	433.16	11015.16	7.302	225.302
2020-05-26	451.29	11466.45	7.235	232.537
2020-05-27	461.738	11928.188	7.141	239.678
2020-05-28	467.654	12395.842	7.033	246.711
2020-05-29	469.332	12865.174	6.898	253.609
2020-05-30	468.448	13333.622	6.735	260.344
2020-05-31	464.141	13797.763	6.559	266.903
2020-06-01	458.106	14255.869	6.384	273.287
2020-06-02	451.196	14707.065	6.21	279.497
2020-06-03	442.503	15149.568	6.05	285.547
2020-06-04	432.053	15581.621	5.903	291.45
2020-06-05	420.792	16002.413	5.754	297.204
2020-06-06	409.557	16411.97	5.59	302.794
2020-06-07	398.392	16810.362	5.413	308.207
2020-06-08	388.112	17198.474	5.222	313.429
2020-06-09	378.692	17577.166	5.018	318.447
2020-06-10	369.105	17946.271	4.814	323.261
2020-06-11	358.634	18304.905	4.61	327.871
2020-06-12	347.259	18652.164	4.408	332.279
2020-06-13	335.007	18987.171	4.21	336.489
2020-06-14	321.915	19309.086	4.018	340.507
2020-06-15	308.822	19617.908	3.828	344.335
2020-06-16	295.726	19913.634	3.644	347.979
2020-06-17	282.76	20196.394	3.464	351.443
2020-06-18	270.067	20466.461	3.29	354.733
2020-06-19	257.753	20724.214	3.122	357.855
2020-06-20	245.602	20969.816	2.961	360.816
2020-06-21	233.744	21203.56	2.807	363.623
2020-06-22	222.198	21425.758	2.661	366.284
2020-06-23	211.071	21636.829	2.52	368.804
2020-06-24	200.25	21837.079	2.385	371.189
2020-06-25	189.933	22027.012	2.253	373.442
2020-06-26	180.098	22207.11	2.124	375.566
2020-06-27	170.721	22377.831	1.996	377.562
2020-06-28	161.686	22539.517	1.867	379.429
2020-06-29	152.974	22692.491	1.739	381.168
2020-06-30	144.526	22837.017	1.613	382.781
2020-07-01	136.239	22973.256	1.496	384.277
2020-07-02	128.022	23101.278	1.393	385.67
2020-07-03	119.801	23221.079	1.304	386.974
2020-07-04	111.574	23332.653	1.227	388.201
2020-07-05	103.492	23436.145	1.16	389.361
2020-07-06	95.996	23532.141	1.098	390.459
2020-07-07	89.39	23621.531	1.037	391.496
2020-07-08	83.649	23705.18	0.976	392.472
2020-07-09	78.713	23783.893	0.914	393.386
2020-07-10	74.434	23858.327	0.853	394.239
2020-07-11	70.459	23928.786	0.792	395.031
2020-07-12	66.52	23995.306	0.737	395.768
2020-07-13	62.58	24057.886	0.687	396.455
2020-07-14	58.638	24116.524	0.643	397.098
2020-07-15	54.693	24171.217	0.603	397.701
2020-07-16	50.816	24222.033	0.567	398.268
2020-07-17	47.284	24269.317	0.531	398.799
2020-07-18	44.103	24313.42	0.496	399.295
2020-07-19	41.247	24354.667	0.46	399.755
2020-07-20	38.695	24393.362	0.424	400.179
2020-07-21	36.381	24429.743	0.388	400.567
2020-07-22	34.089	24463.832	0.352	400.919
2020-07-23	31.796	24495.628	0.317	401.236
2020-07-24	29.501	24525.129	0.285	401.521
2020-07-25	27.204	24552.333	0.255	401.776
2020-07-26	24.905	24577.238	0.228	402.004
2020-07-27	22.602	24599.84	0.203	402.207
2020-07-28	20.358	24620.198	0.179	402.386
2020-07-29	18.269	24638.467	0.156	402.542
2020-07-30	16.361	24654.828	0.133	402.675
2020-07-31	14.616	24669.444	0.109	402.784
2020-08-01	13.016	24682.46	0.086	402.87
2020-08-02	11.509	24693.969	0.061	402.931
2020-08-03	10.023	24703.992	0.039	402.97
2020-08-04	8.528	24712.52	0.024	402.994
2020-08-05	7.019	24719.539	0.015	403.009
2020-08-06	5.485	24725.024	0.01	403.019
2020-08-07	3.894	24728.918	0.007	403.026
2020-08-08	2.505	24731.423	0.006	403.032
2020-08-09	1.545	24732.968	0.004	403.036
2020-08-10	0.974	24733.942	0.004	403.04
2020-08-11	0.643	24734.585	0.003	403.043
2020-08-12	0.461	24735.046	0.002	403.045
2020-08-13	0.356	24735.402	0.002	403.047
2020-08-14	0.284	24735.686	0.0	403.047
2020-08-15	0.226	24735.912	0.0	403.047
2020-08-16	0.176	24736.088	0.0	403.047
2020-08-17	0.134	24736.222	0.0	403.047
2020-08-18	0.099	24736.321	0.0	403.047
2020-08-19	0.0	24736.321	0.0	403.047
2020-08-20	0.0	24736.321	0.0	403.047
2020-08-21	0.0	24736.321	0.0	403.047
2020-08-22	0.0	24736.321	0.0	403.047
2020-08-23	0.0	24736.321	0.0	403.047
2020-08-24	0.0	24736.321	0.0	403.047
2020-08-25	0.0	24736.321	0.0	403.047
2020-08-26	0.0	24736.321	0.0	403.047
2020-08-27	0.0	24736.321	0.0	403.047
2020-08-28	0.0	24736.321	0.0	403.047
2020-08-29	0.0	24736.321	0.0	403.047
2020-08-30	0.0	24736.321	0.0	403.047
