Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Bhutan	0.0	0.0	0.0	0.0
Afghanistan	3.705	1074.891	1e-07	2.892e-05
Syria	0.023	13.324	0.0	7.9e-07
Kyrgyzstan	1.636	474.502	2.6e-07	7.513e-05
South Korea	0.0	481.748	0.0	9.33e-06
Brunei	0.0	0.0	0.0	0.0
Nepal	0.075	21.788	0.0	7.8e-07
Kuwait	6.915	2006.141	1.67e-06	0.00048489
Malaysia	19.239	5727.559	6.1e-07	0.00018114
Indonesia	19.104	5542.308	7e-08	2.071e-05
Iraq	7.026	2038.42	1.8e-07	5.304e-05
East Timor	0.125	36.314	1e-07	2.864e-05
Uzbekistan	4.712	1367.016	1.4e-07	4.148e-05
Myanmar	0.0	0.0	0.0	0.0
Qatar	20.239	5871.554	7.28e-06	0.0021108
Sri Lanka	0.0	75.614	0.0	3.49e-06
Laos	0.092	26.63	1e-08	3.77e-06
Bahrain	4.028	1168.5	2.57e-06	0.00074453
Mongolia	0.036	10.491	1e-08	3.31e-06
Taiwan	0.0	87.412	0.0	3.68e-06
Oman	2.729	791.643	5.7e-07	0.00016392
Japan	31.205	9052.651	2.5e-07	7.155e-05
United Arab Emirates	27.11	7864.783	2.81e-06	0.00081661
China	2.712	1354.312	0.0	9.7e-07
Maldives	0.0	0.018	0.0	4e-08
Singapore	8.96	2599.268	1.59e-06	0.00046097
India	55.928	16225.049	4e-08	1.2e-05
Saudi Arabia	20.554	5962.742	6.1e-07	0.00017694
Philippines	0.0	196.207	0.0	1.84e-06
Thailand	0.0	435.491	0.0	6.27e-06
Iran	109.911	54891.257	1.34e-06	0.00067104
Vietnam	0.0	0.0	0.0	0.0
Kazakhstan	6.083	1764.855	3.3e-07	9.656e-05
Bangladesh	1.146	332.474	1e-08	2.06e-06
Pakistan	32.985	9569.115	1.6e-07	4.509e-05
Cambodia	0.0	0.847	0.0	5e-08
Jordan	1.408	408.33	1.4e-07	4.101e-05
Lebanon	1.017	345.848	1.5e-07	5.05e-05
