Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Bhutan	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	6.63e-06	0.0	0.0	0.0
Afghanistan	4.889	2346.977	2015.933	0.717	215.019	137.868	1.3e-07	6.314e-05	5.423e-05	2e-08	5.78e-06	3.71e-06
Syria	0.147	70.327	68.237	0.0	0.0	2.0	1e-08	4.16e-06	4.04e-06	0.0	0.0	1.2e-07
Kyrgyzstan	2.891	1506.355	1220.623	0.0	0.0	5.0	4.6e-07	0.00023851	0.00019326	0.0	0.0	7.9e-07
South Korea	0.0	341.198	10783.599	0.0	117.944	287.972	0.0	6.61e-06	0.00020884	0.0	2.28e-06	5.58e-06
Brunei	0.009	6.795	139.402	0.0	0.0	1.0	2e-08	1.584e-05	0.00032498	0.0	0.0	2.33e-06
Yemen	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4e-08	0.0	0.0	0.0
Nepal	0.055	30.467	31.261	0.0	0.0	0.0	0.0	1.08e-06	1.11e-06	0.0	0.0	0.0
Kuwait	7.984	4439.748	3747.866	0.0	0.0	3.0	1.93e-06	0.0010731	0.00090587	0.0	0.0	7.3e-07
Malaysia	11.421	6664.179	8519.8	0.21	116.64	142.425	3.6e-07	0.00021076	0.00026944	1e-08	3.69e-06	4.5e-06
Indonesia	38.862	17901.07	14485.966	11.857	3809.947	2406.902	1.5e-07	6.688e-05	5.412e-05	4e-08	1.423e-05	8.99e-06
Iraq	0.0	1290.686	2079.343	0.0	59.236	109.618	0.0	3.358e-05	5.41e-05	0.0	1.54e-06	2.85e-06
East Timor	5.296	649.134	345.215	0.003	59.277	29.64	4.18e-06	0.00051195	0.00027226	0.0	4.675e-05	2.338e-05
Uzbekistan	10.971	5053.381	3881.176	0.084	23.48	15.782	3.3e-07	0.00015334	0.00011777	0.0	7.1e-07	4.8e-07
Myanmar	0.581	323.167	246.874	0.053	19.931	13.992	1e-08	6.02e-06	4.6e-06	0.0	3.7e-07	2.6e-07
Qatar	17.321	9632.477	8927.899	0.053	19.931	16.992	6.23e-06	0.00346283	0.00320954	2e-08	7.17e-06	6.11e-06
Sri Lanka	0.484	269.202	372.843	0.0	0.0	7.0	2e-08	1.242e-05	1.721e-05	0.0	0.0	3.2e-07
Laos	0.081	44.829	41.455	0.0	0.0	0.0	1e-08	6.35e-06	5.87e-06	0.0	0.0	0.0
Bahrain	448.917	66814.583	35331.75	0.0	1.868	7.934	0.00028604	0.04257227	0.02251234	0.0	1.19e-06	5.06e-06
Mongolia	0.518	144.798	103.658	0.0	1.868	0.934	1.6e-07	4.567e-05	3.27e-05	0.0	5.9e-07	2.9e-07
Taiwan	0.0	22.34	406.17	0.0	2.496	7.248	0.0	9.4e-07	1.708e-05	0.0	1e-07	3e-07
Oman	22.409	7200.765	4630.587	0.709	119.701	64.205	4.64e-06	0.001491	0.00095882	1.5e-07	2.479e-05	1.329e-05
Japan	90.89	38728.318	28035.604	0.466	259.19	307.828	7.2e-07	0.00030608	0.00022157	0.0	2.05e-06	2.43e-06
United Arab Emirates	42.321	20317.533	16004.927	1.065	319.437	195.251	4.39e-06	0.00210961	0.00166182	1.1e-07	3.317e-05	2.027e-05
China	9.289	4459.401	85637.345	0.0	40.628	3366.314	1e-08	3.2e-06	6.149e-05	0.0	3e-08	2.42e-06
Maldives	1.835	224.953	138.394	0.0	0.0	0.0	3.56e-06	0.00043621	0.00026836	0.0	0.0	0.0
Singapore	136.92	38272.702	23631.811	2.451	364.829	193.64	2.428e-05	0.00678753	0.00419102	4.3e-07	6.47e-05	3.434e-05
India	99.995	48005.941	37482.968	3.926	1884.872	1392.399	7e-08	3.549e-05	2.771e-05	0.0	1.39e-06	1.03e-06
Saudi Arabia	142.191	45690.191	29296.191	0.353	196.301	181.327	4.22e-06	0.00135579	0.00086932	1e-08	5.82e-06	5.38e-06
Philippines	17.128	9525.186	10431.157	10.833	3250.001	1992.417	1.6e-07	8.931e-05	9.781e-05	1e-07	3.047e-05	1.868e-05
Thailand	0.0	772.182	3058.091	0.0	44.096	68.048	0.0	1.112e-05	4.405e-05	0.0	6.4e-07	9.8e-07
Iran	11.557	59961.703	107981.63	4.897	4500.623	7121.76	1.4e-07	0.00073303	0.00132006	6e-08	5.502e-05	8.706e-05
Vietnam	0.008	83.76	309.884	4.897	4500.623	2252.76	0.0	8.8e-07	3.24e-06	5e-08	4.711e-05	2.358e-05
Kazakhstan	6.744	3378.996	3094.87	0.379	121.667	78.023	3.7e-07	0.00018488	0.00016934	2e-08	6.66e-06	4.27e-06
Bangladesh	1929.035	207516.061	106294.548	0.657	279.751	200.204	1.196e-05	0.00128608	0.00065876	0.0	1.73e-06	1.24e-06
Pakistan	17.505	11526.979	12691.242	0.936	414.404	335.67	8e-08	5.432e-05	5.98e-05	0.0	1.95e-06	1.58e-06
Cambodia	0.089	49.619	146.854	0.936	414.404	207.67	1e-08	3.05e-06	9.04e-06	6e-08	2.55e-05	1.278e-05
Jordan	0.0	100.61	452.305	0.0	0.0	7.0	0.0	1.011e-05	4.543e-05	0.0	0.0	7e-07
Lebanon	1.212	673.762	1000.487	0.071	27.029	34.55	1.8e-07	9.837e-05	0.00014608	1e-08	3.95e-06	5.04e-06
