Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-17	5.831	736.831	0.0	9.0
2020-06-18	7.196	744.027	0.0	9.0
2020-06-19	8.851	752.878	0.0	9.0
2020-06-20	10.685	763.563	0.0	9.0
2020-06-21	12.659	776.222	0.0	9.0
2020-06-22	14.951	791.173	0.0	9.0
2020-06-23	17.65	808.823	0.0	9.0
2020-06-24	20.867	829.69	0.0	9.0
2020-06-25	24.638	854.328	0.0	9.0
2020-06-26	29.036	883.364	0.0	9.0
2020-06-27	34.02	917.384	0.0	9.0
2020-06-28	39.538	956.922	0.0	9.0
2020-06-29	45.54	1002.462	0.0	9.0
2020-06-30	52.123	1054.585	0.0	9.0
2020-07-01	59.118	1113.703	0.0	9.0
2020-07-02	66.324	1180.027	0.0	9.0
2020-07-03	73.6	1253.627	0.0	9.0
2020-07-04	80.848	1334.475	0.0	9.0
2020-07-05	88.158	1422.633	0.0	9.0
2020-07-06	95.764	1518.397	0.0	9.0
2020-07-07	104.148	1622.545	0.0	9.0
2020-07-08	112.512	1735.057	0.0	9.0
2020-07-09	120.605	1855.662	0.0	9.0
2020-07-10	127.477	1983.139	0.0	9.0
2020-07-11	132.813	2115.952	0.0	9.0
2020-07-12	135.888	2251.84	0.0	9.0
2020-07-13	137.629	2389.469	0.0	9.0
2020-07-14	138.123	2527.592	0.0	9.0
2020-07-15	137.862	2665.454	0.0	9.0
2020-07-16	136.595	2802.049	0.0	9.0
2020-07-17	134.819	2936.868	0.0	9.0
2020-07-18	132.785	3069.653	0.0	9.0
2020-07-19	130.227	3199.88	0.0	9.0
2020-07-20	127.151	3327.031	0.0	9.0
2020-07-21	123.837	3450.868	0.0	9.0
2020-07-22	120.531	3571.399	0.0	9.0
2020-07-23	117.245	3688.644	0.0	9.0
2020-07-24	114.22	3802.864	0.0	9.0
2020-07-25	111.448	3914.312	0.0	9.0
2020-07-26	108.626	4022.938	0.0	9.0
2020-07-27	105.545	4128.483	0.0	9.0
2020-07-28	102.197	4230.68	0.0	9.0
2020-07-29	98.591	4329.271	0.0	9.0
2020-07-30	94.738	4424.009	0.0	9.0
2020-07-31	90.885	4514.894	0.0	9.0
2020-08-01	87.031	4601.925	0.0	9.0
2020-08-02	83.215	4685.14	0.0	9.0
2020-08-03	79.48	4764.62	0.0	9.0
2020-08-04	75.856	4840.476	0.0	9.0
2020-08-05	72.28	4912.756	0.0	9.0
2020-08-06	68.79	4981.546	0.0	9.0
2020-08-07	65.392	5046.938	0.0	9.0
2020-08-08	62.118	5109.056	0.0	9.0
2020-08-09	58.933	5167.989	0.0	9.0
2020-08-10	55.896	5223.885	0.0	9.0
2020-08-11	53.002	5276.887	0.0	9.0
2020-08-12	50.243	5327.13	0.0	9.0
2020-08-13	47.583	5374.713	0.0	9.0
2020-08-14	45.02	5419.733	0.0	9.0
2020-08-15	42.533	5462.266	0.0	9.0
2020-08-16	40.095	5502.361	0.0	9.0
2020-08-17	37.676	5540.037	0.0	9.0
2020-08-18	35.257	5575.294	0.0	9.0
2020-08-19	32.836	5608.13	0.0	9.0
2020-08-20	30.457	5638.587	0.0	9.0
2020-08-21	28.251	5666.838	0.0	9.0
2020-08-22	26.307	5693.145	0.0	9.0
2020-08-23	24.618	5717.763	0.0	9.0
2020-08-24	23.165	5740.928	0.0	9.0
2020-08-25	21.906	5762.834	0.0	9.0
2020-08-26	20.736	5783.57	0.0	9.0
2020-08-27	19.577	5803.147	0.0	9.0
2020-08-28	18.417	5821.564	0.0	9.0
2020-08-29	17.257	5838.821	0.0	9.0
2020-08-30	16.096	5854.917	0.0	9.0
2020-08-31	14.955	5869.872	0.0	9.0
2020-09-01	13.916	5883.788	0.0	9.0
2020-09-02	12.979	5896.767	0.0	9.0
2020-09-03	12.139	5908.906	0.0	9.0
2020-09-04	11.388	5920.294	0.0	9.0
2020-09-05	10.707	5931.001	0.0	9.0
2020-09-06	10.032	5941.033	0.0	9.0
2020-09-07	9.357	5950.39	0.0	9.0
2020-09-08	8.682	5959.072	0.0	9.0
2020-09-09	8.006	5967.078	0.0	9.0
2020-09-10	7.329	5974.407	0.0	9.0
2020-09-11	6.652	5981.059	0.0	9.0
2020-09-12	5.991	5987.05	0.0	9.0
2020-09-13	5.376	5992.426	0.0	9.0
2020-09-14	4.815	5997.241	0.0	9.0
2020-09-15	4.301	6001.542	0.0	9.0
2020-09-16	3.831	6005.373	0.0	9.0
2020-09-17	3.387	6008.76	0.0	9.0
2020-09-18	2.95	6011.71	0.0	9.0
2020-09-19	2.51	6014.22	0.0	9.0
2020-09-20	2.066	6016.286	0.0	9.0
2020-09-21	1.614	6017.9	0.0	9.0
2020-09-22	1.146	6019.046	0.0	9.0
2020-09-23	0.737	6019.783	0.0	9.0
2020-09-24	0.455	6020.238	0.0	9.0
2020-09-25	0.287	6020.525	0.0	9.0
2020-09-26	0.189	6020.714	0.0	9.0
2020-09-27	0.136	6020.85	0.0	9.0
2020-09-28	0.105	6020.955	0.0	9.0
2020-09-29	0.084	6021.039	0.0	9.0
2020-09-30	0.066	6021.105	0.0	9.0
2020-10-01	0.052	6021.157	0.0	9.0
2020-10-02	0.039	6021.196	0.0	9.0
2020-10-03	0.029	6021.225	0.0	9.0
