Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Beijing	1.522	17698.973	18627.973	0.0	60.146	69.146	8e-08	0.00090244	0.00094981	0.0	3.07e-06	3.53e-06
Shanghai	0.188	7311.066	8043.066	0.0	43.252	50.252	1e-08	0.00031761	0.00034941	0.0	1.88e-06	2.18e-06
Shaanxi	0.054	2700.231	3021.231	0.0	153.498	156.498	0.0	7.234e-05	8.094e-05	0.0	4.11e-06	4.19e-06
Fujian	0.018	1833.216	2196.216	0.0	176.08	177.08	0.0	4.969e-05	5.953e-05	0.0	4.77e-06	4.8e-06
Yunnan	0.006	72.569	260.569	0.0	0.0	2.0	0.0	1.58e-06	5.67e-06	0.0	0.0	4e-08
Macau	0.012	460.536	506.536	0.0	0.0	2.073	2e-08	0.00083354	0.0009168	0.0	0.0	3.75e-06
Tianjin	0.034	1699.437	1902.437	0.0	94.886	97.886	0.0	0.00013135	0.00014704	0.0	7.33e-06	7.57e-06
Liaoning	0.027	1337.672	1501.672	0.0	75.726	77.726	0.0	3.058e-05	3.433e-05	0.0	1.73e-06	1.78e-06
Guangdong	0.0	4825.633	6475.633	2.531	29443.155	29451.155	0.0	4.321e-05	5.798e-05	2e-08	0.00026361	0.00026369
Jiangsu	0.033	3302.858	3956.858	0.0	0.0	28.907	0.0	4.199e-05	5.03e-05	0.0	0.0	3.7e-07
Hebei	0.058	2931.637	3280.637	0.0	18.477	24.477	0.0	4.08e-05	4.566e-05	0.0	2.6e-07	3.4e-07
Hong Kong	2.579	30001.432	31656.432	0.0	81.141	91.141	3.7e-07	0.00424877	0.00448315	0.0	1.149e-05	1.291e-05
Gansu	0.073	2035.439	2202.439	0.0	76.099	78.099	0.0	7.959e-05	8.612e-05	0.0	2.98e-06	3.05e-06
