Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-13	0.089	169.089	0.0	2.0
2020-08-14	0.11	169.199	0.0	2.0
2020-08-15	0.135	169.334	0.0	2.0
2020-08-16	0.163	169.497	0.0	2.0
2020-08-17	0.193	169.69	0.0	2.0
2020-08-18	0.228	169.918	0.0	2.0
2020-08-19	0.269	170.187	0.0	2.0
2020-08-20	0.318	170.505	0.0	2.0
2020-08-21	0.376	170.881	0.0	2.0
2020-08-22	0.443	171.324	0.0	2.0
2020-08-23	0.519	171.843	0.0	2.0
2020-08-24	0.603	172.446	0.0	2.0
2020-08-25	0.694	173.14	0.0	2.0
2020-08-26	0.795	173.935	0.0	2.0
2020-08-27	0.901	174.836	0.0	2.0
2020-08-28	1.011	175.847	0.0	2.0
2020-08-29	1.122	176.969	0.0	2.0
2020-08-30	1.232	178.201	0.0	2.0
2020-08-31	1.344	179.545	0.0	2.0
2020-09-01	1.46	181.005	0.0	2.0
2020-09-02	1.588	182.593	0.0	2.0
2020-09-03	1.715	184.308	0.0	2.0
2020-09-04	1.838	186.146	0.0	2.0
2020-09-05	1.943	188.089	0.0	2.0
2020-09-06	2.025	190.114	0.0	2.0
2020-09-07	2.071	192.185	0.0	2.0
2020-09-08	2.098	194.283	0.0	2.0
2020-09-09	2.106	196.389	0.0	2.0
2020-09-10	2.102	198.491	0.0	2.0
2020-09-11	2.082	200.573	0.0	2.0
2020-09-12	2.055	202.628	0.0	2.0
2020-09-13	2.024	204.652	0.0	2.0
2020-09-14	1.985	206.637	0.0	2.0
2020-09-15	1.938	208.575	0.0	2.0
2020-09-16	1.888	210.463	0.0	2.0
2020-09-17	1.837	212.3	0.0	2.0
2020-09-18	1.787	214.087	0.0	2.0
2020-09-19	1.741	215.828	0.0	2.0
2020-09-20	1.699	217.527	0.0	2.0
2020-09-21	1.656	219.183	0.0	2.0
2020-09-22	1.609	220.792	0.0	2.0
2020-09-23	1.558	222.35	0.0	2.0
2020-09-24	1.503	223.853	0.0	2.0
2020-09-25	1.444	225.297	0.0	2.0
2020-09-26	1.385	226.682	0.0	2.0
2020-09-27	1.327	228.009	0.0	2.0
2020-09-28	1.269	229.278	0.0	2.0
2020-09-29	1.212	230.49	0.0	2.0
2020-09-30	1.156	231.646	0.0	2.0
2020-10-01	1.102	232.748	0.0	2.0
2020-10-02	1.049	233.797	0.0	2.0
2020-10-03	0.997	234.794	0.0	2.0
2020-10-04	0.947	235.741	0.0	2.0
2020-10-05	0.898	236.639	0.0	2.0
2020-10-06	0.852	237.491	0.0	2.0
2020-10-07	0.808	238.299	0.0	2.0
2020-10-08	0.766	239.065	0.0	2.0
2020-10-09	0.725	239.79	0.0	2.0
2020-10-10	0.686	240.476	0.0	2.0
2020-10-11	0.648	241.124	0.0	2.0
2020-10-12	0.611	241.735	0.0	2.0
2020-10-13	0.574	242.309	0.0	2.0
2020-10-14	0.537	242.846	0.0	2.0
2020-10-15	0.501	243.347	0.0	2.0
2020-10-16	0.464	243.811	0.0	2.0
2020-10-17	0.431	244.242	0.0	2.0
2020-10-18	0.401	244.643	0.0	2.0
2020-10-19	0.375	245.018	0.0	2.0
2020-10-20	0.353	245.371	0.0	2.0
2020-10-21	0.334	245.705	0.0	2.0
2020-10-22	0.316	246.021	0.0	2.0
2020-10-23	0.298	246.319	0.0	2.0
2020-10-24	0.281	246.6	0.0	2.0
2020-10-25	0.263	246.863	0.0	2.0
2020-10-26	0.245	247.108	0.0	2.0
2020-10-27	0.228	247.336	0.0	2.0
2020-10-28	0.212	247.548	0.0	2.0
2020-10-29	0.198	247.746	0.0	2.0
2020-10-30	0.185	247.931	0.0	2.0
2020-10-31	0.174	248.105	0.0	2.0
2020-11-01	0.163	248.268	0.0	2.0
2020-11-02	0.153	248.421	0.0	2.0
2020-11-03	0.143	248.564	0.0	2.0
2020-11-04	0.132	248.696	0.0	2.0
2020-11-05	0.122	248.818	0.0	2.0
2020-11-06	0.112	248.93	0.0	2.0
2020-11-07	0.101	249.031	0.0	2.0
2020-11-08	0.091	249.122	0.0	2.0
2020-11-09	0.082	249.204	0.0	2.0
2020-11-10	0.073	249.277	0.0	2.0
2020-11-11	0.066	249.343	0.0	2.0
2020-11-12	0.058	249.401	0.0	2.0
2020-11-13	0.052	249.453	0.0	2.0
2020-11-14	0.045	249.498	0.0	2.0
2020-11-15	0.038	249.536	0.0	2.0
2020-11-16	0.031	249.567	0.0	2.0
2020-11-17	0.025	249.592	0.0	2.0
2020-11-18	0.017	249.609	0.0	2.0
2020-11-19	0.011	249.62	0.0	2.0
2020-11-20	0.007	249.627	0.0	2.0
2020-11-21	0.004	249.631	0.0	2.0
2020-11-22	0.003	249.634	0.0	2.0
2020-11-23	0.002	249.636	0.0	2.0
2020-11-24	0.002	249.638	0.0	2.0
2020-11-25	0.001	249.639	0.0	2.0
2020-11-26	0.001	249.64	0.0	2.0
2020-11-27	0.001	249.641	0.0	2.0
2020-11-28	0.001	249.642	0.0	2.0
2020-11-29	0.0	249.642	0.0	2.0
