Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-09-01	0.094	0.995	0.08	0.08
2020-09-02	0.093	1.088	0.073	0.153
2020-09-03	0.092	1.18	0.066	0.219
2020-09-04	0.09	1.27	0.06	0.279
2020-09-05	0.089	1.359	0.054	0.333
2020-09-06	0.086	1.445	0.048	0.381
2020-09-07	0.084	1.529	0.043	0.424
2020-09-08	0.082	1.611	0.038	0.462
2020-09-09	0.08	1.691	0.034	0.496
2020-09-10	0.078	1.769	0.029	0.525
2020-09-11	0.076	1.845	0.025	0.55
2020-09-12	0.074	1.919	0.021	0.571
2020-09-13	0.072	1.991	0.016	0.587
2020-09-14	0.07	2.061	0.011	0.598
2020-09-15	0.067	2.128	0.007	0.605
2020-09-16	0.064	2.192	0.005	0.61
2020-09-17	0.062	2.254	0.003	0.613
2020-09-18	0.059	2.313	0.002	0.615
2020-09-19	0.057	2.37	0.001	0.616
2020-09-20	0.054	2.424	0.001	0.617
2020-09-21	0.052	2.476	0.001	0.618
2020-09-22	0.049	2.525	0.001	0.619
2020-09-23	0.047	2.572	0.001	0.62
2020-09-24	0.044	2.616	0.0	0.62
2020-09-25	0.042	2.658	0.0	0.62
2020-09-26	0.04	2.698	0.0	0.62
2020-09-27	0.038	2.736	0.0	0.62
2020-09-28	0.036	2.772	0.0	0.62
2020-09-29	0.034	2.806	0.0	0.62
2020-09-30	0.032	2.838	0.0	0.62
2020-10-01	0.031	2.869	0.0	0.62
2020-10-02	0.029	2.898	0.0	0.62
2020-10-03	0.027	2.925	0.0	0.62
2020-10-04	0.026	2.951	0.0	0.62
2020-10-05	0.024	2.975	0.0	0.62
2020-10-06	0.022	2.997	0.0	0.62
2020-10-07	0.021	3.018	0.0	0.62
2020-10-08	0.019	3.037	0.0	0.62
2020-10-09	0.018	3.055	0.0	0.62
2020-10-10	0.017	3.072	0.0	0.62
2020-10-11	0.016	3.088	0.0	0.62
2020-10-12	0.015	3.103	0.0	0.62
2020-10-13	0.014	3.117	0.0	0.62
2020-10-14	0.013	3.13	0.0	0.62
2020-10-15	0.013	3.143	0.0	0.62
2020-10-16	0.012	3.155	0.0	0.62
2020-10-17	0.011	3.166	0.0	0.62
2020-10-18	0.01	3.176	0.0	0.62
2020-10-19	0.009	3.185	0.0	0.62
2020-10-20	0.009	3.194	0.0	0.62
2020-10-21	0.008	3.202	0.0	0.62
2020-10-22	0.008	3.21	0.0	0.62
2020-10-23	0.007	3.217	0.0	0.62
2020-10-24	0.007	3.224	0.0	0.62
2020-10-25	0.006	3.23	0.0	0.62
2020-10-26	0.006	3.236	0.0	0.62
2020-10-27	0.005	3.241	0.0	0.62
2020-10-28	0.005	3.246	0.0	0.62
2020-10-29	0.005	3.251	0.0	0.62
2020-10-30	0.004	3.255	0.0	0.62
2020-10-31	0.004	3.259	0.0	0.62
2020-11-01	0.003	3.262	0.0	0.62
2020-11-02	0.003	3.265	0.0	0.62
2020-11-03	0.003	3.268	0.0	0.62
2020-11-04	0.002	3.27	0.0	0.62
2020-11-05	0.002	3.272	0.0	0.62
2020-11-06	0.002	3.274	0.0	0.62
2020-11-07	0.001	3.275	0.0	0.62
2020-11-08	0.001	3.276	0.0	0.62
2020-11-09	0.001	3.277	0.0	0.62
2020-11-10	0.001	3.278	0.0	0.62
2020-11-11	0.0	3.278	0.0	0.62
2020-11-12	0.0	3.278	0.0	0.62
2020-11-13	0.0	3.278	0.0	0.62
2020-11-14	0.0	3.278	0.0	0.62
2020-11-15	0.0	3.278	0.0	0.62
2020-11-16	0.0	3.278	0.0	0.62
2020-11-17	0.0	3.278	0.0	0.62
2020-11-18	0.0	3.278	0.0	0.62
2020-11-19	0.0	3.278	0.0	0.62
2020-11-20	0.0	3.278	0.0	0.62
