Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Czech Republic	3.755	2559.199	10219.355	0.0	51.465	284.766	3.5e-07	0.00024085	0.00096176	0.0	4.84e-06	2.68e-05
West Bank And Gaza	0.633	431.196	990.918	0.02	7.829	12.576	1.3e-07	8.624e-05	0.00019818	0.0	1.57e-06	2.52e-06
Poland	16.516	9156.612	21182.417	0.603	410.875	940.838	4.3e-07	0.0002411	0.00055775	2e-08	1.082e-05	2.477e-05
Belarus	18.549	10283.632	20006.883	0.068	59.056	130.909	1.96e-06	0.00108416	0.00210923	1e-08	6.23e-06	1.38e-05
Sweden	24.553	13612.105	32618.996	3.754	2227.541	4632.7	2.41e-06	0.00133673	0.00320322	3.7e-07	0.00021875	0.00045494
Russia	579.52	218708.61	300255.539	6.083	2200.282	2924.854	4.01e-06	0.00151378	0.00207821	4e-08	1.523e-05	2.024e-05
Norway	1.829	1587.505	9307.143	0.006	87.574	304.042	3.4e-07	0.00029872	0.00175133	0.0	1.648e-05	5.721e-05
Luxembourg	1.272	867.304	4692.655	0.0	7.275	94.813	2.09e-06	0.00142713	0.00772164	0.0	1.197e-05	0.00015601
Cyprus	0.0	56.373	905.048	0.0	0.58	13.87	0.0	4.818e-05	0.00077355	0.0	5e-07	1.185e-05
Ukraine	17.082	9470.473	18207.2	0.335	198.741	420.015	3.8e-07	0.00021224	0.00040803	1e-08	4.45e-06	9.41e-06
France	100.372	68416.191	240525.297	22.883	15597.813	40370.611	1.5e-06	0.00102133	0.00359061	3.4e-07	0.00023285	0.00060266
Jersey	0.0	0.0	2.0	0.353	96.67	100.686	0.0	0.0	2.049e-05	3.62e-06	0.0009906	0.00103176
Moldova	2.455	2131.611	5485.459	0.143	97.638	195.69	6.9e-07	0.00060115	0.00154699	4e-08	2.754e-05	5.519e-05
San Marino	0.489	333.274	895.891	0.072	28.346	71.053	1.447e-05	0.00986456	0.02651742	2.13e-06	0.00083901	0.00210309
Georgia	0.574	390.932	888.208	0.024	9.516	15.424	1.5e-07	0.00010478	0.00023806	1e-08	2.55e-06	4.13e-06
Bosnia and Herzegovina	0.768	747.991	2314.627	0.076	39.295	99.49	2.3e-07	0.00022503	0.00069635	2e-08	1.182e-05	2.993e-05
Belgium	40.975	27929.529	75890.271	6.271	5444.704	13027.542	3.59e-06	0.00244523	0.00664418	5.5e-07	0.00047668	0.00114056
Turkey	119.252	87339.701	205767.281	5.256	2913.803	5886.841	1.45e-06	0.00106098	0.00249961	6e-08	3.54e-05	7.151e-05
Netherlands	28.018	20520.147	60350.086	4.26	2903.531	7632.35	1.63e-06	0.00119088	0.00350241	2.5e-07	0.00016851	0.00044294
Estonia	0.888	605.113	2308.988	0.212	82.924	135.841	6.7e-07	0.00045811	0.00174806	1.6e-07	6.278e-05	0.00010284
Spain	139.03	94766.298	325311.136	0.388	6599.049	30482.389	2.98e-06	0.00202823	0.00696244	1e-08	0.00014124	0.0006524
Montenegro	0.004	71.904	406.715	0.005	4.924	10.934	1e-08	0.00011554	0.00065352	1e-08	7.91e-06	1.757e-05
Guernsey	0.0	0.0	1.0	0.005	4.924	5.934	0.0	0.0	1.491e-05	7e-08	7.344e-05	8.85e-05
Croatia	0.0	99.688	2195.926	0.086	58.885	119.772	0.0	2.438e-05	0.00053698	2e-08	1.44e-05	2.929e-05
Azerbaijan	0.0	451.825	2152.416	0.0	13.72	37.632	0.0	4.544e-05	0.00021649	0.0	1.38e-06	3.79e-06
Latvia	0.384	261.725	1088.114	0.032	12.693	24.905	2e-07	0.00013585	0.0005648	2e-08	6.59e-06	1.293e-05
Germany	47.959	46679.342	209396.114	7.294	4971.888	11466.115	5.8e-07	0.00056289	0.00252504	9e-08	5.995e-05	0.00013827
Albania	0.776	430.1	1164.253	0.072	24.884	53.602	2.7e-07	0.00015005	0.00040618	3e-08	8.68e-06	1.87e-05
Slovakia	1.98	1258.805	2808.963	0.21	79.386	101.2	3.6e-07	0.0002311	0.00051569	4e-08	1.457e-05	1.858e-05
Republic of Serbia	10.75	7327.398	15312.122	0.166	113.045	258.946	1.54e-06	0.00104946	0.00219306	2e-08	1.619e-05	3.709e-05
Portugal	15.108	11064.834	35525.603	0.554	539.064	1469.787	1.47e-06	0.00107616	0.00345521	5e-08	5.243e-05	0.00014295
Ireland	0.325	9750.685	30046.421	2.463	1204.628	2178.001	7e-08	0.002009	0.00619066	5.1e-07	0.0002482	0.00044875
Macedonia	1.609	1096.614	2599.359	0.001	27.83	91.242	7.7e-07	0.00052647	0.00124792	0.0	1.336e-05	4.38e-05
Switzerland	0.327	4708.32	34412.339	0.109	677.942	2388.986	4e-08	0.00055284	0.00404065	1e-08	7.96e-05	0.00028051
Vatican	0.484	66.017	75.464	0.109	677.942	839.986	0.00060424	0.08241823	0.09421223	0.00013608	0.84636954	1.04867166
Liechtenstein	1.451	198.041	280.381	0.0	0.0	1.0	3.827e-05	0.00522398	0.00739596	0.0	0.0	2.638e-05
Lithuania	7.348	2532.845	4105.734	2.437	481.446	529.178	2.63e-06	0.00090798	0.00147184	8.7e-07	0.00017259	0.0001897
