Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Czech Republic	9.574	1441.993	11505.993	0.0	0.863	330.863	9e-07	0.00013571	0.00108285	0.0	8e-08	3.114e-05
West Bank And Gaza	0.547	85.864	590.864	0.0	0.0	3.0	1.1e-07	1.717e-05	0.00011817	0.0	0.0	6e-07
Poland	65.755	10324.981	40112.981	1.941	304.718	1560.718	1.73e-06	0.00027186	0.0010562	5e-08	8.02e-06	4.109e-05
Belarus	109.976	18030.735	72710.735	0.854	134.149	446.149	1.159e-05	0.0019009	0.00766555	9e-08	1.414e-05	4.704e-05
Sweden	140.567	22072.055	74455.055	4.737	759.259	5650.259	1.38e-05	0.0021675	0.00731158	4.7e-07	7.456e-05	0.00055486
Russia	1310.899	205839.407	742323.407	24.39	3829.83	10910.83	9.07e-06	0.00142471	0.00513797	1.7e-07	2.651e-05	7.552e-05
Norway	1.433	280.747	8927.747	0.449	38.223	280.223	2.7e-07	5.283e-05	0.00167994	8e-08	7.19e-06	5.273e-05
Luxembourg	0.667	97.659	4169.659	0.0	0.0	110.0	1.1e-06	0.0001607	0.00686106	0.0	0.0	0.000181
Cyprus	0.407	63.924	1048.924	0.036	3.78	21.78	3.5e-07	5.464e-05	0.00089652	3e-08	3.23e-06	1.862e-05
Ukraine	82.276	12919.034	45455.034	2.986	421.119	1332.119	1.84e-06	0.00028952	0.00101866	7e-08	9.44e-06	2.985e-05
France	76.828	10834.828	205139.828	2.745	674.51	30113.51	1.15e-06	0.00016174	0.00306237	4e-08	1.007e-05	0.00044954
Jersey	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.049e-05	0.0	0.0	0.0
