Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
French Guiana	2.49	1529.501	8184.501	0.185	22.149	59.149	N/A	N/A	N/A	N/A	N/A	N/A
France	170.165	10148.275	211429.275	8.973	504.315	30550.315	N/A	N/A	N/A	N/A	N/A	N/A
French Polynesia	0.0	0.0	62.0	8.973	504.315	504.315	N/A	N/A	N/A	N/A	N/A	N/A
New Caledonia	2.774	45.394	67.394	8.973	504.315	504.315	N/A	N/A	N/A	N/A	N/A	N/A
Saint Barthelemy	0.0	0.0	6.0	8.973	504.315	504.315	N/A	N/A	N/A	N/A	N/A	N/A
Mayotte	3.424	204.184	2986.184	0.175	7.012	44.012	N/A	N/A	N/A	N/A	N/A	N/A
Saint Pierre and Miquelon	0.055	3.544	7.544	0.175	7.012	7.012	N/A	N/A	N/A	N/A	N/A	N/A
Reunion	2.123	136.407	764.407	0.0	0.014	3.014	N/A	N/A	N/A	N/A	N/A	N/A
St Martin	3.083	50.439	96.439	0.0	0.0	3.0	N/A	N/A	N/A	N/A	N/A	N/A
Guadeloupe	0.022	9.155	204.155	0.0	0.0	14.0	N/A	N/A	N/A	N/A	N/A	N/A
Martinique	0.0	4.692	266.692	0.0	0.906	15.906	N/A	N/A	N/A	N/A	N/A	N/A
Fench Guiana	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
