Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-26	10.173	1048.173	0.0	30.0
2020-05-27	10.08	1058.253	0.0	30.0
2020-05-28	9.949	1068.202	0.0	30.0
2020-05-29	9.799	1078.001	0.0	30.0
2020-05-30	9.61	1087.611	0.0	30.0
2020-05-31	9.383	1096.994	0.0	30.0
2020-06-01	9.138	1106.132	0.0	30.0
2020-06-02	8.894	1115.026	0.0	30.0
2020-06-03	8.652	1123.678	0.0	30.0
2020-06-04	8.429	1132.107	0.0	30.0
2020-06-05	8.224	1140.331	0.0	30.0
2020-06-06	8.016	1148.347	0.0	30.0
2020-06-07	7.788	1156.135	0.0	30.0
2020-06-08	7.541	1163.676	0.0	30.0
2020-06-09	7.275	1170.951	0.0	30.0
2020-06-10	6.991	1177.942	0.0	30.0
2020-06-11	6.707	1184.649	0.0	30.0
2020-06-12	6.422	1191.071	0.0	30.0
2020-06-13	6.141	1197.212	0.0	30.0
2020-06-14	5.865	1203.077	0.0	30.0
2020-06-15	5.598	1208.675	0.0	30.0
2020-06-16	5.334	1214.009	0.0	30.0
2020-06-17	5.076	1219.085	0.0	30.0
2020-06-18	4.826	1223.911	0.0	30.0
2020-06-19	4.584	1228.495	0.0	30.0
2020-06-20	4.349	1232.844	0.0	30.0
2020-06-21	4.125	1236.969	0.0	30.0
2020-06-22	3.911	1240.88	0.0	30.0
2020-06-23	3.708	1244.588	0.0	30.0
2020-06-24	3.511	1248.099	0.0	30.0
2020-06-25	3.322	1251.421	0.0	30.0
2020-06-26	3.139	1254.56	0.0	30.0
2020-06-27	2.959	1257.519	0.0	30.0
2020-06-28	2.78	1260.299	0.0	30.0
2020-06-29	2.602	1262.901	0.0	30.0
2020-06-30	2.423	1265.324	0.0	30.0
2020-07-01	2.248	1267.572	0.0	30.0
2020-07-02	2.085	1269.657	0.0	30.0
2020-07-03	1.941	1271.598	0.0	30.0
2020-07-04	1.817	1273.415	0.0	30.0
2020-07-05	1.709	1275.124	0.0	30.0
2020-07-06	1.616	1276.74	0.0	30.0
2020-07-07	1.53	1278.27	0.0	30.0
2020-07-08	1.445	1279.715	0.0	30.0
2020-07-09	1.359	1281.074	0.0	30.0
2020-07-10	1.273	1282.347	0.0	30.0
2020-07-11	1.188	1283.535	0.0	30.0
2020-07-12	1.104	1284.639	0.0	30.0
2020-07-13	1.027	1285.666	0.0	30.0
2020-07-14	0.958	1286.624	0.0	30.0
2020-07-15	0.896	1287.52	0.0	30.0
2020-07-16	0.84	1288.36	0.0	30.0
2020-07-17	0.79	1289.15	0.0	30.0
2020-07-18	0.74	1289.89	0.0	30.0
2020-07-19	0.691	1290.581	0.0	30.0
2020-07-20	0.641	1291.222	0.0	30.0
2020-07-21	0.591	1291.813	0.0	30.0
2020-07-22	0.541	1292.354	0.0	30.0
2020-07-23	0.491	1292.845	0.0	30.0
2020-07-24	0.442	1293.287	0.0	30.0
2020-07-25	0.397	1293.684	0.0	30.0
2020-07-26	0.355	1294.039	0.0	30.0
2020-07-27	0.317	1294.356	0.0	30.0
2020-07-28	0.283	1294.639	0.0	30.0
2020-07-29	0.25	1294.889	0.0	30.0
2020-07-30	0.218	1295.107	0.0	30.0
2020-07-31	0.185	1295.292	0.0	30.0
2020-08-01	0.152	1295.444	0.0	30.0
2020-08-02	0.119	1295.563	0.0	30.0
2020-08-03	0.085	1295.648	0.0	30.0
2020-08-04	0.054	1295.702	0.0	30.0
2020-08-05	0.034	1295.736	0.0	30.0
2020-08-06	0.021	1295.757	0.0	30.0
2020-08-07	0.014	1295.771	0.0	30.0
2020-08-08	0.01	1295.781	0.0	30.0
2020-08-09	0.008	1295.789	0.0	30.0
2020-08-10	0.006	1295.795	0.0	30.0
2020-08-11	0.005	1295.8	0.0	30.0
2020-08-12	0.004	1295.804	0.0	30.0
2020-08-13	0.003	1295.807	0.0	30.0
2020-08-14	0.002	1295.809	0.0	30.0
2020-08-15	0.0	1295.809	0.0	30.0
2020-08-16	0.0	1295.809	0.0	30.0
2020-08-17	0.0	1295.809	0.0	30.0
2020-08-18	0.0	1295.809	0.0	30.0
2020-08-19	0.0	1295.809	0.0	30.0
2020-08-20	0.0	1295.809	0.0	30.0
2020-08-21	0.0	1295.809	0.0	30.0
2020-08-22	0.0	1295.809	0.0	30.0
2020-08-23	0.0	1295.809	0.0	30.0
2020-08-24	0.0	1295.809	0.0	30.0
2020-08-25	0.0	1295.809	0.0	30.0
2020-08-26	0.0	1295.809	0.0	30.0
2020-08-27	0.0	1295.809	0.0	30.0
2020-08-28	0.0	1295.809	0.0	30.0
2020-08-29	0.0	1295.809	0.0	30.0
2020-08-30	0.0	1295.809	0.0	30.0
