Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-01	0.0	6.0	18.547	18.547
2020-06-02	0.0	6.0	18.376	36.923
2020-06-03	0.0	6.0	18.137	55.06
2020-06-04	0.0	6.0	17.864	72.924
2020-06-05	0.0	6.0	17.519	90.443
2020-06-06	0.0	6.0	17.106	107.549
2020-06-07	0.0	6.0	16.66	124.209
2020-06-08	0.0	6.0	16.215	140.424
2020-06-09	0.0	6.0	15.773	156.197
2020-06-10	0.0	6.0	15.366	171.563
2020-06-11	0.0	6.0	14.993	186.556
2020-06-12	0.0	6.0	14.614	201.17
2020-06-13	0.0	6.0	14.199	215.369
2020-06-14	0.0	6.0	13.749	229.118
2020-06-15	0.0	6.0	13.264	242.382
2020-06-16	0.0	6.0	12.745	255.127
2020-06-17	0.0	6.0	12.227	267.354
2020-06-18	0.0	6.0	11.708	279.062
2020-06-19	0.0	6.0	11.195	290.257
2020-06-20	0.0	6.0	10.692	300.949
2020-06-21	0.0	6.0	10.205	311.154
2020-06-22	0.0	6.0	9.724	320.878
2020-06-23	0.0	6.0	9.254	330.132
2020-06-24	0.0	6.0	8.797	338.929
2020-06-25	0.0	6.0	8.357	347.286
2020-06-26	0.0	6.0	7.928	355.214
2020-06-27	0.0	6.0	7.52	362.734
2020-06-28	0.0	6.0	7.13	369.864
2020-06-29	0.0	6.0	6.759	376.623
2020-06-30	0.0	6.0	6.401	383.024
2020-07-01	0.0	6.0	6.057	389.081
2020-07-02	0.0	6.0	5.722	394.803
2020-07-03	0.0	6.0	5.394	400.197
2020-07-04	0.0	6.0	5.069	405.266
2020-07-05	0.0	6.0	4.743	410.009
2020-07-06	0.0	6.0	4.417	414.426
2020-07-07	0.0	6.0	4.097	418.523
2020-07-08	0.0	6.0	3.801	422.324
2020-07-09	0.0	6.0	3.539	425.863
2020-07-10	0.0	6.0	3.312	429.175
2020-07-11	0.0	6.0	3.116	432.291
2020-07-12	0.0	6.0	2.947	435.238
2020-07-13	0.0	6.0	2.79	438.028
2020-07-14	0.0	6.0	2.634	440.662
2020-07-15	0.0	6.0	2.478	443.14
2020-07-16	0.0	6.0	2.322	445.462
2020-07-17	0.0	6.0	2.165	447.627
2020-07-18	0.0	6.0	2.012	449.639
2020-07-19	0.0	6.0	1.872	451.511
2020-07-20	0.0	6.0	1.746	453.257
2020-07-21	0.0	6.0	1.633	454.89
2020-07-22	0.0	6.0	1.532	456.422
2020-07-23	0.0	6.0	1.44	457.862
2020-07-24	0.0	6.0	1.35	459.212
2020-07-25	0.0	6.0	1.259	460.471
2020-07-26	0.0	6.0	1.168	461.639
2020-07-27	0.0	6.0	1.077	462.716
2020-07-28	0.0	6.0	0.986	463.702
2020-07-29	0.0	6.0	0.895	464.597
2020-07-30	0.0	6.0	0.806	465.403
2020-07-31	0.0	6.0	0.723	466.126
2020-08-01	0.0	6.0	0.648	466.774
2020-08-02	0.0	6.0	0.579	467.353
2020-08-03	0.0	6.0	0.515	467.868
2020-08-04	0.0	6.0	0.456	468.324
2020-08-05	0.0	6.0	0.397	468.721
2020-08-06	0.0	6.0	0.338	469.059
2020-08-07	0.0	6.0	0.278	469.337
2020-08-08	0.0	6.0	0.217	469.554
2020-08-09	0.0	6.0	0.154	469.708
2020-08-10	0.0	6.0	0.099	469.807
2020-08-11	0.0	6.0	0.061	469.868
2020-08-12	0.0	6.0	0.039	469.907
2020-08-13	0.0	6.0	0.025	469.932
2020-08-14	0.0	6.0	0.018	469.95
2020-08-15	0.0	6.0	0.014	469.964
2020-08-16	0.0	6.0	0.011	469.975
2020-08-17	0.0	6.0	0.009	469.984
2020-08-18	0.0	6.0	0.007	469.991
2020-08-19	0.0	6.0	0.005	469.996
2020-08-20	0.0	6.0	0.004	470.0
2020-08-21	0.0	6.0	0.0	470.0
2020-08-22	0.0	6.0	0.0	470.0
2020-08-23	0.0	6.0	0.0	470.0
2020-08-24	0.0	6.0	0.0	470.0
2020-08-25	0.0	6.0	0.0	470.0
2020-08-26	0.0	6.0	0.0	470.0
2020-08-27	0.0	6.0	0.0	470.0
2020-08-28	0.0	6.0	0.0	470.0
2020-08-29	0.0	6.0	0.0	470.0
2020-08-30	0.0	6.0	0.0	470.0
