Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-17	2.587	1554.587	0.0	28.0
2020-06-18	3.006	1557.593	0.0	28.0
2020-06-19	3.463	1561.056	0.0	28.0
2020-06-20	3.963	1565.019	0.0	28.0
2020-06-21	4.495	1569.514	0.0	28.0
2020-06-22	5.043	1574.557	0.0	28.0
2020-06-23	5.596	1580.153	0.0	28.0
2020-06-24	6.147	1586.3	0.0	28.0
2020-06-25	6.703	1593.003	0.0	28.0
2020-06-26	7.281	1600.284	0.0	28.0
2020-06-27	7.919	1608.203	0.0	28.0
2020-06-28	8.555	1616.758	0.0	28.0
2020-06-29	9.17	1625.928	0.0	28.0
2020-06-30	9.693	1635.621	0.0	28.0
2020-07-01	10.098	1645.719	0.0	28.0
2020-07-02	10.332	1656.051	0.0	28.0
2020-07-03	10.465	1666.516	0.0	28.0
2020-07-04	10.502	1677.018	0.0	28.0
2020-07-05	10.482	1687.5	0.0	28.0
2020-07-06	10.386	1697.886	0.0	28.0
2020-07-07	10.251	1708.137	0.0	28.0
2020-07-08	10.096	1718.233	0.0	28.0
2020-07-09	9.902	1728.135	0.0	28.0
2020-07-10	9.668	1737.803	0.0	28.0
2020-07-11	9.416	1747.219	0.0	28.0
2020-07-12	9.164	1756.383	0.0	28.0
2020-07-13	8.915	1765.298	0.0	28.0
2020-07-14	8.685	1773.983	0.0	28.0
2020-07-15	8.474	1782.457	0.0	28.0
2020-07-16	8.259	1790.716	0.0	28.0
2020-07-17	8.025	1798.741	0.0	28.0
2020-07-18	7.77	1806.511	0.0	28.0
2020-07-19	7.496	1814.007	0.0	28.0
2020-07-20	7.203	1821.21	0.0	28.0
2020-07-21	6.91	1828.12	0.0	28.0
2020-07-22	6.617	1834.737	0.0	28.0
2020-07-23	6.327	1841.064	0.0	28.0
2020-07-24	6.043	1847.107	0.0	28.0
2020-07-25	5.768	1852.875	0.0	28.0
2020-07-26	5.496	1858.371	0.0	28.0
2020-07-27	5.23	1863.601	0.0	28.0
2020-07-28	4.972	1868.573	0.0	28.0
2020-07-29	4.723	1873.296	0.0	28.0
2020-07-30	4.481	1877.777	0.0	28.0
2020-07-31	4.25	1882.027	0.0	28.0
2020-08-01	4.03	1886.057	0.0	28.0
2020-08-02	3.82	1889.877	0.0	28.0
2020-08-03	3.618	1893.495	0.0	28.0
2020-08-04	3.423	1896.918	0.0	28.0
2020-08-05	3.234	1900.152	0.0	28.0
2020-08-06	3.049	1903.201	0.0	28.0
2020-08-07	2.865	1906.066	0.0	28.0
2020-08-08	2.681	1908.747	0.0	28.0
2020-08-09	2.497	1911.244	0.0	28.0
2020-08-10	2.316	1913.56	0.0	28.0
2020-08-11	2.148	1915.708	0.0	28.0
2020-08-12	2.0	1917.708	0.0	28.0
2020-08-13	1.872	1919.58	0.0	28.0
2020-08-14	1.761	1921.341	0.0	28.0
2020-08-15	1.666	1923.007	0.0	28.0
2020-08-16	1.577	1924.584	0.0	28.0
2020-08-17	1.488	1926.072	0.0	28.0
2020-08-18	1.4	1927.472	0.0	28.0
2020-08-19	1.312	1928.784	0.0	28.0
2020-08-20	1.224	1930.008	0.0	28.0
2020-08-21	1.137	1931.145	0.0	28.0
2020-08-22	1.058	1932.203	0.0	28.0
2020-08-23	0.987	1933.19	0.0	28.0
2020-08-24	0.923	1934.113	0.0	28.0
2020-08-25	0.866	1934.979	0.0	28.0
2020-08-26	0.814	1935.793	0.0	28.0
2020-08-27	0.763	1936.556	0.0	28.0
2020-08-28	0.711	1937.267	0.0	28.0
2020-08-29	0.66	1937.927	0.0	28.0
2020-08-30	0.609	1938.536	0.0	28.0
2020-08-31	0.557	1939.093	0.0	28.0
2020-09-01	0.506	1939.599	0.0	28.0
2020-09-02	0.456	1940.055	0.0	28.0
2020-09-03	0.409	1940.464	0.0	28.0
2020-09-04	0.366	1940.83	0.0	28.0
2020-09-05	0.327	1941.157	0.0	28.0
2020-09-06	0.291	1941.448	0.0	28.0
2020-09-07	0.258	1941.706	0.0	28.0
2020-09-08	0.224	1941.93	0.0	28.0
2020-09-09	0.191	1942.121	0.0	28.0
2020-09-10	0.157	1942.278	0.0	28.0
2020-09-11	0.123	1942.401	0.0	28.0
2020-09-12	0.087	1942.488	0.0	28.0
2020-09-13	0.056	1942.544	0.0	28.0
2020-09-14	0.035	1942.579	0.0	28.0
2020-09-15	0.022	1942.601	0.0	28.0
2020-09-16	0.014	1942.615	0.0	28.0
2020-09-17	0.01	1942.625	0.0	28.0
2020-09-18	0.008	1942.633	0.0	28.0
2020-09-19	0.006	1942.639	0.0	28.0
2020-09-20	0.005	1942.644	0.0	28.0
2020-09-21	0.004	1942.648	0.0	28.0
2020-09-22	0.003	1942.651	0.0	28.0
2020-09-23	0.002	1942.653	0.0	28.0
2020-09-24	0.0	1942.653	0.0	28.0
2020-09-25	0.0	1942.653	0.0	28.0
2020-09-26	0.0	1942.653	0.0	28.0
2020-09-27	0.0	1942.653	0.0	28.0
2020-09-28	0.0	1942.653	0.0	28.0
2020-09-29	0.0	1942.653	0.0	28.0
2020-09-30	0.0	1942.653	0.0	28.0
2020-10-01	0.0	1942.653	0.0	28.0
2020-10-02	0.0	1942.653	0.0	28.0
