Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Channel Islands	5.687	28.726	534.473	1.353	6.096	31.905	N/A	N/A	N/A	N/A	N/A	N/A
Cayman Islands	1.801	7.391	75.298	0.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
Bermuda	4.799	19.693	110.773	0.0	0.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
Gibraltar	0.234	1.434	134.056	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Falkland Islands (Malvinas)	0.0	0.0	11.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Turks and Caicos Islands	0.332	1.361	12.712	0.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
British Virgin Islands	0.299	0.93	6.068	0.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
United Kingdom	4588.997	19103.089	153202.645	722.949	3000.681	21124.739	N/A	N/A	N/A	N/A	N/A	N/A
Montserrat	0.196	0.847	12.087	722.949	3000.681	3787.739	N/A	N/A	N/A	N/A	N/A	N/A
Isle of Man	8.527	37.804	355.866	0.53	2.32	11.987	N/A	N/A	N/A	N/A	N/A	N/A
Falkland Islands (Islas Malvinas)	0.0	0.0	2.0	0.53	2.32	2.987	N/A	N/A	N/A	N/A	N/A	N/A
Anguilla	0.0	0.0	3.0	0.53	2.32	2.987	N/A	N/A	N/A	N/A	N/A	N/A
