Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Czech Republic	214.399	1786.348	2.018e-05	0.00016812
West Bank And Gaza	11.569	99.505	2.31e-06	1.99e-05
Poland	244.483	2037.004	6.44e-06	5.364e-05
Belarus	41.352	344.537	4.36e-06	3.632e-05
Sweden	379.308	3160.355	3.725e-05	0.00031035
Russia	423.385	3527.596	2.93e-06	2.442e-05
Norway	159.672	1336.837	3.005e-05	0.00025155
Luxembourg	98.379	818.2	0.00016188	0.00134633
Cyprus	28.077	233.936	2.4e-05	0.00019994
Ukraine	98.942	824.374	2.22e-06	1.847e-05
France	5040.608	41997.812	7.525e-05	0.00062695
Moldova	57.037	474.365	1.609e-05	0.00013378
San Marino	3.793	31.6	0.00011226	0.00093534
Georgia	9.132	76.087	2.45e-06	2.039e-05
Bosnia and Herzegovina	37.577	313.09	1.131e-05	9.419e-05
Belgium	1047.415	8726.95	9.17e-05	0.00076404
Turkey	1957.316	16308.151	2.378e-05	0.00019811
Netherlands	824.197	6867.123	4.783e-05	0.00039853
Estonia	45.586	379.819	3.451e-05	0.00028755
Spain	5751.779	47923.21	0.0001231	0.00102567
Montenegro	13.864	115.511	2.228e-05	0.00018561
Croatia	42.085	361.27	1.029e-05	8.834e-05
Azerbaijan	38.921	324.288	3.91e-06	3.262e-05
Latvia	15.6	135.266	8.1e-06	7.021e-05
Germany	4455.647	37123.974	5.373e-05	0.00044767
Albania	15.594	129.93	5.44e-06	4.533e-05
Slovakia	21.136	176.104	3.88e-06	3.233e-05
Republic of Serbia	120.004	999.864	1.719e-05	0.0001432
Portugal	613.37	5110.535	5.966e-05	0.00049705
Ireland	263.557	2195.927	5.43e-05	0.00045244
Macedonia	28.648	238.691	1.375e-05	0.00011459
Switzerland	681.03	5661.827	7.997e-05	0.0006648
Vatican	0.048	0.542	5.98e-05	0.00067713
Liechtenstein	1.767	14.726	4.662e-05	0.00038846
Lithuania	41.886	348.986	1.502e-05	0.00012511
Kosovo	3.513	29.569	1.9e-06	1.602e-05
United Kingdom	3103.618	25859.015	4.668e-05	0.00038892
Slovenia	30.293	252.479	1.465e-05	0.00012213
Hungary	36.767	306.341	3.76e-06	3.136e-05
Monaco	2.909	24.237	7.52e-05	0.00062658
Bulgaria	21.523	179.325	3.06e-06	2.553e-05
Romania	229.606	1913.057	1.179e-05	9.824e-05
Italy	3478.162	28916.119	5.756e-05	0.0004785
Denmark	224.617	1871.485	3.874e-05	0.00032281
Andorra	18.04	150.038	0.00023427	0.0019484
Austria	117.427	1240.579	1.327e-05	0.00014023
Finland	69.981	583.075	1.268e-05	0.00010567
Malta	8.616	71.791	1.782e-05	0.00014847
Greece	65.047	541.964	6.06e-06	5.052e-05
Armenia	45.144	376.138	1.529e-05	0.00012743
Israel	485.688	4046.703	5.467e-05	0.00045551
Iceland	54.976	458.054	0.00015549	0.0012955
Honduras	19.608	163.371	2.05e-06	1.704e-05
Haiti	0.884	7.363	8e-08	6.6e-07
Saint Vincent and the Grenadines	0.479	3.988	4.34e-06	3.619e-05
Guatemala	2.909	24.237	1.7e-07	1.41e-06
Dominican Republic	96.604	804.892	9.09e-06	7.574e-05
Dominica	0.442	3.682	6.17e-06	5.14e-05
The Bahamas	1.915	15.954	4.97e-06	4.137e-05
Jamaica	2.817	23.47	9.6e-07	8e-06
Nicaragua	0.166	1.381	3e-08	2.1e-07
Mexico	18.18	159.196	1.4e-07	1.26e-06
El Salvador	4.308	35.896	6.7e-07	5.59e-06
Saint Lucia	0.0	0.19	0.0	1.04e-06
Panama	97.193	809.801	2.327e-05	0.00019388
Costa Rica	15.9	132.183	3.18e-06	2.644e-05
United States of America	22141.529	184480.872	6.768e-05	0.00056387
Cuba	20.621	171.808	1.82e-06	1.515e-05
Saint Kitts and Nevis	24.889	198.444	0.00047461	0.00378415
Trinidad and Tobago	2.198	19.058	1.58e-06	1.371e-05
Antigua and Barbuda	0.957	7.977	9.94e-06	8.284e-05
Canada	978.631	8153.846	2.641e-05	0.00022002
Paraguay	4.805	40.037	6.9e-07	5.76e-06
Guyana	2.154	17.948	2.77e-06	2.304e-05
Brazil	143.972	1255.657	6.9e-07	5.99e-06
Ecuador	207.126	1725.755	1.212e-05	0.00010101
Uruguay	9.319	80.307	2.7e-06	2.328e-05
Venezuela	2.486	22.409	9e-08	7.8e-07
Argentina	80.899	674.041	1.82e-06	1.515e-05
Belize	3.32	21.08	8.67e-06	5.503e-05
Bolivia	7.86	65.347	6.9e-07	5.76e-06
Colombia	9.112	80.691	1.8e-07	1.63e-06
Suriname	0.166	1.381	2.9e-07	2.4e-06
Peru	132.763	1106.17	4.15e-06	3.458e-05
Grenada	0.442	3.682	3.96e-06	3.303e-05
Barbados	3.019	25.158	1.053e-05	8.777e-05
Chile	264.422	2203.137	1.412e-05	0.00011763
Aruba	4.487	667.216	4.239e-05	0.00630371
Fiji	0.884	7.363	1e-06	8.33e-06
New Zealand	59.063	492.109	1.209e-05	0.00010073
Australia	57.833	654.861	2.31e-06	2.62e-05
Papua New Guinea	0.0	0.0	0.0	0.0
Kenya	12.317	102.625	2.4e-07	2e-06
Botswana	10.044	52.444	4.46e-06	2.327e-05
Benin	1.547	12.886	1.3e-07	1.12e-06
Tunisia	31.152	259.553	2.69e-06	2.244e-05
Mauritius	12.759	106.306	1.008e-05	8.402e-05
Namibia	0.486	4.154	2e-07	1.7e-06
Zambia	0.0	0.2	0.0	1e-08
Republic of the Congo	1.451	12.411	2.8e-07	2.37e-06
Ghana	6.133	52.149	2.1e-07	1.75e-06
Gabon	1.326	11.045	6.3e-07	5.21e-06
Malawi	0.8	4.267	4e-08	2.4e-07
Libya	0.944	8.316	1.4e-07	1.25e-06
Morocco	54.994	458.207	1.53e-06	1.272e-05
Seychelles	0.008	0.114	9e-08	1.18e-06
Guinea-Bissau	-0.022	0.889	-1e-08	4.7e-07
Liberia	0.829	6.903	1.7e-07	1.43e-06
Zimbabwe	0.221	1.841	2e-08	1.3e-07
Swaziland	0.0	0.0	0.0	0.0
Sudan	0.644	5.369	2e-08	1.3e-07
Democratic Republic of the Congo	9.463	78.848	1.1e-07	9.4e-07
Mali	12.911	100.044	6.8e-07	5.24e-06
Nigeria	13.587	113.21	7e-08	5.8e-07
Somalia	0.442	3.682	3e-08	2.5e-07
Algeria	99.329	827.595	2.35e-06	1.96e-05
United Republic of Tanzania	0.318	2.971	1e-08	5e-08
Burkina Faso	12.659	105.24	6.4e-07	5.33e-06
Mozambique	0.11	0.92	0.0	3e-08
Angola	0.608	5.062	2e-08	1.6e-07
Senegal	4.438	41.848	2.8e-07	2.64e-06
Ethiopia	2.357	19.635	2e-08	1.8e-07
Togo	2.136	17.794	2.7e-07	2.26e-06
Uganda	0.064	0.875	0.0	2e-08
Chad	0.014	0.19	0.0	1e-08
Niger	20.768	173.036	9.3e-07	7.71e-06
Equatorial Guinea	0.497	4.142	3.8e-07	3.16e-06
Gambia	0.0	0.0	0.0	0.0
Guinea	10.273	85.597	8.3e-07	6.9e-06
South Africa	40.376	335.667	7e-07	5.81e-06
Ivory Coast	1.156	10.198	5e-08	4.1e-07
Cameroon	54.7	455.753	2.17e-06	1.807e-05
Central African Republic	0.552	4.602	1.2e-07	9.9e-07
Madagascar	1.889	17.915	7e-08	6.8e-07
Sierra Leone	4.2	39.2	5.5e-07	5.12e-06
Mauritania	0.0	0.048	0.0	1e-08
Cape Verde	0.11	0.92	2e-07	1.69e-06
Rwanda	4.161	34.669	3.4e-07	2.82e-06
Egypt	59.652	497.017	6.1e-07	5.05e-06
Eritrea	2.154	17.948	4.8e-07	4.01e-06
Djibouti	5.082	42.338	5.3e-06	4.415e-05
Burundi	6.133	43.333	5.5e-07	3.88e-06
Bhutan	0.055	0.583	7e-08	7.7e-07
Afghanistan	23.898	199.114	6.4e-07	5.36e-06
Syria	1.16	9.664	7e-08	5.7e-07
Kyrgyzstan	8.506	70.871	1.35e-06	1.122e-05
South Korea	54.244	469.847	1.05e-06	9.1e-06
Brunei	0.0	0.0	0.0	0.0
Nepal	0.331	2.761	1e-08	1e-07
Kuwait	27.341	227.8	6.61e-06	5.506e-05
Malaysia	135.415	1126.224	4.28e-06	3.562e-05
Indonesia	112.401	936.51	4.2e-07	3.5e-06
Iraq	43.892	365.707	1.14e-06	9.52e-06
East Timor	0.0	0.0	0.0	0.0
Uzbekistan	17.454	145.424	5.3e-07	4.41e-06
Myanmar	0.0	126.4	0.0	2.35e-06
Qatar	81.028	675.115	2.913e-05	0.0002427
Sri Lanka	5.892	49.088	2.7e-07	2.27e-06
Laos	0.331	2.761	5e-08	3.9e-07
Bahrain	25.868	215.528	1.648e-05	0.00013733
Mongolia	0.276	2.301	9e-08	7.3e-07
Taiwan	4.948	43.577	2.1e-07	1.83e-06
Oman	14.619	121.8	3.03e-06	2.522e-05
Japan	152.795	1273.07	1.21e-06	1.006e-05
United Arab Emirates	120.152	1001.091	1.248e-05	0.00010395
China	21.984	222.081	2e-08	1.6e-07
Maldives	0.0	0.0	0.0	0.0
Singapore	47.409	395.006	8.41e-06	7.005e-05
India	270.737	2255.753	2e-07	1.67e-06
Saudi Arabia	119.507	995.722	3.55e-06	2.955e-05
Philippines	181.832	1539.556	1.7e-06	1.444e-05
Thailand	65.928	569.266	9.5e-07	8.2e-06
Iran	2150.001	17874.292	2.628e-05	0.00021851
Vietnam	0.343	6.041	0.0	6e-08
Kazakhstan	34.668	288.853	1.9e-06	1.58e-05
Bangladesh	2.578	21.476	2e-08	1.3e-07
Pakistan	170.948	1424.323	8.1e-07	6.71e-06
Cambodia	0.067	1.182	0.0	7e-08
Jordan	8.893	74.092	8.9e-07	7.44e-06
Lebanon	6.662	60.042	9.7e-07	8.77e-06
