Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Czech Republic	123.078	4823.916	8470.958	8.306	264.654	275.327	1.158e-05	0.00045399	0.00079721	7.8e-07	2.491e-05	2.591e-05
West Bank And Gaza	2.443	97.632	356.816	0.086	3.098	3.549	4.9e-07	1.953e-05	7.136e-05	2e-08	6.2e-07	7.1e-07
Poland	286.354	9436.286	11652.143	17.447	531.63	510.815	7.54e-06	0.00024846	0.00030681	4.6e-07	1.4e-05	1.345e-05
Belarus	1587.576	20872.692	13355.346	0.0	0.0	29.0	0.00016737	0.00220051	0.00140799	0.0	0.0	3.06e-06
Sweden	420.833	13581.44	17738.72	72.813	2218.688	2028.344	4.133e-05	0.00133371	0.00174196	7.15e-06	0.00021788	0.00019919
Russia	2931.693	59090.502	47873.251	8.097	246.73	271.365	2.029e-05	0.00040899	0.00033135	6e-08	1.71e-06	1.88e-06
Norway	14.039	2007.016	7606.508	6.743	217.63	242.815	2.64e-06	0.00037766	0.00143132	1.27e-06	4.095e-05	4.569e-05
Luxembourg	12.114	1267.828	3925.914	5.914	147.682	142.841	1.993e-05	0.00208618	0.00645999	9.73e-06	0.00024301	0.00023504
Cyprus	18.864	664.242	994.121	0.036	1.086	12.543	1.612e-05	0.00056773	0.00084968	3e-08	9.3e-07	1.072e-05
Ukraine	136.703	4355.838	5279.919	8.355	218.346	202.173	3.06e-06	9.762e-05	0.00011832	1.9e-07	4.89e-06	4.53e-06
France	5420.462	180661.562	228205.781	698.334	23275.164	26623.582	8.092e-05	0.00269695	0.00340671	1.042e-05	0.00034746	0.00039744
Jersey	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.049e-05	0.0	0.0	0.0
Moldova	89.128	2906.374	3165.187	5.469	129.88	99.94	2.514e-05	0.00081965	0.00089264	1.54e-06	3.663e-05	2.818e-05
San Marino	83.696	1138.866	925.433	0.0	3.908	36.954	0.00247731	0.03370922	0.02739183	0.0	0.00011567	0.0010938
Georgia	8.226	281.678	412.839	0.0	0.0	3.0	2.2e-06	7.55e-05	0.00011065	0.0	0.0	8e-07
Bosnia and Herzegovina	35.315	1177.044	1625.522	3.997	104.448	91.224	1.062e-05	0.00035411	0.00048904	1.2e-06	3.142e-05	2.744e-05
Belgium	1046.728	34493.03	47835.515	537.197	12093.168	9949.584	9.164e-05	0.00301986	0.00418799	4.703e-05	0.00105875	0.00087108
Turkey	3709.822	113041.486	117569.743	70.413	2243.62	2417.81	4.507e-05	0.0013732	0.00142821	8.6e-07	2.725e-05	2.937e-05
Netherlands	799.413	26343.2	39881.6	109.87	3661.918	4663.959	4.639e-05	0.00152882	0.00231452	6.38e-06	0.00021252	0.00027067
Estonia	6.017	629.718	1646.859	0.248	12.284	34.142	4.56e-06	0.00047674	0.00124679	1.9e-07	9.3e-06	2.585e-05
Spain	2433.382	108626.108	224412.054	371.211	14745.13	25128.565	5.208e-05	0.00232486	0.00480295	7.94e-06	0.00031558	0.00053781
Montenegro	0.818	164.932	356.466	0.006	0.328	3.164	1.31e-06	0.00026502	0.00057278	1e-08	5.3e-07	5.08e-06
Guernsey	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.491e-05	0.0	0.0	0.0
Croatia	42.653	1421.59	2360.795	2.423	63.334	56.667	1.043e-05	0.00034763	0.0005773	5.9e-07	1.549e-05	1.386e-05
Azerbaijan	69.033	2158.496	2227.248	1.713	34.536	29.268	6.94e-06	0.0002171	0.00022402	1.7e-07	3.47e-06	2.94e-06
Latvia	8.962	360.234	835.117	0.0	0.0	5.0	4.65e-06	0.00018698	0.00043348	0.0	0.0	2.6e-06
Germany	2295.939	92290.76	176217.38	170.011	5486.714	5937.357	2.769e-05	0.0011129	0.00212495	2.05e-06	6.616e-05	7.16e-05
Albania	6.78	303.522	618.761	0.319	13.942	29.971	2.37e-06	0.00010589	0.00021587	1.1e-07	4.86e-06	1.046e-05
Slovakia	34.121	1087.222	1312.611	0.0	0.0	2.0	6.26e-06	0.0001996	0.00024098	0.0	0.0	3.7e-07
Republic of Serbia	189.285	6172.382	7140.191	2.418	96.608	133.304	2.711e-05	0.00088403	0.00102264	3.5e-07	1.384e-05	1.909e-05
Portugal	548.938	18295.864	26081.932	23.172	747.814	908.907	5.339e-05	0.00177945	0.00253672	2.25e-06	7.273e-05	8.84e-05
Ireland	499.122	15208.688	18251.344	22.315	697.728	713.864	0.00010284	0.00313355	0.00376045	4.6e-06	0.00014376	0.00014708
Macedonia	26.753	916.04	1312.02	3.229	91.846	83.923	1.284e-05	0.00043978	0.00062988	1.55e-06	4.409e-05	4.029e-05
Switzerland	372.298	14788.292	33082.146	42.109	1403.468	1839.734	4.371e-05	0.00173642	0.00388446	4.94e-06	0.00016479	0.00021602
Vatican	0.125	4.176	10.088	42.109	1403.468	701.734	0.00015605	0.00521348	0.01259426	0.05257054	1.75214482	0.87607241
Liechtenstein	0.0	3.068	80.534	0.0	0.0	1.0	0.0	8.093e-05	0.00212435	0.0	0.0	2.638e-05
Lithuania	17.261	772.776	1448.388	0.591	25.78	36.89	6.19e-06	0.00027703	0.00051922	2.1e-07	9.24e-06	1.322e-05
Kosovo	103.288	1405.466	985.733	0.0	4.742	9.371	5.597e-05	0.00076165	0.00053419	0.0	2.57e-06	5.08e-06
United Kingdom	4204.903	133983.266	156561.633	690.59	21593.008	22143.504	6.324e-05	0.00201512	0.0023547	1.039e-05	0.00032476	0.00033304
Slovenia	17.069	673.854	1548.927	3.066	98.93	104.465	8.26e-06	0.00032595	0.00074923	1.48e-06	4.785e-05	5.053e-05
Hungary	122.509	3059.106	2987.553	21.391	407.69	312.845	1.254e-05	0.00031315	0.00030583	2.19e-06	4.173e-05	3.202e-05
Monaco	2.37	82.292	134.146	0.0	0.0	1.0	6.127e-05	0.0021274	0.00346792	0.0	0.0	2.585e-05
Bulgaria	11.813	469.246	919.623	1.07	38.21	51.105	1.68e-06	6.68e-05	0.00013092	1.5e-07	5.44e-06	7.28e-06
