Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Prince Edward Island	0.0	0.0	36.0	11.615	520.389	520.389	0.0	0.0	0.00023264	7.506e-05	0.00336282	0.00336282
Newfoundland and Labrador	0.297	13.312	13.939	0.003	0.122	1.672	5.7e-07	2.541e-05	2.661e-05	1e-08	2.3e-07	3.19e-06
New Brunswick	0.0	2.605	2.856	0.002	0.102	0.892	0.0	3.37e-06	3.7e-06	0.0	1.3e-07	1.16e-06
Yukon	0.044	1.968	2.077	0.002	0.102	0.102	1.09e-06	4.875e-05	5.145e-05	5e-08	2.53e-06	2.53e-06
Saskatchewan	11.865	531.616	560.951	0.129	4.912	86.051	1.015e-05	0.00045499	0.00048009	1.1e-07	4.2e-06	7.365e-05
British Columbia	4.569	221.314	251.584	0.022	0.973	92.403	9.1e-07	4.408e-05	5.011e-05	0.0	1.9e-07	1.841e-05
Manitoba	1.886	84.482	91.953	0.048	1.56	23.342	1.39e-06	6.21e-05	6.759e-05	4e-08	1.15e-06	1.716e-05
Northwest Territories	0.0	0.0	5.0	0.048	1.56	1.56	0.0	0.0	0.00011211	1.08e-06	3.498e-05	3.498e-05
Ontario	8.2	367.409	518.155	2.59	142.384	591.644	5.7e-07	2.543e-05	3.587e-05	1.8e-07	9.86e-06	4.095e-05
Nova Scotia	2.027	90.826	90.828	0.12	5.362	5.371	2.09e-06	9.35e-05	9.35e-05	1.2e-07	5.52e-06	5.53e-06
Quebec	45.237	2026.783	2181.387	0.0	100.881	567.857	5.36e-06	0.00024033	0.00025866	0.0	1.196e-05	6.734e-05
Alberta	25.6	1195.354	1321.881	1.295	49.345	426.427	5.89e-06	0.00027506	0.00030418	3e-07	1.135e-05	9.813e-05
