Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Prince Edward Island	0.0	0.0	27.0	0.572	928.04	928.04	0.0	0.0	0.00017448	3.7e-06	0.0059971	0.0059971
Newfoundland and Labrador	0.0	0.0	261.0	0.0	0.0	3.0	0.0	0.0	0.00049829	0.0	0.0	5.73e-06
Yukon	0.0	0.0	11.0	0.0	0.014	0.014	0.0	0.0	0.00027249	0.0	3.5e-07	3.5e-07
Saskatchewan	0.283	287.239	1046.239	0.0	0.0	13.0	2.4e-07	0.00024583	0.00089543	0.0	0.0	1.113e-05
British Columbia	0.0	164.793	3033.793	0.003	3.596	176.596	0.0	3.283e-05	0.0006043	0.0	7.2e-07	3.518e-05
Manitoba	0.031	38.345	354.345	0.0	0.0	7.0	2e-08	2.819e-05	0.00026047	0.0	0.0	5.15e-06
Northwest Territories	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.00011211	0.0	0.0	0.0
Ontario	4.403	5407.214	41453.214	0.853	529.816	3232.816	3e-07	0.00037429	0.00286943	6e-08	3.667e-05	0.00022378
Nova Scotia	0.0	0.0	1061.0	0.361	68.081	131.081	0.0	0.0	0.00109224	3.7e-07	7.009e-05	0.00013494
Quebec	0.639	2558.164	57637.164	0.013	492.245	5940.245	8e-08	0.00030334	0.00683447	0.0	5.837e-05	0.00070438
Alberta	0.882	1083.262	8934.262	0.005	7.082	161.082	2e-07	0.00024927	0.00205587	0.0	1.63e-06	3.707e-05
