Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-29	8.124	786.124	0.0	13.0
2020-06-30	7.919	794.043	0.0	13.0
2020-07-01	7.694	801.737	0.0	13.0
2020-07-02	7.45	809.187	0.0	13.0
2020-07-03	7.187	816.374	0.0	13.0
2020-07-04	6.906	823.28	0.0	13.0
2020-07-05	6.625	829.905	0.0	13.0
2020-07-06	6.344	836.249	0.0	13.0
2020-07-07	6.066	842.315	0.0	13.0
2020-07-08	5.794	848.109	0.0	13.0
2020-07-09	5.53	853.639	0.0	13.0
2020-07-10	5.269	858.908	0.0	13.0
2020-07-11	5.015	863.923	0.0	13.0
2020-07-12	4.767	868.69	0.0	13.0
2020-07-13	4.528	873.218	0.0	13.0
2020-07-14	4.296	877.514	0.0	13.0
2020-07-15	4.075	881.589	0.0	13.0
2020-07-16	3.864	885.453	0.0	13.0
2020-07-17	3.663	889.116	0.0	13.0
2020-07-18	3.469	892.585	0.0	13.0
2020-07-19	3.282	895.867	0.0	13.0
2020-07-20	3.101	898.968	0.0	13.0
2020-07-21	2.923	901.891	0.0	13.0
2020-07-22	2.747	904.638	0.0	13.0
2020-07-23	2.57	907.208	0.0	13.0
2020-07-24	2.394	909.602	0.0	13.0
2020-07-25	2.22	911.822	0.0	13.0
2020-07-26	2.06	913.882	0.0	13.0
2020-07-27	1.918	915.8	0.0	13.0
2020-07-28	1.795	917.595	0.0	13.0
2020-07-29	1.689	919.284	0.0	13.0
2020-07-30	1.597	920.881	0.0	13.0
2020-07-31	1.512	922.393	0.0	13.0
2020-08-01	1.427	923.82	0.0	13.0
2020-08-02	1.343	925.163	0.0	13.0
2020-08-03	1.258	926.421	0.0	13.0
2020-08-04	1.173	927.594	0.0	13.0
2020-08-05	1.09	928.684	0.0	13.0
2020-08-06	1.014	929.698	0.0	13.0
2020-08-07	0.946	930.644	0.0	13.0
2020-08-08	0.885	931.529	0.0	13.0
2020-08-09	0.83	932.359	0.0	13.0
2020-08-10	0.781	933.14	0.0	13.0
2020-08-11	0.731	933.871	0.0	13.0
2020-08-12	0.682	934.553	0.0	13.0
2020-08-13	0.633	935.186	0.0	13.0
2020-08-14	0.584	935.77	0.0	13.0
2020-08-15	0.534	936.304	0.0	13.0
2020-08-16	0.485	936.789	0.0	13.0
2020-08-17	0.437	937.226	0.0	13.0
2020-08-18	0.392	937.618	0.0	13.0
2020-08-19	0.351	937.969	0.0	13.0
2020-08-20	0.314	938.283	0.0	13.0
2020-08-21	0.279	938.562	0.0	13.0
2020-08-22	0.247	938.809	0.0	13.0
2020-08-23	0.215	939.024	0.0	13.0
2020-08-24	0.183	939.207	0.0	13.0
2020-08-25	0.151	939.358	0.0	13.0
2020-08-26	0.118	939.476	0.0	13.0
2020-08-27	0.084	939.56	0.0	13.0
2020-08-28	0.054	939.614	0.0	13.0
2020-08-29	0.033	939.647	0.0	13.0
2020-08-30	0.021	939.668	0.0	13.0
2020-08-31	0.014	939.682	0.0	13.0
2020-09-01	0.01	939.692	0.0	13.0
2020-09-02	0.008	939.7	0.0	13.0
2020-09-03	0.006	939.706	0.0	13.0
2020-09-04	0.005	939.711	0.0	13.0
2020-09-05	0.004	939.715	0.0	13.0
2020-09-06	0.003	939.718	0.0	13.0
2020-09-07	0.002	939.72	0.0	13.0
2020-09-08	0.0	939.72	0.0	13.0
2020-09-09	0.0	939.72	0.0	13.0
2020-09-10	0.0	939.72	0.0	13.0
2020-09-11	0.0	939.72	0.0	13.0
2020-09-12	0.0	939.72	0.0	13.0
2020-09-13	0.0	939.72	0.0	13.0
2020-09-14	0.0	939.72	0.0	13.0
2020-09-15	0.0	939.72	0.0	13.0
2020-09-16	0.0	939.72	0.0	13.0
