Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-08	0.302	18.302	5.498	5.498
2020-06-09	0.373	18.675	5.354	10.852
2020-06-10	0.459	19.134	5.212	16.064
2020-06-11	0.554	19.688	5.069	21.133
2020-06-12	0.656	20.344	4.939	26.072
2020-06-13	0.775	21.119	4.819	30.891
2020-06-14	0.915	22.034	4.697	35.588
2020-06-15	1.082	23.116	4.564	40.152
2020-06-16	1.277	24.393	4.419	44.571
2020-06-17	1.505	25.898	4.263	48.834
2020-06-18	1.763	27.661	4.096	52.93
2020-06-19	2.049	29.71	3.93	56.86
2020-06-20	2.36	32.07	3.763	60.623
2020-06-21	2.701	34.771	3.598	64.221
2020-06-22	3.064	37.835	3.437	67.658
2020-06-23	3.438	41.273	3.28	70.938
2020-06-24	3.815	45.088	3.125	74.063
2020-06-25	4.19	49.278	2.974	77.037
2020-06-26	4.569	53.847	2.827	79.864
2020-06-27	4.963	58.81	2.686	82.55
2020-06-28	5.398	64.208	2.548	85.098
2020-06-29	5.831	70.039	2.417	87.515
2020-06-30	6.251	76.29	2.292	89.807
2020-07-01	6.607	82.897	2.172	91.979
2020-07-02	6.884	89.781	2.057	94.036
2020-07-03	7.043	96.824	1.947	95.983
2020-07-04	7.133	103.957	1.839	97.822
2020-07-05	7.159	111.116	1.734	99.556
2020-07-06	7.145	118.261	1.629	101.185
2020-07-07	7.08	125.341	1.524	102.709
2020-07-08	6.988	132.329	1.42	104.129
2020-07-09	6.882	139.211	1.317	105.446
2020-07-10	6.75	145.961	1.222	106.668
2020-07-11	6.59	152.551	1.137	107.805
2020-07-12	6.418	158.969	1.064	108.869
2020-07-13	6.247	165.216	1.002	109.871
2020-07-14	6.077	171.293	0.947	110.818
2020-07-15	5.92	177.213	0.897	111.715
2020-07-16	5.776	182.989	0.846	112.561
2020-07-17	5.63	188.619	0.796	113.357
2020-07-18	5.47	194.089	0.746	114.103
2020-07-19	5.297	199.386	0.696	114.799
2020-07-20	5.11	204.496	0.647	115.446
2020-07-21	4.91	209.406	0.602	116.048
2020-07-22	4.711	214.117	0.561	116.609
2020-07-23	4.511	218.628	0.525	117.134
2020-07-24	4.313	222.941	0.492	117.626
2020-07-25	4.119	227.06	0.463	118.089
2020-07-26	3.932	230.992	0.434	118.523
2020-07-27	3.746	234.738	0.405	118.928
2020-07-28	3.565	238.303	0.375	119.303
2020-07-29	3.389	241.692	0.346	119.649
2020-07-30	3.22	244.912	0.317	119.966
2020-07-31	3.054	247.966	0.288	120.254
2020-08-01	2.897	250.863	0.259	120.513
2020-08-02	2.747	253.61	0.232	120.745
2020-08-03	2.604	256.214	0.208	120.953
2020-08-04	2.466	258.68	0.186	121.139
2020-08-05	2.333	261.013	0.166	121.305
2020-08-06	2.204	263.217	0.146	121.451
2020-08-07	2.078	265.295	0.128	121.579
2020-08-08	1.953	267.248	0.109	121.688
2020-08-09	1.827	269.075	0.089	121.777
2020-08-10	1.702	270.777	0.07	121.847
2020-08-11	1.579	272.356	0.05	121.897
2020-08-12	1.464	273.82	0.032	121.929
2020-08-13	1.363	275.183	0.02	121.949
2020-08-14	1.276	276.459	0.012	121.961
2020-08-15	1.201	277.66	0.008	121.969
2020-08-16	1.135	278.795	0.006	121.975
2020-08-17	1.075	279.87	0.005	121.98
2020-08-18	1.015	280.885	0.004	121.984
2020-08-19	0.955	281.84	0.003	121.987
2020-08-20	0.894	282.734	0.002	121.989
2020-08-21	0.834	283.568	0.002	121.991
2020-08-22	0.775	284.343	0.001	121.992
2020-08-23	0.721	285.064	0.0	121.992
2020-08-24	0.673	285.737	0.0	121.992
2020-08-25	0.629	286.366	0.0	121.992
2020-08-26	0.59	286.956	0.0	121.992
2020-08-27	0.555	287.511	0.0	121.992
2020-08-28	0.52	288.031	0.0	121.992
2020-08-29	0.485	288.516	0.0	121.992
2020-08-30	0.45	288.966	0.0	121.992
2020-08-31	0.415	289.381	0.0	121.992
2020-09-01	0.38	289.761	0.0	121.992
2020-09-02	0.345	290.106	0.0	121.992
2020-09-03	0.311	290.417	0.0	121.992
2020-09-04	0.279	290.696	0.0	121.992
2020-09-05	0.25	290.946	0.0	121.992
2020-09-06	0.223	291.169	0.0	121.992
2020-09-07	0.199	291.368	0.0	121.992
2020-09-08	0.176	291.544	0.0	121.992
2020-09-09	0.153	291.697	0.0	121.992
2020-09-10	0.13	291.827	0.0	121.992
2020-09-11	0.107	291.934	0.0	121.992
2020-09-12	0.084	292.018	0.0	121.992
2020-09-13	0.059	292.077	0.0	121.992
2020-09-14	0.038	292.115	0.0	121.992
2020-09-15	0.024	292.139	0.0	121.992
2020-09-16	0.015	292.154	0.0	121.992
2020-09-17	0.01	292.164	0.0	121.992
2020-09-18	0.007	292.171	0.0	121.992
2020-09-19	0.005	292.176	0.0	121.992
2020-09-20	0.004	292.18	0.0	121.992
2020-09-21	0.003	292.183	0.0	121.992
2020-09-22	0.003	292.186	0.0	121.992
2020-09-23	0.002	292.188	0.0	121.992
2020-09-24	0.002	292.19	0.0	121.992
