Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Honduras	125.836	18116.775	27772.775	1.146	230.518	560.518	1.312e-05	0.00188962	0.00289676	1.2e-07	2.404e-05	5.846e-05
Haiti	0.218	2126.063	6673.063	1.64	195.246	275.246	2e-08	0.00019114	0.00059992	1.5e-07	1.755e-05	2.475e-05
Saint Vincent and the Grenadines	0.0	0.62	29.62	1.64	195.246	195.246	0.0	5.63e-06	0.00026876	1.488e-05	0.00177158	0.00177158
Guatemala	50.863	10233.891	20939.891	0.913	354.913	772.913	2.95e-06	0.00059334	0.00121406	5e-08	2.058e-05	4.481e-05
Dominican Republic	63.04	12684.037	36370.037	1.096	207.607	822.607	5.93e-06	0.00119355	0.00342236	1e-07	1.954e-05	7.741e-05
Dominica	0.0	0.0	18.0	1.096	207.607	207.607	0.0	0.0	0.00025131	1.53e-05	0.00289853	0.00289853
The Bahamas	0.0	0.124	104.124	0.0	0.0	11.0	0.0	3.2e-07	0.00027	0.0	0.0	2.852e-05
Jamaica	0.414	80.79	701.79	0.0	0.0	10.0	1.4e-07	2.753e-05	0.00023912	0.0	0.0	3.41e-06
Nicaragua	5.672	1267.562	3090.562	0.148	32.976	96.976	8.8e-07	0.00019605	0.00047801	2e-08	5.1e-06	1.5e-05
Mexico	570.318	114751.063	269614.063	53.888	12043.354	30353.354	4.52e-06	0.00090935	0.00213656	4.3e-07	9.544e-05	0.00024054
El Salvador	13.862	2704.937	6645.937	0.483	88.764	164.764	2.16e-06	0.00042128	0.00103507	8e-08	1.382e-05	2.566e-05
Saint Lucia	0.0	0.014	19.014	0.483	88.764	88.764	0.0	8e-08	0.00010454	2.66e-06	0.00048801	0.00048801
Panama	96.357	18252.428	40214.428	0.239	113.999	570.999	2.307e-05	0.00436988	0.00962788	6e-08	2.729e-05	0.0001367
Costa Rica	10.193	1874.216	3670.216	0.266	28.139	40.139	2.04e-06	0.00037489	0.00073413	5e-08	5.63e-06	8.03e-06
United States of America	2298.553	513701.258	2651280.258	83.604	18684.486	135644.486	7.03e-06	0.00157015	0.00810374	2.6e-07	5.711e-05	0.0004146
Cuba	0.0	48.317	2321.317	2.06	104.528	188.528	0.0	4.26e-06	0.00020474	1.8e-07	9.22e-06	1.663e-05
Saint Kitts and Nevis	0.0	0.0	15.0	2.06	104.528	104.528	0.0	0.0	0.00028604	3.928e-05	0.00199325	0.00199325
Trinidad and Tobago	3.635	184.469	307.469	0.0	0.0	8.0	2.62e-06	0.00013273	0.00022122	0.0	0.0	5.76e-06
Antigua and Barbuda	0.0	0.0	26.0	0.0	0.0	3.0	0.0	0.0	0.00027003	0.0	0.0	3.116e-05
Canada	3.603	7711.783	108785.783	1.911	842.905	9112.905	1e-07	0.0002081	0.00293549	5e-08	2.275e-05	0.0002459
Paraguay	2.481	554.589	1857.589	0.006	0.877	13.877	3.6e-07	7.973e-05	0.00026705	0.0	1.3e-07	1.99e-06
