Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Choctaw	1.189	3.13	170.13	0.132	0.33	11.33	9.259e-05	0.00024375	0.01324897	1.028e-05	2.57e-05	0.00088233
Limestone	9.775	24.163	221.163	0.132	0.33	0.33	0.00010164	0.00025124	0.00229961	1.37e-06	3.43e-06	3.43e-06
Pike	10.023	27.723	334.723	0.0	0.0	2.0	0.00030065	0.00083157	0.01004028	0.0	0.0	5.999e-05
Cherokee	0.753	2.196	49.196	0.215	0.576	5.576	2.893e-05	8.436e-05	0.00188983	8.26e-06	2.213e-05	0.0002142
Montgomery	82.856	229.082	2873.082	3.838	9.488	77.488	0.000367	0.0010147	0.0127261	1.7e-05	4.203e-05	0.00034323
Tuscaloosa	32.036	90.621	1329.621	1.441	3.793	28.793	0.00015335	0.00043378	0.00636453	6.9e-06	1.816e-05	0.00013782
Russell	12.362	30.479	309.479	1.441	3.793	3.793	0.00021395	0.00052749	0.00535607	2.494e-05	6.564e-05	6.564e-05
Bullock	5.728	15.837	291.837	0.383	0.984	8.984	0.000565	0.00156214	0.02878645	3.778e-05	9.706e-05	0.00088617
Lee	9.508	25.964	686.964	0.136	0.349	35.349	5.8e-05	0.00015837	0.00419031	8.3e-07	2.13e-06	0.00021562
Washington	1.625	4.737	90.737	0.0	0.0	6.0	9.922e-05	0.00028923	0.00554018	0.0	0.0	0.00036635
Etowah	3.013	8.979	309.979	0.005	0.014	12.014	2.939e-05	8.76e-05	0.00302416	5e-08	1.4e-07	0.00011721
Wilcox	5.169	14.226	230.226	0.112	0.287	8.287	0.0004864	0.00133867	0.02166425	1.054e-05	2.701e-05	0.00077981
Sumter	3.116	9.46	269.46	0.467	1.293	12.293	0.00024553	0.00074541	0.02123237	3.68e-05	0.00010188	0.00096864
Baldwin	8.152	21.153	382.153	0.0	0.0	9.0	3.739e-05	9.702e-05	0.00175282	0.0	0.0	4.128e-05
Macon	2.46	7.468	129.468	0.179	0.494	6.494	0.00013341	0.00040501	0.00702142	9.71e-06	2.679e-05	0.00035219
