Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-04	1.92	64.92	0.0	1.0
2020-06-05	2.0	66.92	0.0	1.0
2020-06-06	2.047	68.967	0.0	1.0
2020-06-07	2.073	71.04	0.0	1.0
2020-06-08	2.08	73.12	0.0	1.0
2020-06-09	2.076	75.196	0.0	1.0
2020-06-10	2.057	77.253	0.0	1.0
2020-06-11	2.031	79.284	0.0	1.0
2020-06-12	2.0	81.284	0.0	1.0
2020-06-13	1.961	83.245	0.0	1.0
2020-06-14	1.915	85.16	0.0	1.0
2020-06-15	1.865	87.025	0.0	1.0
2020-06-16	1.815	88.84	0.0	1.0
2020-06-17	1.766	90.606	0.0	1.0
2020-06-18	1.72	92.326	0.0	1.0
2020-06-19	1.679	94.005	0.0	1.0
2020-06-20	1.636	95.641	0.0	1.0
2020-06-21	1.59	97.231	0.0	1.0
2020-06-22	1.539	98.77	0.0	1.0
2020-06-23	1.485	100.255	0.0	1.0
2020-06-24	1.427	101.682	0.0	1.0
2020-06-25	1.369	103.051	0.0	1.0
2020-06-26	1.311	104.362	0.0	1.0
2020-06-27	1.253	105.615	0.0	1.0
2020-06-28	1.197	106.812	0.0	1.0
2020-06-29	1.143	107.955	0.0	1.0
2020-06-30	1.089	109.044	0.0	1.0
2020-07-01	1.036	110.08	0.0	1.0
2020-07-02	0.985	111.065	0.0	1.0
2020-07-03	0.936	112.001	0.0	1.0
2020-07-04	0.888	112.889	0.0	1.0
2020-07-05	0.842	113.731	0.0	1.0
2020-07-06	0.798	114.529	0.0	1.0
2020-07-07	0.757	115.286	0.0	1.0
2020-07-08	0.717	116.003	0.0	1.0
2020-07-09	0.678	116.681	0.0	1.0
2020-07-10	0.641	117.322	0.0	1.0
2020-07-11	0.604	117.926	0.0	1.0
2020-07-12	0.567	118.493	0.0	1.0
2020-07-13	0.531	119.024	0.0	1.0
2020-07-14	0.495	119.519	0.0	1.0
2020-07-15	0.459	119.978	0.0	1.0
2020-07-16	0.426	120.404	0.0	1.0
2020-07-17	0.396	120.8	0.0	1.0
2020-07-18	0.371	121.171	0.0	1.0
2020-07-19	0.349	121.52	0.0	1.0
2020-07-20	0.33	121.85	0.0	1.0
2020-07-21	0.312	122.162	0.0	1.0
2020-07-22	0.295	122.457	0.0	1.0
2020-07-23	0.277	122.734	0.0	1.0
2020-07-24	0.26	122.994	0.0	1.0
2020-07-25	0.242	123.236	0.0	1.0
2020-07-26	0.225	123.461	0.0	1.0
2020-07-27	0.21	123.671	0.0	1.0
2020-07-28	0.195	123.866	0.0	1.0
2020-07-29	0.183	124.049	0.0	1.0
2020-07-30	0.172	124.221	0.0	1.0
2020-07-31	0.161	124.382	0.0	1.0
2020-08-01	0.151	124.533	0.0	1.0
2020-08-02	0.141	124.674	0.0	1.0
2020-08-03	0.131	124.805	0.0	1.0
2020-08-04	0.121	124.926	0.0	1.0
2020-08-05	0.11	125.036	0.0	1.0
2020-08-06	0.1	125.136	0.0	1.0
2020-08-07	0.09	125.226	0.0	1.0
2020-08-08	0.081	125.307	0.0	1.0
2020-08-09	0.073	125.38	0.0	1.0
2020-08-10	0.065	125.445	0.0	1.0
2020-08-11	0.058	125.503	0.0	1.0
2020-08-12	0.051	125.554	0.0	1.0
2020-08-13	0.044	125.598	0.0	1.0
2020-08-14	0.038	125.636	0.0	1.0
2020-08-15	0.031	125.667	0.0	1.0
2020-08-16	0.024	125.691	0.0	1.0
2020-08-17	0.017	125.708	0.0	1.0
2020-08-18	0.011	125.719	0.0	1.0
2020-08-19	0.007	125.726	0.0	1.0
2020-08-20	0.004	125.73	0.0	1.0
2020-08-21	0.003	125.733	0.0	1.0
2020-08-22	0.002	125.735	0.0	1.0
2020-08-23	0.002	125.737	0.0	1.0
2020-08-24	0.001	125.738	0.0	1.0
2020-08-25	0.001	125.739	0.0	1.0
2020-08-26	0.001	125.74	0.0	1.0
2020-08-27	0.001	125.741	0.0	1.0
2020-08-28	0.0	125.741	0.0	1.0
2020-08-29	0.0	125.741	0.0	1.0
2020-08-30	0.0	125.741	0.0	1.0
