Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-02	3.156	439.156	0.044	11.044
2020-08-03	3.288	442.444	0.05	11.094
2020-08-04	3.364	445.808	0.057	11.151
2020-08-05	3.407	449.215	0.063	11.214
2020-08-06	3.419	452.634	0.069	11.283
2020-08-07	3.413	456.047	0.075	11.358
2020-08-08	3.381	459.428	0.082	11.44
2020-08-09	3.337	462.765	0.089	11.529
2020-08-10	3.287	466.052	0.096	11.625
2020-08-11	3.224	469.276	0.103	11.728
2020-08-12	3.147	472.423	0.109	11.837
2020-08-13	3.065	475.488	0.113	11.95
2020-08-14	2.984	478.472	0.116	12.066
2020-08-15	2.902	481.374	0.117	12.183
2020-08-16	2.827	484.201	0.118	12.301
2020-08-17	2.759	486.96	0.118	12.419
2020-08-18	2.689	489.649	0.116	12.535
2020-08-19	2.613	492.262	0.115	12.65
2020-08-20	2.53	494.792	0.113	12.763
2020-08-21	2.441	497.233	0.111	12.874
2020-08-22	2.345	499.578	0.108	12.982
2020-08-23	2.25	501.828	0.106	13.088
2020-08-24	2.154	503.982	0.103	13.191
2020-08-25	2.06	506.042	0.1	13.291
2020-08-26	1.967	508.009	0.097	13.388
2020-08-27	1.878	509.887	0.095	13.483
2020-08-28	1.789	511.676	0.093	13.576
2020-08-29	1.703	513.379	0.09	13.666
2020-08-30	1.619	514.998	0.087	13.753
2020-08-31	1.538	516.536	0.084	13.837
2020-09-01	1.459	517.995	0.081	13.918
2020-09-02	1.384	519.379	0.077	13.995
2020-09-03	1.312	520.691	0.074	14.069
2020-09-04	1.244	521.935	0.071	14.14
2020-09-05	1.178	523.113	0.068	14.208
2020-09-06	1.114	524.227	0.065	14.273
2020-09-07	1.053	525.28	0.062	14.335
2020-09-08	0.992	526.272	0.059	14.394
2020-09-09	0.933	527.205	0.056	14.45
2020-09-10	0.873	528.078	0.053	14.503
2020-09-11	0.813	528.891	0.05	14.553
2020-09-12	0.754	529.645	0.048	14.601
2020-09-13	0.699	530.344	0.045	14.646
2020-09-14	0.651	530.995	0.043	14.689
2020-09-15	0.609	531.604	0.041	14.73
2020-09-16	0.573	532.177	0.038	14.768
2020-09-17	0.542	532.719	0.036	14.804
2020-09-18	0.513	533.232	0.034	14.838
2020-09-19	0.485	533.717	0.032	14.87
2020-09-20	0.456	534.173	0.03	14.9
2020-09-21	0.427	534.6	0.028	14.928
2020-09-22	0.398	534.998	0.026	14.954
2020-09-23	0.37	535.368	0.024	14.978
2020-09-24	0.344	535.712	0.022	15.0
2020-09-25	0.321	536.033	0.021	15.021
2020-09-26	0.3	536.333	0.02	15.041
2020-09-27	0.282	536.615	0.019	15.06
2020-09-28	0.265	536.88	0.018	15.078
2020-09-29	0.248	537.128	0.017	15.095
2020-09-30	0.232	537.36	0.016	15.111
2020-10-01	0.215	537.575	0.015	15.126
2020-10-02	0.198	537.773	0.014	15.14
2020-10-03	0.181	537.954	0.013	15.153
2020-10-04	0.165	538.119	0.012	15.165
2020-10-05	0.148	538.267	0.011	15.176
2020-10-06	0.133	538.4	0.01	15.186
2020-10-07	0.119	538.519	0.01	15.196
2020-10-08	0.106	538.625	0.009	15.205
2020-10-09	0.095	538.72	0.009	15.214
2020-10-10	0.084	538.804	0.008	15.222
2020-10-11	0.073	538.877	0.007	15.229
2020-10-12	0.062	538.939	0.007	15.236
2020-10-13	0.051	538.99	0.006	15.242
2020-10-14	0.04	539.03	0.006	15.248
2020-10-15	0.028	539.058	0.005	15.253
2020-10-16	0.018	539.076	0.005	15.258
2020-10-17	0.011	539.087	0.004	15.262
2020-10-18	0.007	539.094	0.004	15.266
2020-10-19	0.005	539.099	0.003	15.269
2020-10-20	0.003	539.102	0.003	15.272
2020-10-21	0.003	539.105	0.003	15.275
2020-10-22	0.002	539.107	0.002	15.277
2020-10-23	0.002	539.109	0.002	15.279
2020-10-24	0.001	539.11	0.001	15.28
2020-10-25	0.001	539.111	0.001	15.281
2020-10-26	0.001	539.112	0.001	15.282
2020-10-27	0.0	539.112	0.0	15.282
2020-10-28	0.0	539.112	0.0	15.282
2020-10-29	0.0	539.112	0.0	15.282
2020-10-30	0.0	539.112	0.0	15.282
2020-10-31	0.0	539.112	0.0	15.282
2020-11-01	0.0	539.112	0.0	15.282
2020-11-02	0.0	539.112	0.0	15.282
2020-11-03	0.0	539.112	0.0	15.282
2020-11-04	0.0	539.112	0.0	15.282
