Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-17	15.053	583.053	0.147	10.147
2020-06-18	15.911	598.964	0.168	10.315
2020-06-19	16.577	615.541	0.19	10.505
2020-06-20	16.961	632.502	0.214	10.719
2020-06-21	17.178	649.68	0.237	10.956
2020-06-22	17.24	666.92	0.26	11.216
2020-06-23	17.207	684.127	0.284	11.5
2020-06-24	17.049	701.176	0.308	11.808
2020-06-25	16.828	718.004	0.335	12.143
2020-06-26	16.574	734.578	0.362	12.505
2020-06-27	16.254	750.832	0.388	12.893
2020-06-28	15.87	766.702	0.411	13.304
2020-06-29	15.457	782.159	0.428	13.732
2020-06-30	15.044	797.203	0.438	14.17
2020-07-01	14.634	811.837	0.443	14.613
2020-07-02	14.256	826.093	0.445	15.058
2020-07-03	13.91	840.003	0.444	15.502
2020-07-04	13.558	853.561	0.44	15.942
2020-07-05	13.174	866.735	0.434	16.376
2020-07-06	12.756	879.491	0.428	16.804
2020-07-07	12.306	891.797	0.419	17.223
2020-07-08	11.825	903.622	0.41	17.633
2020-07-09	11.344	914.966	0.399	18.032
2020-07-10	10.863	925.829	0.388	18.42
2020-07-11	10.387	936.216	0.378	18.798
2020-07-12	9.92	946.136	0.368	19.166
2020-07-13	9.468	955.604	0.359	19.525
2020-07-14	9.022	964.626	0.35	19.875
2020-07-15	8.586	973.212	0.34	20.215
2020-07-16	8.162	981.374	0.329	20.544
2020-07-17	7.753	989.127	0.318	20.862
2020-07-18	7.356	996.483	0.305	21.167
2020-07-19	6.977	1003.46	0.293	21.46
2020-07-20	6.615	1010.075	0.28	21.74
2020-07-21	6.271	1016.346	0.268	22.008
2020-07-22	5.939	1022.285	0.256	22.264
2020-07-23	5.619	1027.904	0.244	22.508
2020-07-24	5.309	1033.213	0.233	22.741
2020-07-25	5.004	1038.217	0.222	22.963
2020-07-26	4.703	1042.92	0.211	23.174
2020-07-27	4.401	1047.321	0.2	23.374
2020-07-28	4.098	1051.419	0.19	23.564
2020-07-29	3.802	1055.221	0.18	23.744
2020-07-30	3.526	1058.747	0.171	23.915
2020-07-31	3.284	1062.031	0.162	24.077
2020-08-01	3.073	1065.104	0.153	24.23
2020-08-02	2.891	1067.995	0.145	24.375
2020-08-03	2.734	1070.729	0.137	24.512
2020-08-04	2.588	1073.317	0.129	24.641
2020-08-05	2.443	1075.76	0.121	24.762
2020-08-06	2.299	1078.059	0.114	24.876
2020-08-07	2.154	1080.213	0.106	24.982
2020-08-08	2.009	1082.222	0.098	25.08
2020-08-09	1.867	1084.089	0.091	25.171
2020-08-10	1.737	1085.826	0.085	25.256
2020-08-11	1.62	1087.446	0.079	25.335
2020-08-12	1.515	1088.961	0.075	25.41
2020-08-13	1.421	1090.382	0.071	25.481
2020-08-14	1.336	1091.718	0.067	25.548
2020-08-15	1.252	1092.97	0.063	25.611
2020-08-16	1.168	1094.138	0.059	25.67
2020-08-17	1.084	1095.222	0.056	25.726
2020-08-18	0.999	1096.221	0.052	25.778
2020-08-19	0.915	1097.136	0.048	25.826
2020-08-20	0.83	1097.966	0.045	25.871
2020-08-21	0.748	1098.714	0.042	25.913
2020-08-22	0.671	1099.385	0.039	25.952
2020-08-23	0.601	1099.986	0.037	25.989
2020-08-24	0.537	1100.523	0.034	26.023
2020-08-25	0.478	1101.001	0.032	26.055
2020-08-26	0.423	1101.424	0.03	26.085
2020-08-27	0.368	1101.792	0.028	26.113
2020-08-28	0.313	1102.105	0.026	26.139
2020-08-29	0.258	1102.363	0.024	26.163
2020-08-30	0.201	1102.564	0.021	26.184
2020-08-31	0.143	1102.707	0.019	26.203
2020-09-01	0.092	1102.799	0.017	26.22
2020-09-02	0.057	1102.856	0.016	26.236
2020-09-03	0.036	1102.892	0.014	26.25
2020-09-04	0.024	1102.916	0.012	26.262
2020-09-05	0.017	1102.933	0.011	26.273
2020-09-06	0.013	1102.946	0.009	26.282
2020-09-07	0.01	1102.956	0.008	26.29
2020-09-08	0.008	1102.964	0.007	26.297
2020-09-09	0.006	1102.97	0.005	26.302
2020-09-10	0.005	1102.975	0.004	26.306
2020-09-11	0.004	1102.979	0.002	26.308
2020-09-12	0.0	1102.979	0.001	26.309
2020-09-13	0.0	1102.979	0.001	26.31
2020-09-14	0.0	1102.979	0.001	26.311
2020-09-15	0.0	1102.979	0.0	26.311
2020-09-16	0.0	1102.979	0.0	26.311
2020-09-17	0.0	1102.979	0.0	26.311
2020-09-18	0.0	1102.979	0.0	26.311
2020-09-19	0.0	1102.979	0.0	26.311
2020-09-20	0.0	1102.979	0.0	26.311
