Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-26	24.093	842.093	0.076	5.076
2020-06-27	23.472	865.565	0.076	5.152
2020-06-28	22.902	888.467	0.076	5.228
2020-06-29	22.322	910.789	0.075	5.303
2020-06-30	21.689	932.478	0.074	5.377
2020-07-01	21.001	953.479	0.073	5.45
2020-07-02	20.26	973.739	0.071	5.521
2020-07-03	19.468	993.207	0.07	5.591
2020-07-04	18.676	1011.883	0.068	5.659
2020-07-05	17.884	1029.767	0.066	5.725
2020-07-06	17.1	1046.867	0.064	5.789
2020-07-07	16.333	1063.2	0.063	5.852
2020-07-08	15.588	1078.788	0.061	5.913
2020-07-09	14.853	1093.641	0.06	5.973
2020-07-10	14.136	1107.777	0.058	6.031
2020-07-11	13.438	1121.215	0.056	6.087
2020-07-12	12.765	1133.98	0.054	6.141
2020-07-13	12.11	1146.09	0.052	6.193
2020-07-14	11.486	1157.576	0.05	6.243
2020-07-15	10.892	1168.468	0.048	6.291
2020-07-16	10.325	1178.793	0.046	6.337
2020-07-17	9.778	1188.571	0.044	6.381
2020-07-18	9.251	1197.822	0.042	6.423
2020-07-19	8.74	1206.562	0.04	6.463
2020-07-20	8.239	1214.801	0.038	6.501
2020-07-21	7.742	1222.543	0.036	6.537
2020-07-22	7.245	1229.788	0.034	6.571
2020-07-23	6.748	1236.536	0.032	6.603
2020-07-24	6.259	1242.795	0.031	6.634
2020-07-25	5.806	1248.601	0.029	6.663
2020-07-26	5.406	1254.007	0.028	6.691
2020-07-27	5.059	1259.066	0.026	6.717
2020-07-28	4.76	1263.826	0.025	6.742
2020-07-29	4.502	1268.328	0.023	6.765
2020-07-30	4.261	1272.589	0.022	6.787
2020-07-31	4.023	1276.612	0.021	6.808
2020-08-01	3.785	1280.397	0.019	6.827
2020-08-02	3.546	1283.943	0.018	6.845
2020-08-03	3.308	1287.251	0.017	6.862
2020-08-04	3.073	1290.324	0.016	6.878
2020-08-05	2.86	1293.184	0.014	6.892
2020-08-06	2.667	1295.851	0.014	6.906
2020-08-07	2.494	1298.345	0.013	6.919
2020-08-08	2.34	1300.685	0.012	6.931
2020-08-09	2.2	1302.885	0.011	6.942
2020-08-10	2.062	1304.947	0.011	6.953
2020-08-11	1.923	1306.87	0.01	6.963
2020-08-12	1.784	1308.654	0.009	6.972
2020-08-13	1.645	1310.299	0.009	6.981
2020-08-14	1.506	1311.805	0.008	6.989
2020-08-15	1.367	1313.172	0.008	6.997
2020-08-16	1.231	1314.403	0.007	7.004
2020-08-17	1.105	1315.508	0.007	7.011
2020-08-18	0.989	1316.497	0.006	7.017
2020-08-19	0.884	1317.381	0.006	7.023
2020-08-20	0.787	1318.168	0.006	7.029
2020-08-21	0.696	1318.864	0.005	7.034
2020-08-22	0.606	1319.47	0.005	7.039
2020-08-23	0.516	1319.986	0.004	7.043
2020-08-24	0.425	1320.411	0.004	7.047
2020-08-25	0.332	1320.743	0.004	7.051
2020-08-26	0.236	1320.979	0.003	7.054
2020-08-27	0.152	1321.131	0.003	7.057
2020-08-28	0.093	1321.224	0.003	7.06
2020-08-29	0.059	1321.283	0.002	7.062
2020-08-30	0.039	1321.322	0.002	7.064
2020-08-31	0.028	1321.35	0.002	7.066
2020-09-01	0.022	1321.372	0.002	7.068
2020-09-02	0.017	1321.389	0.001	7.069
2020-09-03	0.014	1321.403	0.001	7.07
2020-09-04	0.011	1321.414	0.001	7.071
2020-09-05	0.008	1321.422	0.001	7.072
2020-09-06	0.006	1321.428	0.0	7.072
2020-09-07	0.0	1321.428	0.0	7.072
2020-09-08	0.0	1321.428	0.0	7.072
2020-09-09	0.0	1321.428	0.0	7.072
2020-09-10	0.0	1321.428	0.0	7.072
2020-09-11	0.0	1321.428	0.0	7.072
2020-09-12	0.0	1321.428	0.0	7.072
2020-09-13	0.0	1321.428	0.0	7.072
2020-09-14	0.0	1321.428	0.0	7.072
2020-09-15	0.0	1321.428	0.0	7.072
