Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-07	1.018	78.018	0.018	6.018
2020-06-08	1.041	79.059	0.02	6.038
2020-06-09	1.055	80.114	0.022	6.06
2020-06-10	1.058	81.172	0.024	6.084
2020-06-11	1.056	82.228	0.027	6.111
2020-06-12	1.047	83.275	0.029	6.14
2020-06-13	1.033	84.308	0.031	6.171
2020-06-14	1.018	85.326	0.034	6.205
2020-06-15	0.998	86.324	0.036	6.241
2020-06-16	0.974	87.298	0.038	6.279
2020-06-17	0.949	88.247	0.04	6.319
2020-06-18	0.924	89.171	0.041	6.36
2020-06-19	0.898	90.069	0.041	6.401
2020-06-20	0.875	90.944	0.042	6.443
2020-06-21	0.854	91.798	0.041	6.484
2020-06-22	0.832	92.63	0.041	6.525
2020-06-23	0.809	93.439	0.041	6.566
2020-06-24	0.783	94.222	0.04	6.606
2020-06-25	0.756	94.978	0.039	6.645
2020-06-26	0.726	95.704	0.038	6.683
2020-06-27	0.696	96.4	0.037	6.72
2020-06-28	0.667	97.067	0.036	6.756
2020-06-29	0.638	97.705	0.035	6.791
2020-06-30	0.609	98.314	0.034	6.825
2020-07-01	0.581	98.895	0.034	6.859
2020-07-02	0.554	99.449	0.033	6.892
2020-07-03	0.527	99.976	0.032	6.924
2020-07-04	0.501	100.477	0.031	6.955
2020-07-05	0.476	100.953	0.03	6.985
2020-07-06	0.452	101.405	0.028	7.013
2020-07-07	0.428	101.833	0.027	7.04
2020-07-08	0.406	102.239	0.026	7.066
2020-07-09	0.385	102.624	0.025	7.091
2020-07-10	0.365	102.989	0.024	7.115
2020-07-11	0.345	103.334	0.023	7.138
2020-07-12	0.326	103.66	0.022	7.16
2020-07-13	0.307	103.967	0.021	7.181
2020-07-14	0.289	104.256	0.02	7.201
2020-07-15	0.27	104.526	0.019	7.22
2020-07-16	0.252	104.778	0.018	7.238
2020-07-17	0.233	105.011	0.017	7.255
2020-07-18	0.216	105.227	0.016	7.271
2020-07-19	0.202	105.429	0.015	7.286
2020-07-20	0.189	105.618	0.014	7.3
2020-07-21	0.178	105.796	0.014	7.314
2020-07-22	0.168	105.964	0.013	7.327
2020-07-23	0.159	106.123	0.012	7.339
2020-07-24	0.15	106.273	0.011	7.35
2020-07-25	0.141	106.414	0.011	7.361
2020-07-26	0.132	106.546	0.01	7.371
2020-07-27	0.123	106.669	0.009	7.38
2020-07-28	0.115	106.784	0.008	7.388
2020-07-29	0.107	106.891	0.008	7.396
2020-07-30	0.099	106.99	0.007	7.403
2020-07-31	0.093	107.083	0.007	7.41
2020-08-01	0.087	107.17	0.007	7.417
2020-08-02	0.082	107.252	0.006	7.423
2020-08-03	0.077	107.329	0.006	7.429
2020-08-04	0.072	107.401	0.006	7.435
2020-08-05	0.067	107.468	0.005	7.44
2020-08-06	0.061	107.529	0.005	7.445
2020-08-07	0.056	107.585	0.004	7.449
2020-08-08	0.051	107.636	0.004	7.453
2020-08-09	0.046	107.682	0.004	7.457
2020-08-10	0.041	107.723	0.004	7.461
2020-08-11	0.037	107.76	0.003	7.464
2020-08-12	0.033	107.793	0.003	7.467
2020-08-13	0.029	107.822	0.003	7.47
2020-08-14	0.026	107.848	0.003	7.473
2020-08-15	0.023	107.871	0.003	7.476
2020-08-16	0.019	107.89	0.002	7.478
2020-08-17	0.016	107.906	0.002	7.48
2020-08-18	0.012	107.918	0.002	7.482
2020-08-19	0.009	107.927	0.002	7.484
2020-08-20	0.006	107.933	0.002	7.486
2020-08-21	0.003	107.936	0.001	7.487
2020-08-22	0.002	107.938	0.001	7.488
2020-08-23	0.001	107.939	0.001	7.489
2020-08-24	0.001	107.94	0.001	7.49
2020-08-25	0.001	107.941	0.001	7.491
2020-08-26	0.001	107.942	0.001	7.492
2020-08-27	0.001	107.943	0.001	7.493
2020-08-28	0.0	107.943	0.0	7.493
2020-08-29	0.0	107.943	0.0	7.493
2020-08-30	0.0	107.943	0.0	7.493
2020-08-31	0.0	107.943	0.0	7.493
2020-09-01	0.0	107.943	0.0	7.493
2020-09-02	0.0	107.943	0.0	7.493
2020-09-03	0.0	107.943	0.0	7.493
2020-09-04	0.0	107.943	0.0	7.493
2020-09-05	0.0	107.943	0.0	7.493
2020-09-06	0.0	107.943	0.0	7.493
2020-09-07	0.0	107.943	0.0	7.493
2020-09-08	0.0	107.943	0.0	7.493
