Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Southeast Fairbanks	0.221	14.144	3.194e-05	0.00204454
Kenai Peninsula	0.0	0.228	0.0	3.89e-06
Bethel	0.0	0.0	0.0	0.0
Fairbanks North Star	1.081	63.496	1.092e-05	0.00064156
Yukon-Koyukuk	0.221	14.144	4.147e-05	0.00265518
Unassigned	0.0	0.0	N/A	N/A
Matanuska-Susitna	0.267	18.064	2.48e-06	0.00016787
Petersburg	0.442	28.288	0.00013718	0.00878244
Prince of Wales-Hyder	0.0	0.0	0.0	0.0
Anchorage	1.591	93.46	5.46e-06	0.00032058
Juneau	0.001	1.743	2e-08	5.427e-05
Ketchikan Gateway	0.0	0.0	0.0	0.0
