Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Sitka	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-03-22
Sitka	0	0	0	0	0	0	0	0	0	0	0	0	2020-03-23
Sitka	0	0	0	0	0	0	0	0	0	0	0	0	2020-03-24
Sitka	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	2020-03-25
Sitka	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	2020-03-26
Sitka	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	2020-03-27
Sitka	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	2020-03-28
Sitka	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-03-29
Sitka	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020-03-30
Sitka	1.0	0.0	0.0	1.0	0.00011565	0.0	5.0	2.0	1.25	0.00057825	0.0002313	0.0001445625	2020-04-27
Sitka	1.0	0.0	0.0	1.0	0.00011565	0.0	5.0	2.0	1.25	0.00057825	0.0002313	0.0001445625	2020-04-28
Sitka	1.0	0.0	0.0	1.0	0.00011565	0.0	5.0	2.0	1.25	0.00057825	0.0002313	0.0001445625	2020-04-29
Sitka	1.0	0.0	0.0	1.0	0.00011565	0.0	5.0	2.0	1.25	0.00057825	0.0002313	0.0001445625	2020-04-30
