Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Pima	33.555	5750.218	19893.218	1.113	186.174	591.174	3.229e-05	0.00553399	0.01914516	1.07e-06	0.00017917	0.00056894
Cochise	3.248	608.093	1919.093	0.164	22.892	53.892	2.562e-05	0.00479682	0.01513838	1.29e-06	0.00018058	0.00042512
Coconino	2.476	552.203	3330.203	0.0	7.426	117.426	1.733e-05	0.00386551	0.02331193	0.0	5.198e-05	0.000822
Yavapai	5.306	868.576	2346.576	2.155	216.955	267.955	2.287e-05	0.00374398	0.01011486	9.29e-06	0.00093518	0.00115501
Graham	7.49	754.044	1082.044	1.365	77.836	82.836	0.00019673	0.01980574	0.02842099	3.585e-05	0.00204444	0.00217577
Gila	4.924	649.314	1271.314	0.767	59.058	80.058	9.137e-05	0.0120491	0.02359135	1.423e-05	0.00109592	0.00148561
Yuma	15.563	2914.125	12708.125	0.733	122.703	332.703	N/A	N/A	N/A	N/A	N/A	N/A
Unassigned	0.0	0.0	1.0	0.0	0.0	1.0	N/A	N/A	N/A	N/A	N/A	N/A
Navajo	8.957	1498.754	6490.754	0.386	60.468	225.468	8.11e-05	0.01357014	0.05876911	3.49e-06	0.00054749	0.00204145
Mohave	8.682	1487.797	4012.797	6.332	433.734	562.734	4.143e-05	0.00709996	0.01914959	3.022e-05	0.00206984	0.00268544
Santa Cruz	2.915	487.756	2911.756	0.631	70.394	114.394	6.267e-05	0.0104869	0.0626036	1.357e-05	0.00151349	0.0024595
Pinal	18.79	3219.999	10193.999	1.371	145.274	259.274	4.202e-05	0.00720135	0.02279833	3.07e-06	0.0003249	0.00057985
Maricopa	308.611	51636.573	153883.573	7.068	1182.597	2833.597	6.997e-05	0.01170679	0.03488772	1.6e-06	0.00026811	0.00064242
Apache	3.399	568.749	3409.749	0.577	61.193	178.193	4.733e-05	0.00791931	0.04747764	8.03e-06	0.00085206	0.00248117
