Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-25	2395.502	62585.502	23.364	1490.364
2020-06-26	2612.077	65197.579	23.664	1514.028
2020-06-27	2837.429	68035.008	23.749	1537.777
2020-06-28	3085.87	71120.878	23.704	1561.481
2020-06-29	3333.683	74454.561	23.486	1584.967
2020-06-30	3573.456	78028.017	23.181	1608.148
2020-07-01	3777.094	81805.111	22.831	1630.979
2020-07-02	3935.183	85740.294	22.391	1653.37
2020-07-03	4026.286	89766.58	21.862	1675.232
2020-07-04	4077.877	93844.457	21.293	1696.525
2020-07-05	4092.507	97936.964	20.724	1717.249
2020-07-06	4084.8	102021.764	20.159	1737.408
2020-07-07	4047.247	106069.011	19.639	1757.047
2020-07-08	3994.622	110063.633	19.162	1776.209
2020-07-09	3934.366	113997.999	18.677	1794.886
2020-07-10	3858.566	117856.565	18.147	1813.033
2020-07-11	3767.438	121624.003	17.572	1830.605
2020-07-12	3669.243	125293.246	16.952	1847.557
2020-07-13	3571.278	128864.524	16.289	1863.846
2020-07-14	3473.925	132338.449	15.627	1879.473
2020-07-15	3384.278	135722.727	14.964	1894.437
2020-07-16	3302.138	139024.865	14.308	1908.745
2020-07-17	3218.547	142243.412	13.666	1922.411
2020-07-18	3127.236	145370.648	13.043	1935.454
2020-07-19	3028.048	148398.696	12.428	1947.882
2020-07-20	2921.217	151319.913	11.828	1959.71
2020-07-21	2807.056	154126.969	11.243	1970.953
2020-07-22	2692.88	156819.849	10.68	1981.633
2020-07-23	2578.688	159398.537	10.133	1991.766
2020-07-24	2465.628	161864.165	9.611	2001.377
2020-07-25	2354.944	164219.109	9.113	2010.49
2020-07-26	2247.571	166466.68	8.639	2019.129
2020-07-27	2141.616	168608.296	8.181	2027.31
2020-07-28	2038.216	170646.512	7.741	2035.051
2020-07-29	1937.538	172584.05	7.313	2042.364
2020-07-30	1840.512	174424.562	6.894	2049.258
2020-07-31	1746.156	176170.718	6.478	2055.736
2020-08-01	1656.187	177826.905	6.062	2061.798
2020-08-02	1570.426	179397.331	5.646	2067.444
2020-08-03	1488.662	180885.993	5.237	2072.681
2020-08-04	1409.876	182295.869	4.858	2077.539
2020-08-05	1333.914	183629.783	4.523	2082.062
2020-08-06	1260.246	184890.029	4.233	2086.295
2020-08-07	1187.987	186078.016	3.983	2090.278
2020-08-08	1116.333	187194.349	3.766	2094.044
2020-08-09	1044.644	188238.993	3.565	2097.609
2020-08-10	972.912	189211.905	3.366	2100.975
2020-08-11	902.435	190114.34	3.167	2104.142
2020-08-12	837.074	190951.414	2.967	2107.109
2020-08-13	779.465	191730.879	2.768	2109.877
2020-08-14	729.405	192460.284	2.571	2112.448
2020-08-15	686.369	193146.653	2.393	2114.841
2020-08-16	649.055	193795.708	2.232	2117.073
2020-08-17	614.394	194410.102	2.087	2119.16
2020-08-18	580.048	194990.15	1.958	2121.118
2020-08-19	545.689	195535.839	1.841	2122.959
2020-08-20	511.313	196047.152	1.725	2124.684
2020-08-21	476.918	196524.07	1.609	2126.293
2020-08-22	443.11	196967.18	1.493	2127.786
2020-08-23	412.314	197379.494	1.377	2129.163
2020-08-24	384.575	197764.069	1.26	2130.423
2020-08-25	359.671	198123.74	1.144	2131.567
2020-08-26	337.418	198461.158	1.03	2132.597
2020-08-27	317.233	198778.391	0.924	2133.521
2020-08-28	297.249	199075.64	0.828	2134.349
2020-08-29	277.254	199352.894	0.74	2135.089
2020-08-30	257.244	199610.138	0.659	2135.748
2020-08-31	237.217	199847.355	0.582	2136.33
2020-09-01	217.168	200064.523	0.507	2136.837
2020-09-02	197.09	200261.613	0.432	2137.269
2020-09-03	177.52	200439.133	0.355	2137.624
2020-09-04	159.302	200598.435	0.278	2137.902
2020-09-05	142.664	200741.099	0.197	2138.099
2020-09-06	127.446	200868.545	0.127	2138.226
2020-09-07	113.498	200982.043	0.078	2138.304
2020-09-08	100.356	201082.399	0.049	2138.353
2020-09-09	87.397	201169.796	0.033	2138.386
2020-09-10	74.364	201244.16	0.023	2138.409
2020-09-11	61.208	201305.368	0.018	2138.427
2020-09-12	47.83	201353.198	0.014	2138.441
2020-09-13	33.959	201387.157	0.011	2138.452
2020-09-14	21.847	201409.004	0.009	2138.461
2020-09-15	13.472	201422.476	0.007	2138.468
2020-09-16	8.492	201430.968	0.005	2138.473
2020-09-17	5.61	201436.578	0.0	2138.473
2020-09-18	4.017	201440.595	0.0	2138.473
2020-09-19	3.1	201443.695	0.0	2138.473
2020-09-20	2.475	201446.17	0.0	2138.473
2020-09-21	1.967	201448.137	0.0	2138.473
2020-09-22	1.537	201449.674	0.0	2138.473
2020-09-23	1.166	201450.84	0.0	2138.473
2020-09-24	0.859	201451.699	0.0	2138.473
