Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Logan	0.0	0.0	0.0	0.0
Pike	0.077	1.271	7.2e-06	0.00011905
Sevier	0.201	3.284	1.174e-05	0.00019159
Searcy	0.228	3.722	2.865e-05	0.00046765
Baxter	0.285	4.929	6.84e-06	0.00011844
Van Buren	0.349	5.692	2.101e-05	0.00034282
Lincoln	0.362	5.911	2.706e-05	0.00044166
Conway	0.121	1.97	5.78e-06	9.431e-05
Hot Spring	0.0	0.036	0.0	1.08e-06
Lee	1.1	18.411	0.00012248	0.00204906
Washington	0.912	14.886	3.85e-06	6.282e-05
Woodruff	0.604	9.851	9.301e-05	0.0015179
Desha	0.201	3.284	1.748e-05	0.00028524
Jefferson	3.313	54.072	4.864e-05	0.00079385
Newton	0.0	0.0	0.0	0.0
Pulaski	7.176	117.12	1.828e-05	0.00029826
Independence	0.08	1.314	2.14e-06	3.486e-05
Ouachita	2.495	42.748	0.00010569	0.00181092
Mississippi	3.67	62.155	8.899e-05	0.00150718
Monroe	0.524	8.879	7.598e-05	0.00128684
Yell	0.474	8.216	2.203e-05	0.0003815
Faulkner	1.341	21.892	1.075e-05	0.0001754
Izard	0.0	0.0	0.0	0.0
Lawrence	0.615	10.165	3.742e-05	0.00061852
Marion	0.0	0.0	0.0	0.0
Hempstead	0.147	2.455	6.75e-06	0.00011291
Cross	0.115	1.906	6.91e-06	0.00011429
Arkansas	0.09	1.576	5.07e-06	8.868e-05
Craighead	1.221	19.921	1.124e-05	0.00018351
Benton	0.416	6.786	1.53e-06	2.489e-05
Columbia	0.08	1.314	3.42e-06	5.581e-05
Madison	0.0	0.0	0.0	0.0
Boone	0.08	1.314	2.15e-06	3.505e-05
Scott	0.0	0.0	0.0	0.0
Miller	0.45	9.096	1.032e-05	0.00020866
Howard	0.0	0.0	0.0	0.0
Saline	0.0	0.445	0.0	3.67e-06
Unassigned	-1.301	-21.235	N/A	N/A
Randolph	0.594	10.063	3.311e-05	0.00056068
Dallas	0.0	0.0	0.0	0.0
Drew	0.21	3.552	1.144e-05	0.00019379
Clay	0.0	0.0	0.0	0.0
Phillips	0.0	0.0	0.0	0.0
Franklin	0.0	0.0	0.0	0.0
Saint Francis	0.263	9.583	1.034e-05	0.00037669
Crittenden	3.3	53.853	6.826e-05	0.001114
Pope	1.435	23.424	2.243e-05	0.000366
Chicot	0.233	3.99	2.231e-05	0.00038224
Greene	0.402	6.567	8.88e-06	0.0001449
Lafayette	0.998	17.099	0.00014935	0.00255902
Stone	0.08	1.314	6.46e-06	0.00010544
Union	0.429	7.005	1.097e-05	0.00017904
Perry	0.09	1.576	8.71e-06	0.00015221
Clark	0.0	0.0	0.0	0.0
Carroll	1.1	18.411	3.899e-05	0.00065233
Poinsett	0.121	1.97	5.04e-06	8.218e-05
Cleburne	0.429	7.005	1.719e-05	0.0002806
Garland	1.824	29.772	1.84e-05	0.00030027
Johnson	0.379	6.573	1.419e-05	0.00024577
White	0.0	0.201	0.0	2.55e-06
Cleveland	0.268	4.378	3.346e-05	0.00054606
Ashley	0.661	11.555	3.297e-05	0.00057641
Crawford	0.08	1.314	1.27e-06	2.072e-05
Nevada	0.0	0.0	0.0	0.0
Sebastian	0.08	1.314	6.3e-07	1.028e-05
Lonoke	0.205	6.55	2.79e-06	8.893e-05
Sharp	0.998	17.099	5.747e-05	0.00098465
Prairie	0.998	17.099	0.0001236	0.00211784
Polk	0.002	0.366	1e-07	1.827e-05
Grant	0.241	3.94	1.327e-05	0.00021665
Bradley	0.148	2.408	1.354e-05	0.00022099
