Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Pike	0.0	27.52	32.52	0.0	76.081	76.081	0.0	0.00257847	0.00304694	0.0	0.00712836	0.00712836
Washington	2.644	12184.541	12510.541	0.0	0.0	6.0	1.116e-05	0.05142003	0.05279578	0.0	0.0	2.532e-05
Arkansas	0.022	72.537	75.537	0.0	0.0	0.0	1.24e-06	0.00408222	0.00425106	0.0	0.0	0.0
Benton	4.882	15989.654	16328.654	0.0	0.0	0.0	1.791e-05	0.05865438	0.05989793	0.0	0.0	0.0
Madison	0.248	522.785	528.785	0.0	0.0	0.0	1.505e-05	0.03172047	0.03208452	0.0	0.0	0.0
Howard	0.076	249.838	266.838	0.0	0.0	0.0	5.7e-06	0.01872708	0.02000135	0.0	0.0	0.0
Unassigned	0.968	3171.335	3352.335	0.0	4.434	16.434	N/A	N/A	N/A	N/A	N/A	N/A
Phillips	0.003	129.889	141.889	0.0	0.0	1.0	1.7e-07	0.00720445	0.00787004	0.0	0.0	5.547e-05
Franklin	0.066	217.598	221.598	0.0	0.0	0.0	3.71e-06	0.01221774	0.01244234	0.0	0.0	0.0
Greene	0.077	1415.635	1469.635	0.0	0.0	0.0	1.7e-06	0.03123298	0.03242438	0.0	0.0	0.0
Clark	0.047	153.126	190.126	0.0	22.238	22.238	2.13e-06	0.00694103	0.0086182	0.0	0.00100802	0.00100802
Carroll	0.237	777.72	798.72	0.0	22.238	22.238	8.4e-06	0.02755625	0.02830032	0.0	0.00078794	0.00078794
Johnson	0.112	366.695	404.695	0.0	0.0	0.0	4.19e-06	0.01371233	0.01513331	0.0	0.0	0.0
White	0.03	214.592	256.592	0.0	0.0	1.0	3.8e-07	0.00272577	0.00325926	0.0	0.0	1.27e-05
