Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-11	1.693	43.693	0.0	1.0
2020-06-12	1.839	45.532	0.0	1.0
2020-06-13	2.0	47.532	0.0	1.0
2020-06-14	2.161	49.693	0.0	1.0
2020-06-15	2.317	52.01	0.0	1.0
2020-06-16	2.449	54.459	0.0	1.0
2020-06-17	2.551	57.01	0.0	1.0
2020-06-18	2.61	59.62	0.0	1.0
2020-06-19	2.644	62.264	0.0	1.0
2020-06-20	2.653	64.917	0.0	1.0
2020-06-21	2.648	67.565	0.0	1.0
2020-06-22	2.624	70.189	0.0	1.0
2020-06-23	2.59	72.779	0.0	1.0
2020-06-24	2.551	75.33	0.0	1.0
2020-06-25	2.501	77.831	0.0	1.0
2020-06-26	2.442	80.273	0.0	1.0
2020-06-27	2.379	82.652	0.0	1.0
2020-06-28	2.315	84.967	0.0	1.0
2020-06-29	2.252	87.219	0.0	1.0
2020-06-30	2.194	89.413	0.0	1.0
2020-07-01	2.141	91.554	0.0	1.0
2020-07-02	2.086	93.64	0.0	1.0
2020-07-03	2.027	95.667	0.0	1.0
2020-07-04	1.963	97.63	0.0	1.0
2020-07-05	1.894	99.524	0.0	1.0
2020-07-06	1.82	101.344	0.0	1.0
2020-07-07	1.746	103.09	0.0	1.0
2020-07-08	1.672	104.762	0.0	1.0
2020-07-09	1.598	106.36	0.0	1.0
2020-07-10	1.527	107.887	0.0	1.0
2020-07-11	1.457	109.344	0.0	1.0
2020-07-12	1.388	110.732	0.0	1.0
2020-07-13	1.321	112.053	0.0	1.0
2020-07-14	1.256	113.309	0.0	1.0
2020-07-15	1.193	114.502	0.0	1.0
2020-07-16	1.132	115.634	0.0	1.0
2020-07-17	1.074	116.708	0.0	1.0
2020-07-18	1.018	117.726	0.0	1.0
2020-07-19	0.965	118.691	0.0	1.0
2020-07-20	0.914	119.605	0.0	1.0
2020-07-21	0.865	120.47	0.0	1.0
2020-07-22	0.817	121.287	0.0	1.0
2020-07-23	0.77	122.057	0.0	1.0
2020-07-24	0.724	122.781	0.0	1.0
2020-07-25	0.677	123.458	0.0	1.0
2020-07-26	0.631	124.089	0.0	1.0
2020-07-27	0.585	124.674	0.0	1.0
2020-07-28	0.543	125.217	0.0	1.0
2020-07-29	0.505	125.722	0.0	1.0
2020-07-30	0.473	126.195	0.0	1.0
2020-07-31	0.445	126.64	0.0	1.0
2020-08-01	0.421	127.061	0.0	1.0
2020-08-02	0.398	127.459	0.0	1.0
2020-08-03	0.376	127.835	0.0	1.0
2020-08-04	0.354	128.189	0.0	1.0
2020-08-05	0.331	128.52	0.0	1.0
2020-08-06	0.309	128.829	0.0	1.0
2020-08-07	0.287	129.116	0.0	1.0
2020-08-08	0.267	129.383	0.0	1.0
2020-08-09	0.249	129.632	0.0	1.0
2020-08-10	0.233	129.865	0.0	1.0
2020-08-11	0.219	130.084	0.0	1.0
2020-08-12	0.206	130.29	0.0	1.0
2020-08-13	0.193	130.483	0.0	1.0
2020-08-14	0.18	130.663	0.0	1.0
2020-08-15	0.167	130.83	0.0	1.0
2020-08-16	0.154	130.984	0.0	1.0
2020-08-17	0.141	131.125	0.0	1.0
2020-08-18	0.128	131.253	0.0	1.0
2020-08-19	0.115	131.368	0.0	1.0
2020-08-20	0.103	131.471	0.0	1.0
2020-08-21	0.092	131.563	0.0	1.0
2020-08-22	0.083	131.646	0.0	1.0
2020-08-23	0.074	131.72	0.0	1.0
2020-08-24	0.065	131.785	0.0	1.0
2020-08-25	0.057	131.842	0.0	1.0
2020-08-26	0.048	131.89	0.0	1.0
2020-08-27	0.04	131.93	0.0	1.0
2020-08-28	0.031	131.961	0.0	1.0
2020-08-29	0.022	131.983	0.0	1.0
2020-08-30	0.014	131.997	0.0	1.0
2020-08-31	0.009	132.006	0.0	1.0
2020-09-01	0.006	132.012	0.0	1.0
2020-09-02	0.004	132.016	0.0	1.0
2020-09-03	0.003	132.019	0.0	1.0
2020-09-04	0.002	132.021	0.0	1.0
2020-09-05	0.002	132.023	0.0	1.0
2020-09-06	0.001	132.024	0.0	1.0
2020-09-07	0.001	132.025	0.0	1.0
2020-09-08	0.001	132.026	0.0	1.0
2020-09-09	0.001	132.027	0.0	1.0
