Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-08	0.169	6.169	0.0	0.0
2020-06-09	0.208	6.377	0.0	0.0
2020-06-10	0.256	6.633	0.0	0.0
2020-06-11	0.309	6.942	0.0	0.0
2020-06-12	0.367	7.309	0.0	0.0
2020-06-13	0.433	7.742	0.0	0.0
2020-06-14	0.511	8.253	0.0	0.0
2020-06-15	0.604	8.857	0.0	0.0
2020-06-16	0.714	9.571	0.0	0.0
2020-06-17	0.841	10.412	0.0	0.0
2020-06-18	0.985	11.397	0.0	0.0
2020-06-19	1.145	12.542	0.0	0.0
2020-06-20	1.319	13.861	0.0	0.0
2020-06-21	1.51	15.371	0.0	0.0
2020-06-22	1.712	17.083	0.0	0.0
2020-06-23	1.921	19.004	0.0	0.0
2020-06-24	2.132	21.136	0.0	0.0
2020-06-25	2.342	23.478	0.0	0.0
2020-06-26	2.553	26.031	0.0	0.0
2020-06-27	2.774	28.805	0.0	0.0
2020-06-28	3.016	31.821	0.0	0.0
2020-06-29	3.259	35.08	0.0	0.0
2020-06-30	3.493	38.573	0.0	0.0
2020-07-01	3.692	42.265	0.0	0.0
2020-07-02	3.847	46.112	0.0	0.0
2020-07-03	3.936	50.048	0.0	0.0
2020-07-04	3.986	54.034	0.0	0.0
2020-07-05	4.001	58.035	0.0	0.0
2020-07-06	3.993	62.028	0.0	0.0
2020-07-07	3.956	65.984	0.0	0.0
2020-07-08	3.905	69.889	0.0	0.0
2020-07-09	3.846	73.735	0.0	0.0
2020-07-10	3.772	77.507	0.0	0.0
2020-07-11	3.683	81.19	0.0	0.0
2020-07-12	3.587	84.777	0.0	0.0
2020-07-13	3.491	88.268	0.0	0.0
2020-07-14	3.396	91.664	0.0	0.0
2020-07-15	3.308	94.972	0.0	0.0
2020-07-16	3.228	98.2	0.0	0.0
2020-07-17	3.146	101.346	0.0	0.0
2020-07-18	3.057	104.403	0.0	0.0
2020-07-19	2.96	107.363	0.0	0.0
2020-07-20	2.856	110.219	0.0	0.0
2020-07-21	2.744	112.963	0.0	0.0
2020-07-22	2.632	115.595	0.0	0.0
2020-07-23	2.521	118.116	0.0	0.0
2020-07-24	2.41	120.526	0.0	0.0
2020-07-25	2.302	122.828	0.0	0.0
2020-07-26	2.197	125.025	0.0	0.0
2020-07-27	2.093	127.118	0.0	0.0
2020-07-28	1.992	129.11	0.0	0.0
2020-07-29	1.894	131.004	0.0	0.0
2020-07-30	1.799	132.803	0.0	0.0
2020-07-31	1.707	134.51	0.0	0.0
2020-08-01	1.619	136.129	0.0	0.0
2020-08-02	1.535	137.664	0.0	0.0
2020-08-03	1.455	139.119	0.0	0.0
2020-08-04	1.378	140.497	0.0	0.0
2020-08-05	1.304	141.801	0.0	0.0
2020-08-06	1.232	143.033	0.0	0.0
2020-08-07	1.161	144.194	0.0	0.0
2020-08-08	1.091	145.285	0.0	0.0
2020-08-09	1.021	146.306	0.0	0.0
2020-08-10	0.951	147.257	0.0	0.0
2020-08-11	0.882	148.139	0.0	0.0
2020-08-12	0.818	148.957	0.0	0.0
2020-08-13	0.762	149.719	0.0	0.0
2020-08-14	0.713	150.432	0.0	0.0
2020-08-15	0.671	151.103	0.0	0.0
2020-08-16	0.634	151.737	0.0	0.0
2020-08-17	0.601	152.338	0.0	0.0
2020-08-18	0.567	152.905	0.0	0.0
2020-08-19	0.533	153.438	0.0	0.0
2020-08-20	0.5	153.938	0.0	0.0
2020-08-21	0.466	154.404	0.0	0.0
2020-08-22	0.433	154.837	0.0	0.0
2020-08-23	0.403	155.24	0.0	0.0
2020-08-24	0.376	155.616	0.0	0.0
2020-08-25	0.352	155.968	0.0	0.0
2020-08-26	0.33	156.298	0.0	0.0
2020-08-27	0.31	156.608	0.0	0.0
2020-08-28	0.291	156.899	0.0	0.0
2020-08-29	0.271	157.17	0.0	0.0
2020-08-30	0.251	157.421	0.0	0.0
2020-08-31	0.232	157.653	0.0	0.0
2020-09-01	0.212	157.865	0.0	0.0
2020-09-02	0.193	158.058	0.0	0.0
2020-09-03	0.174	158.232	0.0	0.0
2020-09-04	0.156	158.388	0.0	0.0
2020-09-05	0.139	158.527	0.0	0.0
2020-09-06	0.125	158.652	0.0	0.0
2020-09-07	0.111	158.763	0.0	0.0
2020-09-08	0.098	158.861	0.0	0.0
2020-09-09	0.085	158.946	0.0	0.0
2020-09-10	0.073	159.019	0.0	0.0
2020-09-11	0.06	159.079	0.0	0.0
2020-09-12	0.047	159.126	0.0	0.0
2020-09-13	0.033	159.159	0.0	0.0
2020-09-14	0.021	159.18	0.0	0.0
2020-09-15	0.013	159.193	0.0	0.0
2020-09-16	0.008	159.201	0.0	0.0
2020-09-17	0.005	159.206	0.0	0.0
2020-09-18	0.004	159.21	0.0	0.0
2020-09-19	0.003	159.213	0.0	0.0
2020-09-20	0.002	159.215	0.0	0.0
2020-09-21	0.002	159.217	0.0	0.0
2020-09-22	0.002	159.219	0.0	0.0
2020-09-23	0.001	159.22	0.0	0.0
2020-09-24	0.001	159.221	0.0	0.0
