Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-22
Greene	1	0	0	0	2.206e-05	0.0	5	2	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-23
Greene	1	0	0	0	2.206e-05	0.0	5	2	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-24
Greene	1	0	0	0	2.206e-05	0.0	5	2	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-25
Greene	1	0	0	0	2.206e-05	0.0	5	2	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-26
Greene	1	0	0	0	2.206e-05	0.0	5	2	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-27
Greene	1	0	0	0	2.206e-05	0.0	5	2	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-28
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-29
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-30
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-03-31
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-04-01
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-04-02
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-04-03
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-04-04
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-04-05
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-04-06
Greene	1.0	0.0	0.0	0.0	2.206e-05	0.0	5.0	2.0	1.25	0.0001103	4.412e-05	2.7575e-05	2020-04-07
Greene	6.0	0.0	0.0	0.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-08
Greene	6.0	0.0	0.0	0.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-09
Greene	6.0	0.0	0.0	0.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-10
Greene	6.0	0.0	0.0	0.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-11
Greene	6.0	0.0	0.0	6.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-12
Greene	6.0	0.0	0.0	6.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-13
Greene	6.0	0.0	0.0	6.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-14
Greene	6.0	0.0	0.0	6.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-15
Greene	6.0	0.0	0.0	6.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-16
Greene	6.0	0.0	0.0	6.0	0.00013238	0.0	30.0	12.0	7.5	0.0006619	0.00026476	0.000165475	2020-04-17
Greene	9.0	0.0	0.0	9.0	0.00019857	0.0	45.0	18.0	11.25	0.00099285	0.00039714	0.0002482125	2020-04-18
Greene	8.0	0.0	0.0	8.0	0.0001765	0.0	40.0	16.0	10.0	0.0008825	0.000353	0.000220625	2020-04-19
Greene	8.0	0.0	0.0	8.0	0.0001765	0.0	40.0	16.0	10.0	0.0008825	0.000353	0.000220625	2020-04-20
Greene	9.0	0.0	0.0	9.0	0.00019857	0.0	45.0	18.0	11.25	0.00099285	0.00039714	0.0002482125	2020-04-21
Greene	10.0	0.0	0.0	10.0	0.00022063	0.0	50.0	20.0	12.5	0.00110315	0.00044126	0.0002757875	2020-04-22
Greene	13.0	0.0	0.0	13.0	0.00028682	0.0	65.0	26.0	16.25	0.0014341	0.00057364	0.000358525	2020-04-23
Greene	14.0	0.0	0.0	14.0	0.00030888	0.0	70.0	28.0	17.5	0.0015444	0.00061776	0.0003861	2020-04-24
Greene	14.0	0.0	0.0	14.0	0.00030888	0.0	70.0	28.0	17.5	0.0015444	0.00061776	0.0003861	2020-04-25
Greene	16.0	0.0	0.0	16.0	0.00035301	0.0	80.0	32.0	20.0	0.00176505	0.00070602	0.0004412625	2020-04-26
Greene	16.0	0.0	0.0	16.0	0.00035301	0.0	80.0	32.0	20.0	0.00176505	0.00070602	0.0004412625	2020-04-27
Greene	16.0	0.0	0.0	16.0	0.00035301	0.0	80.0	32.0	20.0	0.00176505	0.00070602	0.0004412625	2020-04-28
Greene	16.0	0.0	0.0	16.0	0.00035301	0.0	80.0	32.0	20.0	0.00176505	0.00070602	0.0004412625	2020-04-29
Greene	16.0	0.0	0.0	16.0	0.00035301	0.0	80.0	32.0	20.0	0.00176505	0.00070602	0.0004412625	2020-04-30
Greene	16.0	0.0	0.0	16.0	0.00035301	0.0	80.0	32.0	20.0	0.00176505	0.00070602	0.0004412625	2020-05-01
Greene	16.0	0.0	0.0	16.0	0.00035301	0.0	80.0	32.0	20.0	0.00176505	0.00070602	0.0004412625	2020-05-02
Greene	19.0	0.0	0.0	19.0	0.00041919	0.0	95.0	38.0	23.75	0.00209595	0.00083838	0.0005239875	2020-05-03
Greene	19.0	0.0	0.0	19.0	0.00041919	0.0	95.0	38.0	23.75	0.00209595	0.00083838	0.0005239875	2020-05-04
Greene	21.0	0.0	0.0	21.0	0.00046332	0.0	105.0	42.0	26.25	0.0023166	0.00092664	0.00057915	2020-05-05
Greene	21.0	0.0	0.0	21.0	0.00046332	0.0	105.0	42.0	26.25	0.0023166	0.00092664	0.00057915	2020-05-06
Greene	22.0	0.0	0.0	22.0	0.00048538	0.0	110.0	44.0	27.5	0.0024269	0.00097076	0.000606725	2020-05-07
Greene	22.0	0.0	0.0	22.0	0.00048538	0.0	110.0	44.0	27.5	0.0024269	0.00097076	0.000606725	2020-05-08
Greene	22.0	0.0	0.0	22.0	0.00048538	0.0	110.0	44.0	27.5	0.0024269	0.00097076	0.000606725	2020-05-09
Greene	23.0	0.0	0.0	23.0	0.00050745	0.0	115.0	46.0	28.75	0.00253725	0.0010149	0.0006343125	2020-05-10
Greene	23.0	0.0	0.0	23.0	0.00050745	0.0	115.0	46.0	28.75	0.00253725	0.0010149	0.0006343125	2020-05-11
Greene	24.0	0.0	0.0	24.0	0.00052951	0.0	120.0	48.0	30.0	0.00264755	0.00105902	0.0006618875	2020-05-12
Greene	24.0	0.0	0.0	24.0	0.00052951	0.0	120.0	48.0	30.0	0.00264755	0.00105902	0.0006618875	2020-05-13
Greene	24.0	0.0	0.0	24.0	0.00052951	0.0	120.0	48.0	30.0	0.00264755	0.00105902	0.0006618875	2020-05-14
Greene	24.0	0.0	0.0	24.0	0.00052951	0.0	120.0	48.0	30.0	0.00264755	0.00105902	0.0006618875	2020-05-15
Greene	24.0	0.0	0.0	24.0	0.00052951	0.0	120.0	48.0	30.0	0.00264755	0.00105902	0.0006618875	2020-05-16
Greene	24.0	0.0	0.0	24.0	0.00052951	0.0	120.0	48.0	30.0	0.00264755	0.00105902	0.0006618875	2020-05-17
Greene	24.0	0.0	0.0	24.0	0.00052951	0.0	120.0	48.0	30.0	0.00264755	0.00105902	0.0006618875	2020-05-18
Greene	25.0	0.0	0.0	25.0	0.00055157	0.0	125.0	50.0	31.25	0.00275785	0.00110314	0.0006894625	2020-05-19
Greene	29.0	0.0	0.0	29.0	0.00063982	0.0	145.0	58.0	36.25	0.0031991	0.00127964	0.000799775	2020-05-20
Greene	34.0	0.0	0.0	34.0	0.00075014	0.0	170.0	68.0	42.5	0.0037507	0.00150028	0.000937675	2020-05-21
Greene	42.0	0.0	0.0	42.0	0.00092664	0.0	210.0	84.0	52.5	0.0046332	0.00185328	0.0011583	2020-05-22
