Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-16	5.432	17.598	0.129	35.599
2020-08-17	5.382	22.98	0.14	35.739
2020-08-18	5.312	28.292	0.152	35.891
2020-08-19	5.232	33.524	0.164	36.055
2020-08-20	5.131	38.655	0.176	36.231
2020-08-21	5.01	43.665	0.186	36.417
2020-08-22	4.879	48.544	0.194	36.611
2020-08-23	4.749	53.293	0.199	36.81
2020-08-24	4.62	57.913	0.201	37.011
2020-08-25	4.5	62.413	0.202	37.213
2020-08-26	4.391	66.804	0.202	37.415
2020-08-27	4.28	71.084	0.2	37.615
2020-08-28	4.159	75.243	0.197	37.812
2020-08-29	4.027	79.27	0.194	38.006
2020-08-30	3.885	83.155	0.19	38.196
2020-08-31	3.733	86.888	0.186	38.382
2020-09-01	3.581	90.469	0.181	38.563
2020-09-02	3.429	93.898	0.176	38.739
2020-09-03	3.279	97.177	0.171	38.91
2020-09-04	3.132	100.309	0.167	39.077
2020-09-05	2.989	103.298	0.163	39.24
2020-09-06	2.848	106.146	0.159	39.399
2020-09-07	2.71	108.856	0.154	39.553
2020-09-08	2.576	111.432	0.149	39.702
2020-09-09	2.447	113.879	0.144	39.846
2020-09-10	2.322	116.201	0.139	39.985
2020-09-11	2.202	118.403	0.133	40.118
2020-09-12	2.088	120.491	0.127	40.245
2020-09-13	1.98	122.471	0.122	40.367
2020-09-14	1.875	124.346	0.116	40.483
2020-09-15	1.774	126.12	0.111	40.594
2020-09-16	1.676	127.796	0.106	40.7
2020-09-17	1.58	129.376	0.101	40.801
2020-09-18	1.484	130.86	0.096	40.897
2020-09-19	1.389	132.249	0.091	40.988
2020-09-20	1.294	133.543	0.086	41.074
2020-09-21	1.2	134.743	0.082	41.156
2020-09-22	1.113	135.856	0.077	41.233
2020-09-23	1.037	136.893	0.073	41.306
2020-09-24	0.97	137.863	0.07	41.376
2020-09-25	0.913	138.776	0.066	41.442
2020-09-26	0.863	139.639	0.062	41.504
2020-09-27	0.817	140.456	0.059	41.563
2020-09-28	0.771	141.227	0.055	41.618
2020-09-29	0.726	141.953	0.052	41.67
2020-09-30	0.68	142.633	0.048	41.718
2020-10-01	0.634	143.267	0.045	41.763
2020-10-02	0.589	143.856	0.041	41.804
2020-10-03	0.548	144.404	0.038	41.842
2020-10-04	0.511	144.915	0.036	41.878
2020-10-05	0.478	145.393	0.034	41.912
2020-10-06	0.449	145.842	0.032	41.944
2020-10-07	0.422	146.264	0.03	41.974
2020-10-08	0.395	146.659	0.029	42.003
2020-10-09	0.369	147.028	0.027	42.03
2020-10-10	0.342	147.37	0.025	42.055
2020-10-11	0.315	147.685	0.024	42.079
2020-10-12	0.289	147.974	0.022	42.101
2020-10-13	0.262	148.236	0.02	42.121
2020-10-14	0.236	148.472	0.019	42.14
2020-10-15	0.212	148.684	0.018	42.158
2020-10-16	0.19	148.874	0.017	42.175
2020-10-17	0.169	149.043	0.016	42.191
2020-10-18	0.151	149.194	0.015	42.206
2020-10-19	0.133	149.327	0.014	42.22
2020-10-20	0.116	149.443	0.013	42.233
2020-10-21	0.099	149.542	0.012	42.245
2020-10-22	0.081	149.623	0.011	42.256
2020-10-23	0.064	149.687	0.01	42.266
2020-10-24	0.045	149.732	0.009	42.275
2020-10-25	0.029	149.761	0.008	42.283
2020-10-26	0.018	149.779	0.007	42.29
2020-10-27	0.011	149.79	0.006	42.296
2020-10-28	0.007	149.797	0.006	42.302
2020-10-29	0.005	149.802	0.005	42.307
2020-10-30	0.004	149.806	0.004	42.311
2020-10-31	0.003	149.809	0.004	42.315
2020-11-01	0.003	149.812	0.003	42.318
2020-11-02	0.002	149.814	0.002	42.32
2020-11-03	0.002	149.816	0.002	42.322
2020-11-04	0.001	149.817	0.001	42.323
2020-11-05	0.0	149.817	0.001	42.324
2020-11-06	0.0	149.817	0.0	42.324
2020-11-07	0.0	149.817	0.0	42.324
2020-11-08	0.0	149.817	0.0	42.324
2020-11-09	0.0	149.817	0.0	42.324
2020-11-10	0.0	149.817	0.0	42.324
2020-11-11	0.0	149.817	0.0	42.324
2020-11-12	0.0	149.817	0.0	42.324
2020-11-13	0.0	149.817	0.0	42.324
