Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-09-01	0.198	0.751	9.106	19.212
2020-09-02	0.178	0.929	8.493	27.705
2020-09-03	0.16	1.089	7.943	35.648
2020-09-04	0.143	1.232	7.452	43.1
2020-09-05	0.128	1.36	7.006	50.106
2020-09-06	0.114	1.474	6.565	56.671
2020-09-07	0.101	1.575	6.123	62.794
2020-09-08	0.088	1.663	5.681	68.475
2020-09-09	0.075	1.738	5.239	73.714
2020-09-10	0.061	1.799	4.796	78.51
2020-09-11	0.048	1.847	4.353	82.863
2020-09-12	0.034	1.881	3.921	86.784
2020-09-13	0.022	1.903	3.518	90.302
2020-09-14	0.014	1.917	3.151	93.453
2020-09-15	0.009	1.926	2.815	96.268
2020-09-16	0.006	1.932	2.507	98.775
2020-09-17	0.004	1.936	2.216	100.991
2020-09-18	0.003	1.939	1.93	102.921
2020-09-19	0.002	1.941	1.642	104.563
2020-09-20	0.002	1.943	1.352	105.915
2020-09-21	0.002	1.945	1.056	106.971
2020-09-22	0.001	1.946	0.75	107.721
2020-09-23	0.001	1.947	0.482	108.203
2020-09-24	0.0	1.947	0.298	108.501
2020-09-25	0.0	1.947	0.188	108.689
2020-09-26	0.0	1.947	0.124	108.813
2020-09-27	0.0	1.947	0.089	108.902
2020-09-28	0.0	1.947	0.068	108.97
2020-09-29	0.0	1.947	0.055	109.025
2020-09-30	0.0	1.947	0.043	109.068
2020-10-01	0.0	1.947	0.034	109.102
2020-10-02	0.0	1.947	0.026	109.128
