Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-04	4.747	179.747	0.0	3.0
2020-08-05	4.675	184.422	0.0	3.0
2020-08-06	4.585	189.007	0.0	3.0
2020-08-07	4.477	193.484	0.0	3.0
2020-08-08	4.36	197.844	0.0	3.0
2020-08-09	4.244	202.088	0.0	3.0
2020-08-10	4.128	206.216	0.0	3.0
2020-08-11	4.021	210.237	0.0	3.0
2020-08-12	3.924	214.161	0.0	3.0
2020-08-13	3.824	217.985	0.0	3.0
2020-08-14	3.716	221.701	0.0	3.0
2020-08-15	3.598	225.299	0.0	3.0
2020-08-16	3.471	228.77	0.0	3.0
2020-08-17	3.336	232.106	0.0	3.0
2020-08-18	3.2	235.306	0.0	3.0
2020-08-19	3.064	238.37	0.0	3.0
2020-08-20	2.93	241.3	0.0	3.0
2020-08-21	2.798	244.098	0.0	3.0
2020-08-22	2.671	246.769	0.0	3.0
2020-08-23	2.545	249.314	0.0	3.0
2020-08-24	2.422	251.736	0.0	3.0
2020-08-25	2.302	254.038	0.0	3.0
2020-08-26	2.187	256.225	0.0	3.0
2020-08-27	2.075	258.3	0.0	3.0
2020-08-28	1.968	260.268	0.0	3.0
2020-08-29	1.866	262.134	0.0	3.0
2020-08-30	1.769	263.903	0.0	3.0
2020-08-31	1.675	265.578	0.0	3.0
2020-09-01	1.585	267.163	0.0	3.0
2020-09-02	1.498	268.661	0.0	3.0
2020-09-03	1.412	270.073	0.0	3.0
2020-09-04	1.326	271.399	0.0	3.0
2020-09-05	1.241	272.64	0.0	3.0
2020-09-06	1.156	273.796	0.0	3.0
2020-09-07	1.072	274.868	0.0	3.0
2020-09-08	0.995	275.863	0.0	3.0
2020-09-09	0.926	276.789	0.0	3.0
2020-09-10	0.867	277.656	0.0	3.0
2020-09-11	0.816	278.472	0.0	3.0
2020-09-12	0.771	279.243	0.0	3.0
2020-09-13	0.73	279.973	0.0	3.0
2020-09-14	0.689	280.662	0.0	3.0
2020-09-15	0.648	281.31	0.0	3.0
2020-09-16	0.608	281.918	0.0	3.0
2020-09-17	0.567	282.485	0.0	3.0
2020-09-18	0.527	283.012	0.0	3.0
2020-09-19	0.49	283.502	0.0	3.0
2020-09-20	0.457	283.959	0.0	3.0
2020-09-21	0.427	284.386	0.0	3.0
2020-09-22	0.401	284.787	0.0	3.0
2020-09-23	0.377	285.164	0.0	3.0
2020-09-24	0.353	285.517	0.0	3.0
2020-09-25	0.329	285.846	0.0	3.0
2020-09-26	0.306	286.152	0.0	3.0
2020-09-27	0.282	286.434	0.0	3.0
2020-09-28	0.258	286.692	0.0	3.0
2020-09-29	0.234	286.926	0.0	3.0
2020-09-30	0.211	287.137	0.0	3.0
2020-10-01	0.189	287.326	0.0	3.0
2020-10-02	0.17	287.496	0.0	3.0
2020-10-03	0.151	287.647	0.0	3.0
2020-10-04	0.135	287.782	0.0	3.0
2020-10-05	0.119	287.901	0.0	3.0
2020-10-06	0.104	288.005	0.0	3.0
2020-10-07	0.088	288.093	0.0	3.0
2020-10-08	0.073	288.166	0.0	3.0
2020-10-09	0.057	288.223	0.0	3.0
2020-10-10	0.04	288.263	0.0	3.0
2020-10-11	0.026	288.289	0.0	3.0
2020-10-12	0.016	288.305	0.0	3.0
2020-10-13	0.01	288.315	0.0	3.0
2020-10-14	0.007	288.322	0.0	3.0
2020-10-15	0.005	288.327	0.0	3.0
2020-10-16	0.004	288.331	0.0	3.0
2020-10-17	0.003	288.334	0.0	3.0
2020-10-18	0.002	288.336	0.0	3.0
2020-10-19	0.002	288.338	0.0	3.0
2020-10-20	0.001	288.339	0.0	3.0
2020-10-21	0.001	288.34	0.0	3.0
2020-10-22	0.0	288.34	0.0	3.0
