Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Shasta	0.143	47.236	8e-07	0.00026237
Yuba	0.035	12.203	4.5e-07	0.00015637
Alpine	0.053	18.305	4.828e-05	0.01662559
San Mateo	1.665	548.963	2.16e-06	0.00071336
Sutter	0.0	0.0	0.0	0.0
Riverside	5.908	1948.18	2.41e-06	0.00079493
Sacramento	2.261	745.568	1.47e-06	0.00048383
Butte	0.0	0.463	0.0	2e-06
Ventura	0.856	282.141	1.01e-06	0.00033155
Kern	1.231	405.977	1.37e-06	0.00045271
San Benito	0.0	0.044	0.0	7.1e-07
San Bernardino	2.679	883.447	1.23e-06	0.00040682
Kings	0.0	0.0	0.0	0.0
Madera	0.0	0.0	0.0	0.0
Fresno	0.0	43.028	0.0	4.327e-05
Glenn	0.0	0.0	0.0	0.0
Tulare	0.952	314.058	2.04e-06	0.00067414
Santa Barbara	0.809	266.821	1.81e-06	0.00059755
San Joaquin	0.0	13.19	0.0	1.752e-05
Alameda	2.869	946.003	1.72e-06	0.00056757
Placer	0.0	2.272	0.0	5.78e-06
Siskiyou	0.008	2.553	1.8e-07	5.84e-05
Solano	0.329	108.516	7.4e-07	0.00024298
Contra Costa	1.916	631.945	1.67e-06	0.00054942
Del Norte	0.0	0.0	0.0	0.0
Humboldt	0.194	63.833	1.42e-06	0.00046808
Calaveras	0.019	6.383	4.2e-07	0.00013998
Santa Clara	0.251	650.038	1.3e-07	0.00033549
Lake	0.0	0.0	0.0	0.0
San Francisco	1.727	569.389	1.95e-06	0.00064461
Unassigned	3.262	953.24	N/A	N/A
Stanislaus	0.383	126.389	7e-07	0.00022988
Amador	0.004	1.277	1e-07	3.242e-05
Plumas	0.0	0.0	0.0	0.0
Los Angeles	31.437	10366.46	3.11e-06	0.00102582
Mono	0.0	0.181	0.0	1.268e-05
Monterey	0.166	54.896	3.8e-07	0.00012603
Sonoma	0.034	58.562	7e-08	0.00011714
Tuolumne	0.058	19.15	1.06e-06	0.00035112
Colusa	0.126	40.028	5.82e-06	0.00185084
Santa Cruz	0.236	77.876	8.6e-07	0.00028396
San Luis Obispo	0.0	0.519	0.0	1.83e-06
Marin	0.181	95.037	7e-07	0.000366
El Dorado	0.0	1.969	0.0	1.033e-05
Tehama	0.0	0.0	0.0	0.0
Inyo	0.016	5.826	8.9e-07	0.00032391
Yolo	0.182	60.003	8.3e-07	0.00027224
San Diego	6.14	2024.779	1.84e-06	0.00060561
Imperial	0.263	86.813	1.45e-06	0.00047745
Merced	0.19	62.556	6.9e-07	0.00022767
Nevada	0.0	0.0	0.0	0.0
Napa	0.0	1.455	0.0	1.043e-05
Mendocino	0.0	0.0	0.0	0.0
Orange	2.985	984.303	9.4e-07	0.00030895
