Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Yuba	0.0	33.912	70.912	0.0	0.0	1.0	0.0	0.00043454	0.00090865	0.0	0.0	1.281e-05
Sutter	0.0	107.701	196.701	0.037	40.14	43.14	0.0	0.00111253	0.00203189	3.8e-07	0.00041464	0.00044563
Ventura	0.0	1137.038	2843.038	0.001	59.19	100.19	0.0	0.00133617	0.00334095	0.0	6.956e-05	0.00011774
Madera	0.0	172.322	447.322	0.0	0.947	4.947	0.0	0.00109291	0.00283704	0.0	6.01e-06	3.138e-05
Glenn	0.002	104.545	138.545	0.0	37.952	37.952	7e-08	0.00372749	0.00493974	0.0	0.00135316	0.00135316
Santa Barbara	0.0	998.317	3113.317	0.001	46.215	68.215	0.0	0.00223574	0.00697229	0.0	0.0001035	0.00015277
San Joaquin	0.02	3203.912	5091.912	0.021	143.902	189.902	3e-08	0.00425679	0.00676522	3e-08	0.00019119	0.00025231
Sierra	0.0	0.0	1.0	0.021	143.902	143.902	0.0	0.0	0.00033478	7.03e-06	0.0481761	0.0481761
Placer	0.0	389.039	821.039	0.0	0.0	9.0	0.0	0.00098955	0.00208837	0.0	0.0	2.289e-05
Solano	0.0	363.715	1050.715	0.0	1.167	24.167	0.0	0.00081439	0.00235265	0.0	2.61e-06	5.411e-05
Humboldt	0.0	5.522	112.522	0.0	0.0	4.0	0.0	4.049e-05	0.0008251	0.0	0.0	2.933e-05
Calaveras	0.0	31.419	57.419	0.0	0.0	0.0	0.0	0.00068898	0.00125913	0.0	0.0	0.0
San Francisco	0.0	660.569	3642.569	0.0	12.99	59.99	0.0	0.00074784	0.0041238	0.0	1.471e-05	6.792e-05
Stanislaus	0.0	1234.498	2501.498	0.0	19.068	54.068	0.0	0.0022453	0.00454971	0.0	3.468e-05	9.834e-05
Amador	0.051	56.197	68.197	0.0	19.068	19.068	1.29e-06	0.00142694	0.00173164	0.0	0.00048417	0.00048417
Plumas	0.037	40.14	45.14	0.0	19.068	19.068	1.97e-06	0.00213465	0.00240055	0.0	0.00101404	0.00101404
Monterey	0.0	893.22	1968.22	0.0	13.156	25.156	0.0	0.00205058	0.00451847	0.0	3.02e-05	5.775e-05
Mariposa	0.037	40.14	58.14	0.0	0.0	1.0	2.12e-06	0.00229752	0.0033278	0.0	0.0	5.724e-05
Sonoma	0.0	377.226	1151.226	0.0	0.0	4.0	0.0	0.00075454	0.00230272	0.0	0.0	8e-06
Tuolumne	0.0	5.18	14.18	0.0	0.0	0.0	0.0	9.498e-05	0.00026	0.0	0.0	0.0
Colusa	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.00032367	0.0	0.0	0.0
San Luis Obispo	0.005	372.723	748.723	0.0	0.0	1.0	2e-08	0.00131236	0.00263626	0.0	0.0	3.52e-06
Marin	0.0	568.213	1410.213	0.0	1.167	19.167	0.0	0.00218825	0.00543087	0.0	4.49e-06	7.381e-05
El Dorado	0.0	4.507	125.507	0.0	1.167	1.167	0.0	2.364e-05	0.00065821	0.0	6.12e-06	6.12e-06
Tehama	0.028	318.099	346.099	0.0	0.0	1.0	4.4e-07	0.00497683	0.0054149	0.0	0.0	1.565e-05
Yolo	0.008	386.809	651.809	0.282	501.189	525.189	4e-08	0.00175497	0.00295728	1.28e-06	0.00227391	0.0023828
Merced	0.0	283.255	753.255	0.0	0.0	7.0	0.0	0.0010309	0.00274145	0.0	0.0	2.548e-05
Napa	0.0	142.586	344.586	0.0	0.0	4.0	0.0	0.00102273	0.00247162	0.0	0.0	2.869e-05
Mendocino	0.0	17.797	64.797	0.0	0.0	0.0	0.0	0.00020315	0.00073964	0.0	0.0	0.0
