Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-18	0.044	5.044	0.258	0.258
2020-06-19	0.055	5.099	0.286	0.544
2020-06-20	0.067	5.166	0.314	0.858
2020-06-21	0.081	5.247	0.343	1.201
2020-06-22	0.096	5.343	0.372	1.573
2020-06-23	0.114	5.457	0.405	1.978
2020-06-24	0.135	5.592	0.437	2.415
2020-06-25	0.159	5.751	0.469	2.884
2020-06-26	0.188	5.939	0.495	3.379
2020-06-27	0.221	6.16	0.516	3.895
2020-06-28	0.259	6.419	0.528	4.423
2020-06-29	0.301	6.72	0.535	4.958
2020-06-30	0.347	7.067	0.537	5.495
2020-07-01	0.397	7.464	0.536	6.031
2020-07-02	0.451	7.915	0.531	6.562
2020-07-03	0.506	8.421	0.524	7.086
2020-07-04	0.561	8.982	0.516	7.602
2020-07-05	0.616	9.598	0.506	8.108
2020-07-06	0.672	10.27	0.494	8.602
2020-07-07	0.73	11.0	0.481	9.083
2020-07-08	0.794	11.794	0.468	9.551
2020-07-09	0.858	12.652	0.456	10.007
2020-07-10	0.919	13.571	0.444	10.451
2020-07-11	0.972	14.543	0.433	10.884
2020-07-12	1.012	15.555	0.422	11.306
2020-07-13	1.036	16.591	0.41	11.716
2020-07-14	1.049	17.64	0.397	12.113
2020-07-15	1.053	18.693	0.383	12.496
2020-07-16	1.051	19.744	0.368	12.864
2020-07-17	1.041	20.785	0.353	13.217
2020-07-18	1.028	21.813	0.338	13.555
2020-07-19	1.012	22.825	0.323	13.878
2020-07-20	0.993	23.818	0.309	14.187
2020-07-21	0.969	24.787	0.295	14.482
2020-07-22	0.944	25.731	0.281	14.763
2020-07-23	0.919	26.65	0.267	15.03
2020-07-24	0.894	27.544	0.254	15.284
2020-07-25	0.871	28.415	0.241	15.525
2020-07-26	0.849	29.264	0.229	15.754
2020-07-27	0.828	30.092	0.217	15.971
2020-07-28	0.804	30.896	0.206	16.177
2020-07-29	0.779	31.675	0.195	16.372
2020-07-30	0.751	32.426	0.185	16.557
2020-07-31	0.722	33.148	0.175	16.732
2020-08-01	0.693	33.841	0.165	16.897
2020-08-02	0.663	34.504	0.156	17.053
2020-08-03	0.634	35.138	0.146	17.199
2020-08-04	0.606	35.744	0.137	17.336
2020-08-05	0.578	36.322	0.128	17.464
2020-08-06	0.551	36.873	0.118	17.582
2020-08-07	0.524	37.397	0.11	17.692
2020-08-08	0.498	37.895	0.102	17.794
2020-08-09	0.473	38.368	0.096	17.89
2020-08-10	0.449	38.817	0.09	17.98
2020-08-11	0.426	39.243	0.085	18.065
2020-08-12	0.404	39.647	0.081	18.146
2020-08-13	0.383	40.03	0.076	18.222
2020-08-14	0.363	40.393	0.072	18.294
2020-08-15	0.343	40.736	0.067	18.361
2020-08-16	0.324	41.06	0.063	18.424
2020-08-17	0.306	41.366	0.058	18.482
2020-08-18	0.287	41.653	0.054	18.536
2020-08-19	0.269	41.922	0.05	18.586
2020-08-20	0.25	42.172	0.047	18.633
2020-08-21	0.232	42.404	0.044	18.677
2020-08-22	0.215	42.619	0.042	18.719
2020-08-23	0.201	42.82	0.039	18.758
2020-08-24	0.188	43.008	0.036	18.794
2020-08-25	0.177	43.185	0.034	18.828
2020-08-26	0.167	43.352	0.031	18.859
2020-08-27	0.158	43.51	0.028	18.887
2020-08-28	0.149	43.659	0.026	18.913
2020-08-29	0.14	43.799	0.023	18.936
2020-08-30	0.132	43.931	0.021	18.957
2020-08-31	0.123	44.054	0.019	18.976
2020-09-01	0.114	44.168	0.017	18.993
2020-09-02	0.106	44.274	0.015	19.008
2020-09-03	0.099	44.373	0.013	19.021
2020-09-04	0.093	44.466	0.011	19.032
2020-09-05	0.087	44.553	0.01	19.042
2020-09-06	0.082	44.635	0.008	19.05
2020-09-07	0.076	44.711	0.006	19.056
2020-09-08	0.071	44.782	0.004	19.06
2020-09-09	0.066	44.848	0.003	19.063
2020-09-10	0.061	44.909	0.002	19.065
2020-09-11	0.056	44.965	0.001	19.066
2020-09-12	0.051	45.016	0.001	19.067
2020-09-13	0.046	45.062	0.001	19.068
2020-09-14	0.041	45.103	0.0	19.068
2020-09-15	0.037	45.14	0.0	19.068
2020-09-16	0.033	45.173	0.0	19.068
2020-09-17	0.029	45.202	0.0	19.068
2020-09-18	0.026	45.228	0.0	19.068
2020-09-19	0.022	45.25	0.0	19.068
2020-09-20	0.019	45.269	0.0	19.068
2020-09-21	0.016	45.285	0.0	19.068
2020-09-22	0.012	45.297	0.0	19.068
2020-09-23	0.009	45.306	0.0	19.068
2020-09-24	0.006	45.312	0.0	19.068
2020-09-25	0.003	45.315	0.0	19.068
2020-09-26	0.002	45.317	0.0	19.068
2020-09-27	0.001	45.318	0.0	19.068
2020-09-28	0.001	45.319	0.0	19.068
2020-09-29	0.001	45.32	0.0	19.068
2020-09-30	0.001	45.321	0.0	19.068
2020-10-01	0.001	45.322	0.0	19.068
2020-10-02	0.0	45.322	0.0	19.068
2020-10-03	0.0	45.322	0.0	19.068
2020-10-04	0.0	45.322	0.0	19.068
